#ORTHOLOGY_ASSIGNMENTS_FROM_EFFIE_7_2022				
name_dc3000_new	name_p25c2_new	name_p25c2	name_dc3000	name_p7
WP_002554561.1	DAKCFMEO_02318	BJEIHDPM_03390	PSPTO_RS09130	PDOHHFKI_03993
WP_002554562.1	DAKCFMEO_02317	BJEIHDPM_03389	PSPTO_RS09125	PDOHHFKI_03994
WP_002554651.1	DAKCFMEO_03124	BJEIHDPM_00457	PSPTO_RS20575	PDOHHFKI_00516
WP_002554655.1	DAKCFMEO_03128	BJEIHDPM_00461	PSPTO_RS20595	PDOHHFKI_00520
WP_002554655.1	DAKCFMEO_00946	BJEIHDPM_04124	PSPTO_RS16770	PDOHHFKI_00606
WP_002554721.1	DAKCFMEO_03190	BJEIHDPM_00523	PSPTO_RS08090	PDOHHFKI_00702
WP_002554728.1	DAKCFMEO_03197	BJEIHDPM_00530	PSPTO_RS08055	PDOHHFKI_00709
WP_002554837.1	DAKCFMEO_00145	BJEIHDPM_03166	PSPTO_RS21485	PDOHHFKI_00491
WP_002554837.1	DAKCFMEO_00809	BJEIHDPM_03987	PSPTO_RS12335	PDOHHFKI_00491
WP_002554837.1	DAKCFMEO_03299	BJEIHDPM_00752	PSPTO_RS06725	PDOHHFKI_00755
WP_002554843.1	DAKCFMEO_00754	BJEIHDPM_03932	PSPTO_RS21515	
WP_002554843.1	DAKCFMEO_00151	BJEIHDPM_03160	PSPTO_RS21515	
WP_002554851.1	DAKCFMEO_00159	BJEIHDPM_03152	PSPTO_RS21560	PDOHHFKI_02899
WP_002554971.1	DAKCFMEO_00305	BJEIHDPM_03006	PSPTO_RS22375	PDOHHFKI_03303
WP_002555020.1	DAKCFMEO_00368	BJEIHDPM_02943	PSPTO_RS22665	PDOHHFKI_02572
WP_002555064.1	DAKCFMEO_00416	BJEIHDPM_02895	PSPTO_RS22930	PDOHHFKI_02525
WP_002555108.1	DAKCFMEO_00463	BJEIHDPM_02848	PSPTO_RS23160	PDOHHFKI_02476
WP_002555109.1	DAKCFMEO_00464	BJEIHDPM_02847	PSPTO_RS23165	PDOHHFKI_02475
WP_002555121.1	DAKCFMEO_01679	BJEIHDPM_01000	PSPTO_RS23235	PDOHHFKI_04800
WP_002555142.1	DAKCFMEO_01701	BJEIHDPM_01022	PSPTO_RS23350	PDOHHFKI_04778
WP_002555214.1	DAKCFMEO_00545	BJEIHDPM_02766	PSPTO_RS23705	PDOHHFKI_01519
WP_002555356.1	DAKCFMEO_03650	BJEIHDPM_02638	PSPTO_RS25055	PDOHHFKI_00830
WP_002555369.1	DAKCFMEO_03636	BJEIHDPM_02624	PSPTO_RS25120	PDOHHFKI_04854
WP_002555370.1	DAKCFMEO_03635	BJEIHDPM_02623	PSPTO_RS25125	PDOHHFKI_04853
WP_002555375.1	DAKCFMEO_03630	BJEIHDPM_02618	PSPTO_RS25150	PDOHHFKI_04847
WP_002555427.1	DAKCFMEO_03570	BJEIHDPM_02558	PSPTO_RS03665	PDOHHFKI_04701
WP_002555464.1	DAKCFMEO_03531	BJEIHDPM_02519	PSPTO_RS03440	PDOHHFKI_04584
WP_002555465.1	DAKCFMEO_03530	BJEIHDPM_02518	PSPTO_RS03435	PDOHHFKI_04583
WP_002555466.1	DAKCFMEO_03529	BJEIHDPM_02517	PSPTO_RS03430	PDOHHFKI_04582
WP_002555467.1	DAKCFMEO_03528	BJEIHDPM_02516	PSPTO_RS03425	PDOHHFKI_04581
WP_002555469.1	DAKCFMEO_03527	BJEIHDPM_02515	PSPTO_RS03415	PDOHHFKI_04580
WP_002555470.1	DAKCFMEO_03526	BJEIHDPM_02514	PSPTO_RS03410	PDOHHFKI_04579
WP_002555471.1	DAKCFMEO_03525	BJEIHDPM_02513	PSPTO_RS03405	PDOHHFKI_04578
WP_002555473.1	DAKCFMEO_03523	BJEIHDPM_02511	PSPTO_RS03395	PDOHHFKI_04576
WP_002555475.1	DAKCFMEO_03521	BJEIHDPM_02509	PSPTO_RS03385	PDOHHFKI_04574
WP_002555476.1	DAKCFMEO_03520	BJEIHDPM_02508	PSPTO_RS03380	PDOHHFKI_04573
WP_002555478.1	DAKCFMEO_03518	BJEIHDPM_02506	PSPTO_RS03370	PDOHHFKI_04571
WP_002555479.1	DAKCFMEO_03517	BJEIHDPM_02505	PSPTO_RS03365	PDOHHFKI_04570
WP_002555480.1	DAKCFMEO_03516	BJEIHDPM_02504	PSPTO_RS03360	PDOHHFKI_04569
WP_002555481.1	DAKCFMEO_03515	BJEIHDPM_02503	PSPTO_RS03355	PDOHHFKI_04568
WP_002555482.1	DAKCFMEO_03514	BJEIHDPM_02502	PSPTO_RS03350	PDOHHFKI_04567
WP_002555485.1	DAKCFMEO_03512	BJEIHDPM_02500	PSPTO_RS03340	PDOHHFKI_04565
WP_002555488.1	DAKCFMEO_03509	BJEIHDPM_02497	PSPTO_RS03325	PDOHHFKI_04562
WP_002555489.1	DAKCFMEO_03508	BJEIHDPM_02496	PSPTO_RS03320	PDOHHFKI_04561
WP_002555491.1	DAKCFMEO_03506	BJEIHDPM_02494	PSPTO_RS03310	PDOHHFKI_04559
WP_002555494.1	DAKCFMEO_03502	BJEIHDPM_02490	PSPTO_RS03290	PDOHHFKI_04555
WP_002555500.1	DAKCFMEO_03496	BJEIHDPM_02484	PSPTO_RS03260	PDOHHFKI_04549
WP_002555565.1	DAKCFMEO_02914	BJEIHDPM_02352	PSPTO_RS02650	PDOHHFKI_04484
WP_002555698.1	DAKCFMEO_02157	BJEIHDPM_02278	PSPTO_RS02015	PDOHHFKI_00195
WP_002555721.1	DAKCFMEO_05119	BJEIHDPM_01492	PSPTO_RS01865	PDOHHFKI_04589
WP_002555745.1	DAKCFMEO_05170	BJEIHDPM_01543	PSPTO_RS27310	PDOHHFKI_01254
WP_002555770.1	DAKCFMEO_05186	BJEIHDPM_01559	PSPTO_RS27455	PDOHHFKI_00146
WP_002555777.1	DAKCFMEO_05219	BJEIHDPM_01592	PSPTO_RS27605	PDOHHFKI_01355
WP_002555808.1	DAKCFMEO_01909	BJEIHDPM_02029	PSPTO_RS01145	PDOHHFKI_02060
WP_002555947.1	DAKCFMEO_05180	BJEIHDPM_01553	PSPTO_RS01385	
WP_002555987.1	DAKCFMEO_01252	BJEIHDPM_01811	PSPTO_RS29015	PDOHHFKI_01060
WP_002556012.1	DAKCFMEO_02674	BJEIHDPM_03746	PSPTO_RS29755	
WP_002556144.1	DAKCFMEO_01747	BJEIHDPM_01068	PSPTO_RS05485	PDOHHFKI_01029
WP_003176422.1	DAKCFMEO_03513	BJEIHDPM_02501	PSPTO_RS03345	PDOHHFKI_04566
WP_003304675.1	DAKCFMEO_00371	BJEIHDPM_02940	PSPTO_RS22680	PDOHHFKI_02569
WP_003313553.1	DAKCFMEO_00399	BJEIHDPM_02912	PSPTO_RS22855	PDOHHFKI_02542
WP_003313577.1	DAKCFMEO_00425	BJEIHDPM_02886	PSPTO_RS22970	PDOHHFKI_02514
WP_003313894.1	DAKCFMEO_03604	BJEIHDPM_02592	PSPTO_RS24955	PDOHHFKI_00854
WP_003314356.1	DAKCFMEO_01752	BJEIHDPM_01073	PSPTO_RS20635	PDOHHFKI_00528
WP_003314356.1	DAKCFMEO_03136	BJEIHDPM_00469	PSPTO_RS20635	PDOHHFKI_00528
WP_003314637.1	DAKCFMEO_02299	BJEIHDPM_03371	PSPTO_RS09035	PDOHHFKI_02801
WP_003315067.1	DAKCFMEO_02668	BJEIHDPM_03740	PSPTO_RS10965	PDOHHFKI_01722
WP_003315128.1	DAKCFMEO_02617	BJEIHDPM_03689	PSPTO_RS10620	
WP_003315315.1	DAKCFMEO_04092	BJEIHDPM_04756	PSPTO_RS16100	PDOHHFKI_01615
WP_003315600.1	DAKCFMEO_00777	BJEIHDPM_03955	PSPTO_RS12205	PDOHHFKI_02980
WP_003315798.1	DAKCFMEO_04680	BJEIHDPM_05140	PSPTO_RS18160	PDOHHFKI_03002
WP_003317099.1	DAKCFMEO_03524	BJEIHDPM_02512	PSPTO_RS03400	PDOHHFKI_04577
WP_003317112.1	DAKCFMEO_03497	BJEIHDPM_02485	PSPTO_RS03265	PDOHHFKI_04550
WP_003317113.1	DAKCFMEO_03495	BJEIHDPM_02483	PSPTO_RS03255	PDOHHFKI_04548
WP_003317208.1	DAKCFMEO_04878	BJEIHDPM_01252	PSPTO_RS25485	PDOHHFKI_04411
WP_003317528.1	DAKCFMEO_03086	BJEIHDPM_00419	PSPTO_RS23840	
WP_003317531.1	DAKCFMEO_04652	BJEIHDPM_05168	PSPTO_RS18310	
WP_003317531.1	DAKCFMEO_03084	BJEIHDPM_00417	PSPTO_RS23850	
WP_003317532.1	DAKCFMEO_03082	BJEIHDPM_00415	PSPTO_RS23860	
WP_003317533.1	DAKCFMEO_03081	BJEIHDPM_00414	PSPTO_RS23865	PDOHHFKI_04662
WP_003317533.1	DAKCFMEO_03583	BJEIHDPM_02571	PSPTO_RS03805	PDOHHFKI_04662
WP_003318100.1	DAKCFMEO_01994	BJEIHDPM_02114	PSPTO_RS01240	PDOHHFKI_04617
WP_003318204.1	DAKCFMEO_03404	BJEIHDPM_00879	PSPTO_RS06030	PDOHHFKI_00787
WP_003340324.1	DAKCFMEO_01574	BJEIHDPM_01727	PSPTO_RS28475	PDOHHFKI_01159
WP_003344603.1	DAKCFMEO_00537	BJEIHDPM_02774	PSPTO_RS04245	PDOHHFKI_01512
WP_003346101.1	DAKCFMEO_00752	BJEIHDPM_03930	PSPTO_RS11995	PDOHHFKI_03794
WP_003363851.1	DAKCFMEO_00304	BJEIHDPM_03007	PSPTO_RS22370	PDOHHFKI_03302
WP_003365425.1	DAKCFMEO_02749	BJEIHDPM_00798	PSPTO_RS06430	
WP_003368676.1	DAKCFMEO_04778	BJEIHDPM_01152	PSPTO_RS23675	
WP_003373184.1	DAKCFMEO_04732	BJEIHDPM_05088	PSPTO_RS17885	PDOHHFKI_03221
WP_003373291.1	DAKCFMEO_02334	BJEIHDPM_03406	PSPTO_RS09215	PDOHHFKI_01702
WP_003373297.1	DAKCFMEO_02331	BJEIHDPM_03403	PSPTO_RS09200	PDOHHFKI_01704
WP_003373331.1	DAKCFMEO_00755	BJEIHDPM_03933	PSPTO_RS12100	
WP_003373338.1	DAKCFMEO_00759	BJEIHDPM_03937	PSPTO_RS12115	PDOHHFKI_03788
WP_003373339.1	DAKCFMEO_00760	BJEIHDPM_03938	PSPTO_RS12120	PDOHHFKI_01424
WP_003373363.1	DAKCFMEO_02144	BJEIHDPM_02265	PSPTO_RS01935	
WP_003373489.1	DAKCFMEO_04035	BJEIHDPM_04699	PSPTO_RS15705	PDOHHFKI_01766
WP_003375709.1	DAKCFMEO_01469	BJEIHDPM_04975	PSPTO_RS07330	
WP_003375712.1	DAKCFMEO_01470	BJEIHDPM_04976	PSPTO_RS07325	
WP_003375846.1	DAKCFMEO_03011	BJEIHDPM_00698	PSPTO_RS06995	
WP_003375849.1	DAKCFMEO_03010	BJEIHDPM_00699	PSPTO_RS06990	
WP_003375857.1	DAKCFMEO_03005	BJEIHDPM_00704	PSPTO_RS06965	
WP_003375863.1	DAKCFMEO_03001	BJEIHDPM_00708	PSPTO_RS06950	
WP_003375894.1	DAKCFMEO_02985	BJEIHDPM_00724	PSPTO_RS06855	PDOHHFKI_02355
WP_003375897.1	DAKCFMEO_02984	BJEIHDPM_00725	PSPTO_RS06850	PDOHHFKI_02354
WP_003375907.1	DAKCFMEO_02979	BJEIHDPM_00730	PSPTO_RS06825	PDOHHFKI_02349
WP_003375919.1	DAKCFMEO_02973	BJEIHDPM_00736	PSPTO_RS06795	PDOHHFKI_01810
WP_003375928.1	DAKCFMEO_02967	BJEIHDPM_00742	PSPTO_RS06770	
WP_003375972.1	DAKCFMEO_03302	BJEIHDPM_00755	PSPTO_RS06715	PDOHHFKI_00758
WP_003376021.1	DAKCFMEO_02729	BJEIHDPM_00778	PSPTO_RS06580	PDOHHFKI_03535
WP_003376036.1	DAKCFMEO_02735	BJEIHDPM_00784	PSPTO_RS06550	PDOHHFKI_03526
WP_003376052.1	DAKCFMEO_02742	BJEIHDPM_00791	PSPTO_RS06515	PDOHHFKI_03533
WP_003376124.1	DAKCFMEO_04526	BJEIHDPM_05294	PSPTO_RS18910	PDOHHFKI_03723
WP_003376162.1	DAKCFMEO_04485	BJEIHDPM_01501	PSPTO_RS19005	
WP_003376205.1	DAKCFMEO_04379	BJEIHDPM_00100	PSPTO_RS19115	PDOHHFKI_03648
WP_003376227.1	DAKCFMEO_04367	BJEIHDPM_00112	PSPTO_RS19170	
WP_003376264.1	DAKCFMEO_04343	BJEIHDPM_00136	PSPTO_RS19325	PDOHHFKI_02297
WP_003376266.1	DAKCFMEO_04342	BJEIHDPM_00137	PSPTO_RS19330	PDOHHFKI_02296
WP_003376303.1	DAKCFMEO_04318	BJEIHDPM_00161	PSPTO_RS19475	PDOHHFKI_00407
WP_003376366.1	DAKCFMEO_04864	BJEIHDPM_01239	PSPTO_RS25410	PDOHHFKI_04387
WP_003376376.1	DAKCFMEO_04858	BJEIHDPM_01233	PSPTO_RS25385	PDOHHFKI_02214
WP_003376387.1	DAKCFMEO_04852	BJEIHDPM_01227	PSPTO_RS25360	PDOHHFKI_00040
WP_003376398.1	DAKCFMEO_04845	BJEIHDPM_01220	PSPTO_RS25320	PDOHHFKI_04842
WP_003376420.1	DAKCFMEO_04834	BJEIHDPM_01209	PSPTO_RS25270	PDOHHFKI_02256
WP_003376558.1	DAKCFMEO_03610	BJEIHDPM_02598	PSPTO_RS24930	PDOHHFKI_00859
WP_003376569.1	DAKCFMEO_03615	BJEIHDPM_02603	PSPTO_RS24900	PDOHHFKI_00864
WP_003376591.1	DAKCFMEO_04813	BJEIHDPM_01187	PSPTO_RS24840	PDOHHFKI_00875
WP_003376593.1	DAKCFMEO_04812	BJEIHDPM_01186	PSPTO_RS24835	PDOHHFKI_02409
WP_003376603.1	DAKCFMEO_04804	BJEIHDPM_01178	PSPTO_RS24810	PDOHHFKI_02417
WP_003376607.1	DAKCFMEO_04802	BJEIHDPM_01176	PSPTO_RS24800	PDOHHFKI_02422
WP_003376614.1	DAKCFMEO_04799	BJEIHDPM_01173	PSPTO_RS24775	PDOHHFKI_01491
WP_003376691.1	DAKCFMEO_03960	BJEIHDPM_04624	PSPTO_RS15255	
WP_003376717.1	DAKCFMEO_03973	BJEIHDPM_04637	PSPTO_RS15320	
WP_003376859.1	DAKCFMEO_00828	BJEIHDPM_04006	PSPTO_RS12545	
WP_003376912.1	DAKCFMEO_03824	BJEIHDPM_04487	PSPTO_RS14640	
WP_003376950.1	DAKCFMEO_00893	BJEIHDPM_04071	PSPTO_RS13485	
WP_003376994.1	DAKCFMEO_01045	BJEIHDPM_04223	PSPTO_RS13630	
WP_003377005.1	DAKCFMEO_01053	BJEIHDPM_04231	PSPTO_RS13660	
WP_003377107.1	DAKCFMEO_04914	BJEIHDPM_01288	PSPTO_RS25665	PDOHHFKI_01311
WP_003377111.1	DAKCFMEO_04924	BJEIHDPM_01298	PSPTO_RS25715	PDOHHFKI_01308
WP_003377112.1	DAKCFMEO_04925	BJEIHDPM_01299	PSPTO_RS25720	PDOHHFKI_01307
WP_003377120.1	DAKCFMEO_04935	BJEIHDPM_01309	PSPTO_RS25765	PDOHHFKI_01322
WP_003377131.1	DAKCFMEO_04945	BJEIHDPM_01319	PSPTO_RS25820	PDOHHFKI_01335
WP_003377141.1	DAKCFMEO_04956	BJEIHDPM_01330	PSPTO_RS25880	PDOHHFKI_00811
WP_003377196.1	DAKCFMEO_05001	BJEIHDPM_01375	PSPTO_RS26035	PDOHHFKI_00047
WP_003377199.1	DAKCFMEO_05003	BJEIHDPM_01377	PSPTO_RS26045	PDOHHFKI_00049
WP_003377205.1	DAKCFMEO_05006	BJEIHDPM_01380	PSPTO_RS26060	PDOHHFKI_00052
WP_003377212.1	DAKCFMEO_05012	BJEIHDPM_01386	PSPTO_RS26095	PDOHHFKI_00059
WP_003377215.1	DAKCFMEO_05015	BJEIHDPM_01389	PSPTO_RS26115	PDOHHFKI_00062
WP_003377217.1	DAKCFMEO_05017	BJEIHDPM_01391	PSPTO_RS26125	PDOHHFKI_00067
WP_003377258.1	DAKCFMEO_02046	BJEIHDPM_02166	PSPTO_RS01460	
WP_003377314.1	DAKCFMEO_02845	BJEIHDPM_02421	PSPTO_RS02940	PDOHHFKI_02149
WP_003377457.1	DAKCFMEO_02802	BJEIHDPM_02464	PSPTO_RS03160	PDOHHFKI_00913
WP_003377470.1	DAKCFMEO_01713	BJEIHDPM_01034	PSPTO_RS23385	
WP_003377471.1	DAKCFMEO_01706	BJEIHDPM_01027	PSPTO_RS23380	PDOHHFKI_04773
WP_003377479.1	DAKCFMEO_01699	BJEIHDPM_01020	PSPTO_RS23340	PDOHHFKI_04780
WP_003377482.1	DAKCFMEO_01697	BJEIHDPM_01018	PSPTO_RS23330	PDOHHFKI_04782
WP_003377487.1	DAKCFMEO_01692	BJEIHDPM_01013	PSPTO_RS23305	PDOHHFKI_04788
WP_003377503.1	DAKCFMEO_01682	BJEIHDPM_01003	PSPTO_RS23250	PDOHHFKI_04797
WP_003377505.1	DAKCFMEO_01681	BJEIHDPM_01002	PSPTO_RS23245	PDOHHFKI_04798
WP_003377508.1	DAKCFMEO_01678	BJEIHDPM_00999	PSPTO_RS23230	PDOHHFKI_04801
WP_003377527.1	DAKCFMEO_00461	BJEIHDPM_02850	PSPTO_RS23150	PDOHHFKI_02478
WP_003377531.1	DAKCFMEO_00459	BJEIHDPM_02852	PSPTO_RS23140	PDOHHFKI_02480
WP_003377535.1	DAKCFMEO_00455	BJEIHDPM_02856	PSPTO_RS23120	PDOHHFKI_02484
WP_003377548.1	DAKCFMEO_00447	BJEIHDPM_02864	PSPTO_RS23090	PDOHHFKI_02490
WP_003377550.1	DAKCFMEO_00446	BJEIHDPM_02865	PSPTO_RS23085	PDOHHFKI_02491
WP_003377554.1	DAKCFMEO_00444	BJEIHDPM_02867	PSPTO_RS23075	PDOHHFKI_02493
WP_003377556.1	DAKCFMEO_00443	BJEIHDPM_02868	PSPTO_RS23070	PDOHHFKI_02494
WP_003377572.1	DAKCFMEO_00435	BJEIHDPM_02876	PSPTO_RS23030	PDOHHFKI_02502
WP_003377577.1	DAKCFMEO_00432	BJEIHDPM_02879	PSPTO_RS23015	PDOHHFKI_02505
WP_003377590.1	DAKCFMEO_00427	BJEIHDPM_02884	PSPTO_RS22980	PDOHHFKI_02512
WP_003377592.1	DAKCFMEO_00426	BJEIHDPM_02885	PSPTO_RS22975	PDOHHFKI_02513
WP_003377598.1	DAKCFMEO_00421	BJEIHDPM_02890	PSPTO_RS22955	PDOHHFKI_02517
WP_003377605.1	DAKCFMEO_00417	BJEIHDPM_02894	PSPTO_RS22935	PDOHHFKI_02524
WP_003377610.1	DAKCFMEO_00411	BJEIHDPM_02900	PSPTO_RS22920	PDOHHFKI_02530
WP_003377649.1	DAKCFMEO_00392	BJEIHDPM_02919	PSPTO_RS22820	PDOHHFKI_02549
WP_003377651.1	DAKCFMEO_00390	BJEIHDPM_02921	PSPTO_RS22810	PDOHHFKI_02551
WP_003377653.1	DAKCFMEO_00389	BJEIHDPM_02922	PSPTO_RS22805	PDOHHFKI_02552
WP_003377687.1	DAKCFMEO_03264	BJEIHDPM_00598	PSPTO_RS07735	PDOHHFKI_03406
WP_003377703.1	DAKCFMEO_03251	BJEIHDPM_00585	PSPTO_RS07805	PDOHHFKI_03394
WP_003377717.1	DAKCFMEO_03245	BJEIHDPM_00579	PSPTO_RS07840	
WP_003377783.1	DAKCFMEO_03205	BJEIHDPM_00538	PSPTO_RS08010	PDOHHFKI_00716
WP_003377785.1	DAKCFMEO_03204	BJEIHDPM_00537	PSPTO_RS08015	PDOHHFKI_00715
WP_003377787.1	DAKCFMEO_03867	BJEIHDPM_04531	PSPTO_RS08020	
WP_003377815.1	DAKCFMEO_03188	BJEIHDPM_00521	PSPTO_RS08100	PDOHHFKI_00700
WP_003377825.1	DAKCFMEO_03183	BJEIHDPM_00516	PSPTO_RS08125	PDOHHFKI_00695
WP_003377829.1	DAKCFMEO_03181	BJEIHDPM_00514	PSPTO_RS08135	PDOHHFKI_00693
