Orthogroup	SpeciesA	GeneA	SpeciesB	GeneB
OG0000100	DC3000_protein_12_2025	WP_011104272.1, WP_011104283.1, WP_011105454.1	plate25.C2.annotation	DAKCFMEO_03939, DAKCFMEO_04432
OG0000101	DC3000_protein_12_2025	WP_011104426.1, WP_011104500.1, WP_011104868.1	plate25.C2.annotation	DAKCFMEO_01495, DAKCFMEO_04219
OG0000102	DC3000_protein_12_2025	WP_011104446.1, WP_166460975.1	plate25.C2.annotation	DAKCFMEO_00975, DAKCFMEO_00979, DAKCFMEO_00982
OG0000103	DC3000_protein_12_2025	WP_011104705.1, WP_024668229.1, WP_046463339.1	plate25.C2.annotation	DAKCFMEO_00602, DAKCFMEO_04595
OG0000104	DC3000_protein_12_2025	WP_011104854.1, WP_046463475.1, WP_046463959.1, WP_057443212.1	plate25.C2.annotation	DAKCFMEO_02075
OG0000105	DC3000_protein_12_2025	WP_011105042.1, WP_011105348.1	plate25.C2.annotation	DAKCFMEO_00104, DAKCFMEO_01774, DAKCFMEO_02106
OG0000106	DC3000_protein_12_2025	WP_011105273.1, WP_011105274.1, WP_046463283.1	plate25.C2.annotation	DAKCFMEO_04947, DAKCFMEO_04992
OG0000107	DC3000_protein_12_2025	WP_011105470.1, WP_057443166.1	plate25.C2.annotation	DAKCFMEO_01299, DAKCFMEO_04010, DAKCFMEO_05262
OG0000108	DC3000_protein_12_2025	WP_011105480.1, WP_046463302.1	plate25.C2.annotation	DAKCFMEO_01137, DAKCFMEO_01627, DAKCFMEO_05289
OG0000109	DC3000_protein_12_2025	WP_044393960.1, WP_046463524.1	plate25.C2.annotation	DAKCFMEO_01315, DAKCFMEO_02473, DAKCFMEO_02474
OG0000113	DC3000_protein_12_2025	WP_002551844.1, WP_003381481.1	plate25.C2.annotation	DAKCFMEO_00096, DAKCFMEO_04866
OG0000114	DC3000_protein_12_2025	WP_002553918.1, WP_011105523.1	plate25.C2.annotation	DAKCFMEO_01408, DAKCFMEO_01584
OG0000115	DC3000_protein_12_2025	WP_003317531.1, WP_011104604.1	plate25.C2.annotation	DAKCFMEO_03084, DAKCFMEO_04652
OG0000116	DC3000_protein_12_2025	WP_003317533.1, WP_005614429.1	plate25.C2.annotation	DAKCFMEO_03081, DAKCFMEO_03583
OG0000117	DC3000_protein_12_2025	WP_003376366.1, WP_003381484.1	plate25.C2.annotation	DAKCFMEO_00098, DAKCFMEO_04864
OG0000118	DC3000_protein_12_2025	WP_003377141.1, WP_005770657.1, WP_011104758.1	plate25.C2.annotation	DAKCFMEO_04956
OG0000119	DC3000_protein_12_2025	WP_003377815.1, WP_005765442.1, WP_011105118.1	plate25.C2.annotation	DAKCFMEO_03188
OG0000120	DC3000_protein_12_2025	WP_003378076.1, WP_005771567.1	plate25.C2.annotation	DAKCFMEO_02501, DAKCFMEO_04669
OG0000121	DC3000_protein_12_2025	WP_003378216.1, WP_005762942.1	plate25.C2.annotation	DAKCFMEO_04559, DAKCFMEO_04986
OG0000122	DC3000_protein_12_2025	WP_003379025.1, WP_007246249.1, WP_011104761.1	plate25.C2.annotation	DAKCFMEO_03031
OG0000123	DC3000_protein_12_2025	WP_003379266.1, WP_005766375.1, WP_046463419.1	plate25.C2.annotation	DAKCFMEO_03387
OG0000124	DC3000_protein_12_2025	WP_003380966.1, WP_005762738.1, WP_011105576.1	plate25.C2.annotation	DAKCFMEO_00367
OG0000125	DC3000_protein_12_2025	WP_003382014.1	plate25.C2.annotation	DAKCFMEO_00638, DAKCFMEO_00971, DAKCFMEO_02599
OG0000126	DC3000_protein_12_2025	WP_003382103.1, WP_161797788.1	plate25.C2.annotation	DAKCFMEO_02020, DAKCFMEO_02495
OG0000127	DC3000_protein_12_2025	WP_003382491.1, WP_011104335.1	plate25.C2.annotation	DAKCFMEO_00714, DAKCFMEO_04025
OG0000128	DC3000_protein_12_2025	WP_003383243.1, WP_003383244.1	plate25.C2.annotation	DAKCFMEO_00484, DAKCFMEO_00485
OG0000129	DC3000_protein_12_2025	WP_003425052.1, WP_011105579.1	plate25.C2.annotation	DAKCFMEO_01039, DAKCFMEO_03092
OG0000130	DC3000_protein_12_2025	WP_005614190.1, WP_011104937.1	plate25.C2.annotation	DAKCFMEO_01360, DAKCFMEO_02804
OG0000131	DC3000_protein_12_2025	WP_005615570.1	plate25.C2.annotation	DAKCFMEO_00851, DAKCFMEO_02206, DAKCFMEO_03009
OG0000132	DC3000_protein_12_2025	WP_005616684.1, WP_007247202.1	plate25.C2.annotation	DAKCFMEO_01939, DAKCFMEO_03041
OG0000133	DC3000_protein_12_2025	WP_005739535.1, WP_011105577.1, WP_046463874.1	plate25.C2.annotation	DAKCFMEO_00366
OG0000134	DC3000_protein_12_2025	WP_005739890.1, WP_011104096.1	plate25.C2.annotation	DAKCFMEO_00881, DAKCFMEO_01910
OG0000135	DC3000_protein_12_2025	WP_005740380.1, WP_011104666.1	plate25.C2.annotation	DAKCFMEO_01880, DAKCFMEO_02675
OG0000136	DC3000_protein_12_2025	WP_005760706.1, WP_005768316.1	plate25.C2.annotation	DAKCFMEO_01554, DAKCFMEO_04380
OG0000137	DC3000_protein_12_2025	WP_005762626.1, WP_007244776.1	plate25.C2.annotation	DAKCFMEO_00630, DAKCFMEO_01161
OG0000138	DC3000_protein_12_2025	WP_005762731.1, WP_005765176.1	plate25.C2.annotation	DAKCFMEO_03218, DAKCFMEO_04609
OG0000139	DC3000_protein_12_2025	WP_005762766.1, WP_011104377.1, WP_046464032.1	plate25.C2.annotation	DAKCFMEO_01951
OG0000140	DC3000_protein_12_2025	WP_005762818.1, WP_005764409.1, WP_007246690.1	plate25.C2.annotation	DAKCFMEO_00899
OG0000141	DC3000_protein_12_2025	WP_005762820.1, WP_005764184.1, WP_011104351.1	plate25.C2.annotation	DAKCFMEO_02755
OG0000142	DC3000_protein_12_2025	WP_005762824.1, WP_005762826.1, WP_010213170.1	plate25.C2.annotation	DAKCFMEO_04937
OG0000143	DC3000_protein_12_2025	WP_005763054.1, WP_005764931.1	plate25.C2.annotation	DAKCFMEO_00097, DAKCFMEO_04865
OG0000144	DC3000_protein_12_2025	WP_005763528.1, WP_011104277.1, WP_011104478.1	plate25.C2.annotation	DAKCFMEO_02146
OG0000145	DC3000_protein_12_2025	WP_005763634.1	plate25.C2.annotation	DAKCFMEO_00937, DAKCFMEO_05032, DAKCFMEO_05034
OG0000146	DC3000_protein_12_2025	WP_005763680.1, WP_007246877.1	plate25.C2.annotation	DAKCFMEO_00875, DAKCFMEO_02959
OG0000148	DC3000_protein_12_2025	WP_005763731.1, WP_005765147.1	plate25.C2.annotation	DAKCFMEO_02937, DAKCFMEO_04629
OG0000149	DC3000_protein_12_2025	WP_005763902.1, WP_005763926.1	plate25.C2.annotation	DAKCFMEO_01476, DAKCFMEO_01487
OG0000150	DC3000_protein_12_2025	WP_005763930.1, WP_005768336.1	plate25.C2.annotation	DAKCFMEO_01568, DAKCFMEO_03315
OG0000151	DC3000_protein_12_2025	WP_005764049.1, WP_011103331.1	plate25.C2.annotation	DAKCFMEO_01167, DAKCFMEO_02981
OG0000152	DC3000_protein_12_2025	WP_005764405.1, WP_005765569.1	plate25.C2.annotation	DAKCFMEO_03874, DAKCFMEO_05129
OG0000153	DC3000_protein_12_2025	WP_005764834.1, WP_011103985.1	plate25.C2.annotation	DAKCFMEO_00167, DAKCFMEO_03851
OG0000154	DC3000_protein_12_2025	WP_005764926.1, WP_011105230.1	plate25.C2.annotation	DAKCFMEO_00099, DAKCFMEO_04863
OG0000155	DC3000_protein_12_2025	WP_005764944.1, WP_011104352.1, WP_044393502.1	plate25.C2.annotation	DAKCFMEO_00092
OG0000156	DC3000_protein_12_2025	WP_005765115.1, WP_011105083.1	plate25.C2.annotation	DAKCFMEO_03083, DAKCFMEO_04651
OG0000157	DC3000_protein_12_2025	WP_005765137.1	plate25.C2.annotation	DAKCFMEO_04420, DAKCFMEO_04427, DAKCFMEO_04635
OG0000158	DC3000_protein_12_2025	WP_005765139.1	plate25.C2.annotation	DAKCFMEO_01712, DAKCFMEO_04631, DAKCFMEO_04633
OG0000159	DC3000_protein_12_2025	WP_005765488.1, WP_005766477.1	plate25.C2.annotation	DAKCFMEO_00465, DAKCFMEO_02420
OG0000160	DC3000_protein_12_2025	WP_005765650.1, WP_005765976.1	plate25.C2.annotation	DAKCFMEO_00793, DAKCFMEO_03200
OG0000161	DC3000_protein_12_2025	WP_005766100.1, WP_005767830.1, WP_005769505.1	plate25.C2.annotation	DAKCFMEO_01878
OG0000162	DC3000_protein_12_2025	WP_005766595.1, WP_011103728.1	plate25.C2.annotation	DAKCFMEO_00379, DAKCFMEO_02365
OG0000163	DC3000_protein_12_2025	WP_005766669.1, WP_011104674.1	plate25.C2.annotation	DAKCFMEO_02275, DAKCFMEO_04394
OG0000164	DC3000_protein_12_2025	WP_005767480.1, WP_007246896.1	plate25.C2.annotation	DAKCFMEO_00833, DAKCFMEO_04471
OG0000165	DC3000_protein_12_2025	WP_005767488.1, WP_011103991.1	plate25.C2.annotation	DAKCFMEO_00829, DAKCFMEO_04475
OG0000166	DC3000_protein_12_2025	WP_005767577.1, WP_057443137.1	plate25.C2.annotation	DAKCFMEO_00028, DAKCFMEO_01580
OG0000167	DC3000_protein_12_2025	WP_005767725.1, WP_024666071.1	plate25.C2.annotation	DAKCFMEO_03747, DAKCFMEO_04499
OG0000168	DC3000_protein_12_2025	WP_005768035.1, WP_011104545.1, WP_011104827.1	plate25.C2.annotation	DAKCFMEO_02834
OG0000169	DC3000_protein_12_2025	WP_005768450.1, WP_011105375.1	plate25.C2.annotation	DAKCFMEO_02199, DAKCFMEO_05151
