Entry	RefSeq	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Proteomes	Organism (ID)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
Q87V08	NP_794865.1;WP_011105330.1;	Q87V08_PSESM	unreviewed	Penicillin-binding protein 1A (EC 2.4.99.28) (EC 3.4.16.4)	PSPTO_5133	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	814	UP000002515: Chromosome	223283	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0030288; GO:0046677; GO:0071555
Q87V88	NP_794784.1;	IXTPA_PSESM	reviewed	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	PSPTO_5051	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	197	UP000002515: Chromosome	223283	nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	cytosol [GO:0005829]	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]	cytosol [GO:0005829]; dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	GO:0000166; GO:0005829; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872
Q87VB1	NP_794761.1;WP_011105279.1;	SELO_PSESM	reviewed	Protein nucleotidyltransferase YdiU (EC 2.7.7.-) (Protein adenylyltransferase YdiU) (EC 2.7.7.108) (Protein uridylyltransferase YdiU) (EC 2.7.7.-)	ydiU selO PSPTO_5028	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	487	UP000002515: Chromosome	223283			AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]	AMPylase activity [GO:0070733]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005524; GO:0070733
Q87VF4	NP_794716.1;WP_005736892.1;	HLDE_PSESM	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE PSPTO_4983	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	474	UP000002515: Chromosome	223283	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]	cytosol [GO:0005829]	ATP binding [GO:0005524]; heptose 7-phosphate kinase activity [GO:0033785]; heptose-1-phosphate adenylyltransferase activity [GO:0033786]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	cytosol [GO:0005829]; ATP binding [GO:0005524]; heptose 7-phosphate kinase activity [GO:0033785]; heptose-1-phosphate adenylyltransferase activity [GO:0033786]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]	GO:0005524; GO:0005829; GO:0016773; GO:0033785; GO:0033786; GO:0097171
Q87VI9	NP_794680.1;WP_011105241.1;	Q87VI9_PSESM	unreviewed	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrD nnrE PSPTO_4947	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	496	UP000002515: Chromosome	223283	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]		ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]; metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]	GO:0005524; GO:0046496; GO:0046872; GO:0052855; GO:0052856; GO:0110051
Q87WL6	NP_794283.1;WP_011105040.1;	KATG_PSESM	reviewed	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG PSPTO_4530	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	756	UP000002515: Chromosome	223283	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cytosol [GO:0005829]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301
Q87WP3	NP_794255.1;WP_007243710.1;	CARA_PSESM	reviewed	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	carA PSPTO_4502	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	378	UP000002515: Chromosome	223283	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]		ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; glutaminase activity [GO:0004359]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	GO:0004088; GO:0004359; GO:0005524; GO:0006207; GO:0006526; GO:0006541; GO:0044205
Q87WP4	NP_794254.1;WP_007243709.1;	CARB_PSESM	reviewed	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB PSPTO_4501	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	1073	UP000002515: Chromosome	223283	'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872
Q87WP8	NP_794250.1;WP_011105023.1;	Q87WP8_PSESM	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH PSPTO_4497	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	634	UP000002515: Chromosome	223283	cell division [GO:0051301]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163; GO:0051301
Q87WW1	NP_794186.1;WP_011105005.1;	Q87WW1_PSESM	unreviewed	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	cysN cysN/C PSPTO_4432	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	632	UP000002515: Chromosome	223283	hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]		adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; sulfate adenylyltransferase (ATP) activity [GO:0004781]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]	GO:0000103; GO:0003924; GO:0004020; GO:0004781; GO:0005524; GO:0005525; GO:0070814; GO:0097216
Q87WY0	NP_794167.1;WP_005766562.1;	MURE_PSESM	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE PSPTO_4413	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	487	UP000002515: Chromosome	223283	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0000287; GO:0005524; GO:0005737; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555
Q87YF9	NP_793613.1;	Q87YF9_PSESM	unreviewed	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne PSPTO_3841	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	1128	UP000002515: Chromosome	223283	mRNA catabolic process [GO:0006402]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]	magnesium ion binding [GO:0000287]; ribonuclease E activity [GO:0008995]; RNA endonuclease activity [GO:0004521]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; magnesium ion binding [GO:0000287]; ribonuclease E activity [GO:0008995]; RNA endonuclease activity [GO:0004521]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; mRNA catabolic process [GO:0006402]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	GO:0000049; GO:0000287; GO:0004521; GO:0005737; GO:0006364; GO:0006402; GO:0008033; GO:0008270; GO:0008995; GO:0009898; GO:0019843
Q87YI3	NP_793588.1;WP_011104737.1;	Q87YI3_PSESM	unreviewed	Dihydrofolate synthase/folylpolyglutamate synthase (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC PSPTO_3814	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	434	UP000002515: Chromosome	223283	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	GO:0004326; GO:0005524; GO:0005737; GO:0008841; GO:0046654; GO:0046656; GO:0046872
Q87ZT0	NP_793127.1;WP_005618952.1;	CYSG_PSESM	reviewed	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG pspTO3344 PSPTO_3344	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	464	UP000002515: Chromosome	223283	cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]		NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851]	NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]	GO:0004851; GO:0009236; GO:0019354; GO:0032259; GO:0043115; GO:0051266; GO:0051287
Q882A9	NP_792526.1;WP_005762586.1;	NUDC_PSESM	reviewed	NAD-capped RNA hydrolase NudC (DeNADding enzyme NudC) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)	nudC PSPTO_2720	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	278	UP000002515: Chromosome	223283	NAD catabolic process [GO:0019677]; NADH metabolic process [GO:0006734]; NADP catabolic process [GO:0006742]	cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; RNA NAD-cap (NMN-forming) hydrolase activity [GO:0110153]; zinc ion binding [GO:0008270]; NAD catabolic process [GO:0019677]; NADH metabolic process [GO:0006734]; NADP catabolic process [GO:0006742]	GO:0000210; GO:0000287; GO:0005829; GO:0006734; GO:0006742; GO:0008270; GO:0019677; GO:0030145; GO:0035529; GO:0110153
Q882W2	NP_792322.1;WP_011104047.1;	Q882W2_PSESM	unreviewed	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB PSPTO_2510	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	572	UP000002515: Chromosome	223283	pyruvate catabolic process [GO:0042867]	plasma membrane [GO:0005886]	flavin adenine dinucleotide binding [GO:0050660]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]	plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]; pyruvate catabolic process [GO:0042867]	GO:0000287; GO:0005886; GO:0008289; GO:0030976; GO:0042867; GO:0048039; GO:0050660; GO:0052737
Q884B9	NP_791998.1;WP_007244780.1;	Q884B9_PSESM	unreviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd-1 asd PSPTO_2176	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	370	UP000002515: Chromosome	223283	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]; 'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266
