WP_RefSeq PSPTO uniprot
WP_005769463.1 PSPTO0142 Q88B77
WP_005769461.1 PSPTO0143 Q88B76
WP_011103009.1 PSPTO0144 Q88B75
WP_011103010.1 PSPTO0145 Q88B74
WP_011103011.1 PSPTO0146 Q88B73
WP_011103012.1 PSPTO0147 Q88B72
WP_005768135.1 PSPTO0148 Q88B71
WP_005768136.1 PSPTO0149 Q88B70
WP_005768137.1 PSPTO0150 Q88B69
WP_003379415.1 PSPTO0151 Q88B68
WP_005768138.1 PSPTO0152 Q88B67
WP_005768139.1 PSPTO0153 Q88B66
WP_003379418.1 PSPTO0154 Q88B65
WP_005613459.1 PSPTO0155 Q88B64
WP_005768141.1 PSPTO0156 Q88B63
WP_005768142.1 PSPTO0157 Q88B62
WP_005768143.1 PSPTO0158 Q88B61
WP_011103014.1 PSPTO0159 Q88B60
WP_005768144.1 PSPTO0161 Q88B58
WP_005768145.1 PSPTO0162 Q88B57
WP_005738577.1 PSPTO0163 Q88B56
WP_005768148.1 PSPTO0164 Q88B55
WP_005768150.1 PSPTO0165 Q88B54
WP_011103015.1 PSPTO0166 Q88B53
WP_005768154.1 PSPTO0167 Q88B52
WP_011103017.1 PSPTO0168 Q88B51
WP_011103018.1 PSPTO0169 Q88B50
WP_005768167.1 PSPTO0170 Q88B49
WP_007247571.1 PSPTO0171 NA
WP_046463632.1 PSPTO0172 Q88B48
WP_011103021.1 PSPTO0173 Q88B47
WP_011103022.1 PSPTO0174 Q88B46
WP_046463633.1 PSPTO0175 Q88B45
WP_011103024.1 PSPTO0176 Q88B44
WP_005768180.1 PSPTO0177 Q88B43
WP_005768186.1 PSPTO0178 Q88B42
WP_011103025.1 PSPTO0179 Q88B41
WP_005768190.1 PSPTO0180 Q88B40
WP_057443166.1 PSPTO0181 Q88B39
WP_005768197.1 PSPTO0182 Q88B38
WP_011103027.1 PSPTO0183 Q88B37
WP_003379468.1 PSPTO0184 Q88B36
WP_011103028.1 PSPTO0185 Q88B35
WP_011103029.1 PSPTO0186 Q88B34
WP_005768204.1 PSPTO0187 Q88B33
 pseudo;PSPTO0188 NA
WP_005768207.1 PSPTO0189 Q88B32
WP_005768208.1 PSPTO0190 NA
WP_005768209.1 PSPTO0191 NA
WP_011102959.1 PSPTO0192 Q877P4
WP_005741073.1 PSPTO0193 NA
WP_002551322.1 PSPTO0194 NA
WP_003409202.1 PSPTO0196 NA
WP_003409203.1 PSPTO0197 NA
WP_005768549.1 PSPTO0200 Q88B31
WP_005768548.1 PSPTO0201 Q88B30
WP_005768545.1 PSPTO0202 Q88B29
WP_005768541.1 PSPTO0203 Q88B28
WP_005768535.1 PSPTO0205 Q88B27
WP_005768531.1 PSPTO0206 Q88B26
 partial;pseudo;PSPTO0207 NA
WP_005768530.1 PSPTO0208 Q88B25
WP_011103031.1 PSPTO0209 Q88B24
WP_011103032.1 PSPTO0210 Q88B23
WP_011103033.1 PSPTO0211 Q88B22
WP_011103034.1 PSPTO0212 Q88B21
WP_011103035.1 PSPTO0213 Q88B20
WP_005739893.1 PSPTO0214 Q88B19
WP_005768515.1 PSPTO0215 Q88B18
WP_002555808.1 PSPTO0217 Q88B16
WP_005739890.1 PSPTO0218 Q88B15
WP_005768513.1 PSPTO0219 Q88B14
WP_005768511.1 PSPTO0220 Q88B13
WP_005768510.1 PSPTO0221 Q88B12
WP_007246535.1 PSPTO0222 Q88B11
WP_011103037.1 PSPTO0223 Q88B10
WP_011103038.1 PSPTO0224 Q88B09
WP_011103039.1 PSPTO0225 Q88B08
WP_011103040.1 PSPTO0226 Q88B07
WP_005768497.1 PSPTO0227 Q88B06
WP_005613644.1 PSPTO0228 Q88B05
WP_007246537.1 PSPTO0229 Q88B04
WP_011103041.1 PSPTO0230 Q88B03
WP_005768492.1 PSPTO0231 Q88B02
WP_005768491.1 PSPTO0232 Q88B01
WP_011103042.1 PSPTO0233 Q88B00
WP_003318100.1 PSPTO0234 Q88AZ9
WP_172679536.1 PSPTO0235 Q88AZ8
WP_005768488.1 PSPTO0236 Q88AZ7
WP_003377907.1 PSPTO0237 Q88AZ6
WP_005613652.1 PSPTO0238 Q88AZ5
WP_005613653.1 PSPTO0239 Q88AZ4
WP_007246542.1 PSPTO0240 Q88AZ3
WP_005768484.1 PSPTO0241 Q88AZ2
WP_046463847.1 PSPTO0242 Q88AZ1
WP_046463848.1 PSPTO0243 Q88AZ0
WP_011103045.1 PSPTO0244 Q88AY9
WP_011103046.1 PSPTO0245 Q88AY8
WP_005771069.1 PSPTO0247 Q88AY6
WP_011103048.1 PSPTO0248 Q88AY5
WP_011103049.1 PSPTO0249 Q88AY4
WP_005771075.1 PSPTO0250 Q88AY3
WP_005771077.1 PSPTO0251 Q88AY2
WP_011103050.1 PSPTO0252 Q88AY1
WP_003382315.1 PSPTO0253 Q88AY0
WP_007247117.1 PSPTO0254 Q88AX9
WP_011103051.1 PSPTO0255 Q88AX8
WP_011103052.1 PSPTO0256 Q88AX7
WP_011103053.1 PSPTO0257 Q88AX6
WP_010207549.1 PSPTO0258 Q88AX5
WP_011103055.1 PSPTO0259 Q88AX4
WP_011103056.1 PSPTO0260 Q88AX3
WP_002555947.1 PSPTO0261 Q88AX2
WP_007247110.1 PSPTO0262 Q88AX1
WP_011103057.1 PSPTO0263 Q88AX0
WP_011103058.1 PSPTO0264 Q88AW9
WP_011103059.1 PSPTO0265 Q88AW8
WP_005739846.1 PSPTO0266 Q88AW7
WP_046463852.1 PSPTO0267 Q88AW6
WP_044392586.1 PSPTO0268 Q88AW5
WP_005739842.1 PSPTO0269 Q88AW4
WP_011103062.1 PSPTO0270 Q88AW3
WP_052746256.1 PSPTO0271 Q88AW2
WP_046463853.1 PSPTO0272 Q88AW1
WP_005613713.1 PSPTO0273 Q88AW0
WP_005771123.1 PSPTO0274 Q88AV9
WP_011103065.1 PSPTO0275 Q88AV8
WP_003377258.1 PSPTO0276 Q88AV7
WP_011103067.1 PSPTO0277 Q88AV6
WP_011103068.1 PSPTO0278 Q88AV5
WP_007247158.1 PSPTO0279 Q88AV4
WP_226992677.1 PSPTO0280 Q88AV3
WP_007247160.1 PSPTO0281 Q88AV2
WP_046463854.1 PSPTO0282 Q88AV1
WP_005737305.1 PSPTO0283 Q88AV0
 partial;pseudo;PSPTO0284 NA
WP_011103073.1 PSPTO0285 Q88AU8
WP_201367524.1 PSPTO0286 NA
WP_057443212.1 PSPTO0287 Q88AU7
WP_011103075.1 PSPTO0288 Q88AU6
WP_162491839.1 PSPTO0289 Q88AU5
WP_011103077.1 PSPTO0290 Q88AU4
WP_005741073.1 PSPTO0291 NA
WP_002551322.1 PSPTO0292 NA
WP_011103078.1 PSPTO0293 Q88AU3
WP_011103079.1 PSPTO0294 Q88AU2
WP_011103080.1 PSPTO0295 Q88AU1
WP_011103081.1 PSPTO0296 Q88AU0
WP_011103082.1 PSPTO0297 Q88AT9
WP_011103083.1 PSPTO0298 Q88AT8
WP_046463816.1 PSPTO0299 Q88AT7
WP_011103085.1 PSPTO0300 Q88AT6
WP_011103086.1 PSPTO0301 Q88AT5
WP_046463817.1 PSPTO0303 Q88AT3
WP_005763415.1 PSPTO0304 Q88AT2
WP_044393593.1 PSPTO0305 Q88AT1
WP_011103090.1 PSPTO0306 Q88AT0
WP_002551397.1 PSPTO0307 Q88AS9
WP_011103091.1 PSPTO0308 Q88AS8
WP_005763424.1 PSPTO0309 Q88AS7
WP_003380253.1 PSPTO0310 Q88AS6
WP_003380252.1 PSPTO0311 Q88AS5
WP_011103092.1 PSPTO0312 Q88AS4
WP_011103093.1 PSPTO0313 Q88AS3
WP_007247176.1 PSPTO0314 Q88AS2
WP_011103094.1 PSPTO0315 Q88AS1
WP_005763440.1 PSPTO0316 Q88AS0
WP_011103095.1 PSPTO0317 Q88AR9
WP_003380209.1 PSPTO0318 Q88AR8
WP_005763446.1 PSPTO0319 Q88AR7
WP_005763448.1 PSPTO0320 Q88AR6
WP_011103096.1 PSPTO0321 Q88AR5
WP_005763452.1 PSPTO0322 Q88AR4
WP_005763453.1 PSPTO0323 Q88AR3
WP_005763455.1 PSPTO0324 Q88AR2
WP_005763456.1 PSPTO0325 Q88AR1
WP_005763459.1 PSPTO0326 Q88AR0
WP_005763462.1 PSPTO0327 Q88AQ9
WP_003380226.1 PSPTO0328 Q88AQ8
WP_005763465.1 PSPTO0329 Q88AQ7
WP_011103099.1 PSPTO0330 Q88AQ6
WP_011103100.1 PSPTO0332 Q88AQ4
WP_005763472.1 PSPTO0333 Q88AQ3
WP_003380235.1 PSPTO0334 Q88AQ2
WP_011103101.1 PSPTO0335 Q88AQ1
WP_046463600.1 PSPTO0336 Q88AQ0
WP_005613797.1 PSPTO0337 Q88AP9
WP_011103103.1 PSPTO0338 Q88AP8
WP_011103104.1 PSPTO0339 Q88AP7
WP_005613805.1 PSPTO0340 Q88AP6
WP_005763490.1 PSPTO0341 O52376
WP_005613810.1 PSPTO0343 Q88AP4
WP_005763493.1 PSPTO0344 Q88AP3
WP_003380192.1 PSPTO0345 Q88AP2
WP_005763495.1 PSPTO0346 Q88AP1
WP_011103107.1 PSPTO0347 Q88AP0
 pseudo;PSPTO0348 NA
WP_011103108.1 PSPTO0349 Q88AN9
WP_011103109.1 PSPTO0350 Q88AN8
WP_011103110.1 PSPTO0351 Q88AN7
WP_002555721.1 PSPTO0352 Q88AN6
WP_011103111.1 PSPTO0353 Q88AN5
WP_011103113.1 PSPTO0355 Q88AN3
WP_011103114.1 PSPTO0356 Q88AN2
WP_011103115.1 PSPTO0357 Q88AN1
WP_164923171.1 PSPTO0358 NA
WP_005763515.1 PSPTO0359 Q88AN0
WP_003380207.1 PSPTO0360 Q88AM9
WP_005737390.1 PSPTO0361 Q88AM8
WP_005737391.1 PSPTO0362 Q88AM7
WP_011103118.1 PSPTO0363 Q88AM6
WP_005763521.1 PSPTO0364 Q88AM5
WP_011103119.1 PSPTO0365 Q88AM4
WP_005763524.1 PSPTO0366 Q88AM3
WP_003373363.1 PSPTO0367 Q88AM2
WP_005763528.1 PSPTO0369 Q88AM0
WP_007247551.1 PSPTO0370 Q88AL9
WP_007247550.1 PSPTO0371 Q88AL8
WP_011103120.1 PSPTO0372 NA
WP_011103121.1 PSPTO0373 Q88AL7
WP_011103122.1 PSPTO0374 Q88AL6
WP_011103123.1 PSPTO0375 Q88AL5
WP_005763543.1 PSPTO0376 Q88AL4
WP_007244563.1 PSPTO0377 Q88AL3
WP_003382360.1 PSPTO0378 Q88AL2
WP_011103124.1 PSPTO0379 Q88AL1
WP_003382364.1 PSPTO0380 Q88AL0
WP_005763550.1 PSPTO0381 Q88AK9
WP_011103125.1 PSPTO0382 Q88AK8
WP_002555698.1 PSPTO0383 Q88AK7
WP_005763555.1 PSPTO0384 Q88AK6
WP_007244559.1 PSPTO0385 Q88AK5
WP_011103126.1 PSPTO0386 Q88AK4
WP_005763560.1 PSPTO0387 Q88AK3
WP_003382372.1 PSPTO0388 Q88AK2
WP_003382373.1 PSPTO0389 Q88AK1
WP_005763563.1 PSPTO0390 Q88AK0
WP_005763565.1 PSPTO0391 Q88AJ9
WP_005763567.1 PSPTO0393 Q88AJ7
WP_003382379.1 PSPTO0394 Q88AJ6
WP_011103127.1 PSPTO0395 Q88AJ5
WP_011103128.1 PSPTO0396 Q88AJ4
WP_046463891.1 PSPTO0397 Q88AJ3
WP_046463890.1 PSPTO0398 Q88AJ2
WP_011103131.1 PSPTO0399 Q88AJ1
WP_011103132.1 PSPTO0400 Q88AJ0
WP_007244552.1 PSPTO0401 Q88AI9
WP_005763583.1 PSPTO0402 Q88AI8
WP_005737430.1 PSPTO0403 Q88AI7
WP_005763589.1 PSPTO0404 Q88AI6
WP_005763591.1 PSPTO0405 Q88AI5
WP_007244549.1 PSPTO0406 Q88AI4
WP_005763597.1 PSPTO0407 Q88AI3
WP_011103134.1 PSPTO0408 Q88AI2
WP_005763601.1 PSPTO0409 Q88AI1
WP_005613930.1 PSPTO0410 Q88AI0
WP_011103135.1 PSPTO0411 Q88AH9
WP_005763607.1 PSPTO0412 Q88AH8
WP_174171208.1 PSPTO0413 Q88AH7
WP_005763611.1 PSPTO0414 Q88AH6
WP_005763613.1 PSPTO0415 Q88AH5
WP_005763614.1 PSPTO0416 Q88AH4
WP_005737440.1 PSPTO0417 Q88AH3
WP_005763618.1 PSPTO0418 Q88AH2
WP_005763620.1 PSPTO0419 Q88AH1
WP_011103137.1 PSPTO0420 Q88AH0
WP_161797805.1 PSPTO0421 Q88AG9
WP_011103139.1 PSPTO0422 Q88AG8
WP_005737444.1 PSPTO0423 Q88AG7
WP_005763630.1 PSPTO0424 Q88AG6
WP_005763632.1 PSPTO0425 Q88AG5
WP_005763634.1 PSPTO0426 Q88AG4
WP_005763636.1 PSPTO0427 Q88AG3
WP_005763638.1 PSPTO0428 Q88AG2
WP_005763640.1 PSPTO0429 Q88AG1
WP_003379873.1 PSPTO0430 Q88AG0
WP_011103140.1 PSPTO0431 Q88AF9
WP_005613956.1 PSPTO0432 Q88AF8
WP_003379876.1 PSPTO0433 Q88AF7
WP_005613959.1 PSPTO0434 Q88AF6
WP_216598005.1 PSPTO0435 Q88AF5
WP_005763647.1 PSPTO0436 Q88AF4
WP_007244533.1 PSPTO0437 Q88AF3
WP_005763651.1 PSPTO0438 Q88AF2
WP_011103141.1 PSPTO0439 Q88AF1
WP_005737465.1 PSPTO0440 Q88AF0
WP_005763655.1 PSPTO0441 Q88AE9
WP_005763658.1 PSPTO0443 Q88AE7
WP_007244528.1 PSPTO0444 Q88AE6
WP_011103142.1 PSPTO0445 Q88AE5
WP_011103143.1 PSPTO0446 Q88AE4
WP_005763669.1 PSPTO0447 Q88AE3
WP_010205456.1 PSPTO0448 Q88AE2
WP_005613972.1 PSPTO0451 Q88AE1
WP_005763674.1 PSPTO0452 Q88AE0
WP_005763676.1 PSPTO0453 Q88AD9
WP_005763678.1 PSPTO0454 Q88AD8
WP_003379921.1 PSPTO0455 Q88AD7
WP_005763680.1 PSPTO0456 Q88AD6
WP_011103144.1 PSPTO0457 Q88AD5
WP_005763685.1 PSPTO0458 Q88AD4
WP_003379926.1 PSPTO0459 Q88AD3
WP_005763688.1 PSPTO0460 Q88AD2
WP_005763690.1 PSPTO0461 Q88AD1
WP_005763692.1 PSPTO0462 Q88AD0
WP_174171207.1 PSPTO0463 Q88AC9
WP_005763694.1 PSPTO0464 Q88AC8
WP_005763696.1 PSPTO0465 Q88AC7
WP_011103145.1 PSPTO0466 Q88AC6
WP_005763699.1 PSPTO0468 Q88AC4
WP_003379947.1 PSPTO0469 Q88AC3
WP_011103148.1 PSPTO0470 Q88AC2
WP_005763703.1 PSPTO0471 Q88AC1
WP_005763705.1 PSPTO0472 Q88AC0
WP_011103153.1 PSPTO0475 Q88AB7
WP_011103154.1 PSPTO0476 Q88AB6
WP_005763718.1 PSPTO0477 Q88AB5
WP_011103155.1 PSPTO0478 Q88AB4
WP_011103156.1 PSPTO0479 Q88AB3
WP_005763731.1 PSPTO0480 Q88AB2
WP_005763732.1 PSPTO0481 Q88AB1
WP_003379963.1 PSPTO0482 Q88AB0
WP_005763735.1 PSPTO0483 Q88AA9
WP_005763737.1 PSPTO0484 Q88AA8
WP_005763739.1 PSPTO0485 Q88AA7
WP_005763742.1 PSPTO0486 Q88AA6
WP_005763744.1 PSPTO0487 Q88AA5
WP_007244499.1 PSPTO0488 Q88AA4
WP_011103158.1 PSPTO0489 Q88AA3
WP_005763753.1 PSPTO0490 Q88AA2
WP_011103159.1 PSPTO0491 Q88AA1
WP_005763757.1 PSPTO0492 Q88AA0
WP_005763760.1 PSPTO0493 Q88A99
WP_005763762.1 PSPTO0494 Q88A98
WP_011103160.1 PSPTO0495 Q88A97
WP_005763768.1 PSPTO0496 Q88A96
WP_011103161.1 PSPTO0497 Q88A95
WP_005763772.1 PSPTO0498 Q88A94
WP_003382340.1 PSPTO0499 Q88A93
WP_011103162.1 PSPTO0500 Q88A92
WP_011103163.1 PSPTO0501 Q88A91
WP_011103164.1 PSPTO0502 Q88A90
WP_011103165.1 PSPTO0503 Q88A89
WP_010207011.1 PSPTO0505 Q88A88
WP_011103167.1 PSPTO0506 Q88A87
WP_002555565.1 PSPTO0507 Q88A86
WP_005763797.1 PSPTO0508 Q88A85
WP_005763799.1 PSPTO0509 Q88A84
WP_005614032.1 PSPTO0510 Q88A83
WP_005614033.1 PSPTO0511 Q88A82
WP_005763801.1 PSPTO0512 Q88A81
WP_003422658.1 PSPTO0513 Q88A80
WP_057443183.1 PSPTO0514 Q88A79
WP_005763805.1 PSPTO0517 Q88A78
WP_005763807.1 PSPTO0518 Q88A77
WP_003383369.1 PSPTO0519 Q88A76
WP_005763809.1 PSPTO0520 Q88A75
WP_005737537.1 PSPTO0521 Q88A74
WP_005763811.1 PSPTO0522 Q88A73
WP_005763812.1 PSPTO0523 Q88A72
WP_011103171.1 PSPTO0524 Q88A71
WP_011103172.1 PSPTO0525 Q88A70
 partial;pseudo;PSPTO0526 NA
WP_011103173.1 PSPTO0527 Q88A68
WP_011103174.1 PSPTO0528 Q88A67
WP_226992678.1 PSPTO0529 Q88A66
WP_011103176.1 PSPTO0530 Q88A65
WP_011103177.1 PSPTO0531 Q88A64
WP_011103178.1 PSPTO0532 Q88A63
WP_046463871.1 PSPTO0533 NA
WP_007247571.1 PSPTO0534 NA
WP_046463959.1 PSPTO0535 Q88A62
WP_046463958.1 PSPTO0536 Q88A61
WP_005614111.1 PSPTO0537 Q88A60
WP_007244455.1 PSPTO0538 Q88A59
WP_002551877.1 PSPTO0539 Q88A58
WP_005614128.1 PSPTO0540 Q88A57
WP_005614129.1 PSPTO0541 Q88A56
WP_011103181.1 PSPTO0542 Q88A55
WP_011103182.1 PSPTO0543 Q88A54
WP_011103183.1 PSPTO0544 Q88A53
WP_011103184.1 PSPTO0545 Q88A52
WP_007244449.1 PSPTO0546 Q88A51
WP_011103185.1 PSPTO0547 Q88A50
WP_007244448.1 PSPTO0548 Q88A49
WP_011103186.1 PSPTO0549 Q88A48
WP_005768068.1 PSPTO0550 Q88A47
WP_005768067.1 PSPTO0551 Q88A46
WP_011103187.1 PSPTO0552 Q88A45
WP_010217367.1 PSPTO0553 Q88A44
WP_046463957.1 PSPTO0554 Q88A43
WP_007244442.1 PSPTO0555 Q88A42
WP_046463963.1 PSPTO0556 Q88A41
WP_011103191.1 PSPTO0557 Q88A40
WP_024667176.1 PSPTO0558 Q88A39
WP_046463956.1 PSPTO0559 Q88A38
WP_005768051.1 PSPTO0560 Q88A37
WP_005768050.1 PSPTO0562 Q88A35
WP_003377314.1 PSPTO0563 Q88A34
WP_011103195.1 PSPTO0564 Q88A33
WP_005768044.1 PSPTO0565 Q88A32
WP_005739815.1 PSPTO0566 Q88A31
WP_046463955.1 PSPTO0567 Q88A30
WP_007244435.1 PSPTO0568 Q88A29
WP_011103197.1 PSPTO0569 Q88A28
WP_046463953.1 PSPTO0570 Q88A27
WP_005768035.1 PSPTO0571 Q88A26
WP_011103200.1 PSPTO0572 Q88A25
WP_005739807.1 PSPTO0573 Q88A24
WP_005768026.1 PSPTO0574 Q88A23
WP_005768024.1 PSPTO0575 Q88A22
WP_005768022.1 PSPTO0576 Q88A21
WP_011103203.1 PSPTO0577 Q88A20
WP_005768018.1 PSPTO0578 Q88A19
WP_005614160.1 PSPTO0579 Q88A18
WP_011103204.1 PSPTO0580 Q88A17
WP_052746259.1 PSPTO0582 Q88A15
WP_161439824.1 PSPTO0583 Q88A14
WP_074805571.1 PSPTO0584 Q88A13
WP_226992713.1 PSPTO0585 Q88A12
WP_011103210.1 PSPTO0586 Q88A11
WP_011103211.1 PSPTO0587 Q88A10
WP_011103212.1 PSPTO0588 Q88A09
WP_226992679.1 PSPTO0589 Q88A08
 partial;pseudo;PSPTO0591 NA
WP_005767895.1 PSPTO0592 Q88A05
WP_011103215.1 PSPTO0593 Q88A04
WP_005767891.1 PSPTO0594 Q88A03
WP_011103216.1 PSPTO0595 Q88A02
WP_005614181.1 PSPTO0596 Q88A01
WP_005767887.1 PSPTO0597 Q88A00
WP_002551946.1 PSPTO0598 Q889Z9
WP_005767884.1 PSPTO0599 Q889Z8
WP_005767882.1 PSPTO0600 Q889Z7
WP_005614190.1 PSPTO0601 Q889Z6
WP_011103217.1 PSPTO0602 Q889Z5
WP_003377457.1 PSPTO0603 Q889Z4
WP_005767875.1 PSPTO0604 Q889Z3
WP_002551953.1 PSPTO0605 Q889Z2
WP_005614195.1 PSPTO0606 Q889Z1
WP_005767873.1 PSPTO0607 Q889Z0
WP_010201143.1 PSPTO0609 Q889Y8
WP_011103219.1 PSPTO0610 Q889Y7
WP_005768914.1 PSPTO0611 Q889Y6
WP_005768916.1 PSPTO0612 Q889Y5
WP_005768918.1 PSPTO0613 Q889Y4
WP_003317113.1 PSPTO0614 Q889Y3
WP_002555500.1 PSPTO0615 Q889Y2
WP_003317112.1 PSPTO0616 Q889Y1
WP_004397081.1 PSPTO0617 Q889Y0
WP_005768921.1 PSPTO0618 Q889X9
WP_011103220.1 PSPTO0619 Q889X8
WP_004397078.1 PSPTO0620 Q889X7
WP_002555494.1 PSPTO0621 Q889X6
WP_004397077.1 PSPTO0622 Q889X5
WP_005768927.1 PSPTO0623 Q889X4
WP_007245455.1 PSPTO0624 Q889X3
WP_002555491.1 PSPTO0625 Q889X2
WP_004397052.1 PSPTO0626 Q889X1
WP_002555489.1 PSPTO0627 Q889X0
WP_002555488.1 PSPTO0628 Q889W9
WP_004397049.1 PSPTO0629 Q889W8
WP_004883670.1 PSPTO0630 Q889W7
WP_002555485.1 PSPTO0631 Q889W6
