Gene annotation was obtained at pseudomonas.com		###Release: pgd_r_17_1	Mean log2 count per million 																															
ID	name	annotation	b2b3_AvrRpt2	b2b3_Pto	chitin_Pto	Col-0_AvrRps4	Col-0_AvrRpt2	Col-0_D36E	Col-0_Pto	de_AvrRpt2	de_Pto	deps_AvrRpt2	deps_Pto	flg_Pto	KB_AvrRps4	KB_AvrRpt2	KB_D36E	KB_Pto	MM_Pto	Mock_Pto	npr1_AvrRpt2	npr1_Pto	pad4_AvrRpt2	pad4_Pto	ps_AvrRpt2	ps_Pto	rr_AvrRpt2	SA_Pto	sid2_AvrRpt2	sid2_Pto	spm_AvrRpt2	spm_Pto	stp_AvrRpt2	stp_Pto
PSPTO_0021		hypothetical protein	5.976946806	5.730941665	6.828714518	5.56638157	5.86419326	6.97853256	5.935452801	5.625598163	5.904982709	5.712900898	5.740261012	7.353637916	7.481744482	7.781428357	8.083486216	7.767968875	7.725104252	5.863340163	5.677669911	5.848090133	6.303974939	5.778031908	5.955919014	5.744911725	6.108899415	6.167714516	6.316995127	6.022750948	5.758525022	5.695975682	6.219454143	6.180911847
PSPTO_0022		DNA-binding protein	5.641942747	6.01597522	6.123668829	5.96357038	5.912231427	5.532353741	5.967607893	5.804220511	5.55621133	5.934351813	5.940784289	5.201264281	6.055050284	5.428971326	6.034727265	5.36425038	6.278106123	6.003768021	5.857302549	5.736977656	5.716496382	5.898073177	6.019363158	5.579421769	5.384769152	5.824900505	6.144303685	5.990176357	6.013333103	5.43412462	5.92886154	5.73881076
PSPTO_0023		hypothetical protein	4.898055293	4.732212889	4.861997055	5.847226378	5.188506848	5.139799133	5.238049777	4.966807951	4.693630389	5.170433029	4.975880975	3.984429404	5.165704816	4.892481274	5.000430459	5.04072677	5.668518687	5.359349902	5.316595677	4.860771992	4.915269893	5.374953486	4.867328186	5.246305333	4.855722647	4.29356864	4.981050119	4.927960576	4.921642872	5.057616538	5.274939511	5.616616627
PSPTO_0025		haloacid dehalogenase-like family hydrolase	4.156819773	4.578811446	5.054368274	4.320181834	4.179336197	4.4449978	4.106999226	4.740033985	4.780456549	4.441783092	4.403826829	5.752947738	4.978342966	4.831005026	5.285840576	5.390782034	6.021999886	4.052234622	4.323020094	4.434271794	4.405828894	4.541597641	4.233944264	4.055093175	4.52051925	3.930130881	4.665718748	4.680886989	4.363176018	3.731068049	4.164194395	4.650105674
PSPTO_0043		cytidine/deoxycytidylate deaminase family protein	6.021718141	6.16076297	6.503649169	6.14987839	6.084397267	7.848393971	6.081205634	5.975096497	5.740596033	6.113825057	5.910124992	7.502804741	8.446185403	8.450210178	8.440324514	8.638558064	8.800290517	5.863190346	5.915752443	5.895650305	6.296819559	5.95442165	6.108793292	6.08912526	6.278761767	6.35185952	6.208173831	6.406828858	6.093554196	6.000698625	6.138186965	6.056578877
PSPTO_0044	hopK1	type III effector HopK1	5.438082233	6.313422668	6.427876631	5.676054211	5.43018293	0.090734994	5.643103225	5.695989845	5.584191809	6.34586647	6.092784364	4.228876488	4.481260736	4.461412224	-1.996287041	4.46281191	6.516148562	6.142100435	6.4704745	6.007358402	6.136269898	5.483882613	6.523552604	5.464254525	5.562387749	6.632689238	6.526796809	5.137938305	5.985999617	5.968203479	3.823817433	5.422561385
PSPTO_0045		hypothetical protein	5.093810156	5.19624855	4.196969123	5.231502195	5.054871606	3.180206638	5.181664928	4.87522524	4.903708744	5.432630737	4.755667381	5.165761914	6.789704991	6.637897213	5.554239245	6.138493552	5.652631879	5.052059055	5.013900776	5.158222385	5.01411565	5.066898735	5.083584125	4.891773543	4.739310038	5.138177737	5.298496311	4.147053064	4.983672574	5.050881069	5.434577882	5.26321986
PSPTO_0046		hypothetical protein	5.574467305	5.886266948	6.579259858	6.018964233	6.066714119	5.667988342	6.048859997	6.059688158	6.03396312	5.508749225	5.713562847	6.419063107	6.41885144	6.446058177	6.083220386	6.804411471	6.776142513	6.276718186	5.734103611	6.093508255	6.210706607	6.123415013	6.085047832	6.254048687	5.930734376	6.032595692	5.886685708	6.329189009	5.744771118	5.817627112	5.593181459	6.075963692
PSPTO_0047		UvrD/REP helicase family protein	5.053148361	5.053809107	5.421245824	4.703429782	5.411874406	5.31471138	5.639307833	5.260237767	5.399776288	5.524796989	5.307315098	4.832101601	6.838922052	6.992661806	6.789938812	6.799402495	7.020867236	5.540485396	5.522511593	5.410661151	5.40075788	5.486170353	5.774624015	5.447477948	5.210250068	5.516828878	5.380639813	5.42440222	5.390609396	5.326684985	5.269944204	4.967928397
PSPTO_0048		hypothetical protein	6.457528514	6.102744971	5.989348768	6.388794894	6.359319597	5.868413796	6.242939437	6.258752071	6.051146343	6.207397377	6.352476717	5.734144349	7.485901034	7.535291887	6.790742437	7.420711149	6.60415181	6.039826913	6.121737831	6.223828757	6.144404118	6.151070729	5.791311801	6.118051456	6.637741275	6.094298658	5.795578781	6.032914432	6.646880205	6.432887655	6.680698989	6.421030991
PSPTO_0049		hypothetical protein	5.74247762	5.46831868	5.215588051	4.695564473	5.532669575	5.891732176	5.52513411	5.290747958	5.119882466	5.676424702	5.314307855	6.698256677	6.244512293	6.399344691	5.691202716	6.675418816	6.199635437	5.420071266	5.387157933	5.51672878	5.647318532	5.429963498	5.484065298	5.344851404	5.190263575	5.358930432	4.97109184	5.201998383	5.604461736	5.425145067	5.683003908	5.700140074
PSPTO_0050		hypothetical protein	5.550515389	5.264838935	5.320500417	4.49756002	5.316311587	5.130111532	5.365490275	5.004605481	5.070842241	5.103936346	4.742426851	5.144027137	6.4347387	6.352451805	5.998325566	6.433007042	5.354120126	5.438442969	5.062908156	5.034253334	5.420881823	5.260028177	5.315515222	4.886895796	5.095905823	5.06239516	4.977385474	5.352542916	5.721151918	5.611677456	5.472269773	5.53462096
PSPTO_0051		hypothetical protein	5.157862111	5.064829943	4.515993285	5.283008461	4.895355484	4.364311981	5.165825585	5.088921329	5.478968641	5.019304215	5.348445007	5.044866355	6.238637746	6.51133823	5.732293639	6.630097327	5.666279799	5.317608902	5.144723381	5.065556019	5.336822941	5.255621526	5.312605469	4.911150517	4.745430214	5.056225792	5.079471421	5.109657025	4.873951806	5.239837972	5.056886262	5.070616959
PSPTO_0052		hypothetical protein	7.131599136	7.340919645	7.430841502	6.879625148	7.258472465	7.41532204	7.367802237	7.525002042	7.443316177	7.237112946	7.444482259	7.719736021	8.779533119	8.763218428	8.58669532	9.065375646	8.328565453	7.258259294	7.195693593	7.361810661	7.568298296	7.542466597	7.457004941	7.462292039	7.363898279	7.1599144	7.405733	7.275434552	7.284856449	7.144747599	7.42426014	7.310505118
PSPTO_0057		transposition helper protein	3.940170388	4.378654473	5.457573092	4.682281744	4.443840123	5.491033132	4.909264022	4.297423894	4.748095093	4.253123145	4.415448228	4.925035659	6.075913312	5.854357505	5.94011112	6.189600666	5.861374136	5.112459832	4.362598024	4.630454311	4.951858107	4.418848194	4.70604947	4.544799738	4.164444756	5.19929218	4.257227542	4.404823149	4.681811696	4.599793507	4.498371875	4.690230302
PSPTO_0058		transposase	4.848741196	5.326400792	5.302782793	5.366853185	5.411897714	5.259532305	5.627721172	5.47522258	5.566972254	5.14114509	5.490511402	4.869151384	5.566032335	5.656949476	5.737546097	5.723302276	5.983628618	5.741067422	5.337804584	5.64348733	5.598117506	5.323318706	5.673019371	5.4246288	5.354329647	5.503404515	5.458172395	5.833880066	5.173333704	5.435988798	4.718955311	5.730510369
PSPTO_0061	hopY1	type III effector HopY1	9.406792259	9.875753666	10.25444153	10.00779647	9.159976363	10.10434195	9.733739898	9.803173191	9.928619258	10.02910296	9.822500344	8.899724975	4.523780176	4.67934841	10.02013051	4.273270136	9.986809112	10.05877945	10.67258984	10.10200676	9.854133316	9.329760162	10.2794455	8.888588006	10.18762449	10.52065716	10.18242212	9.588056927	10.38880646	9.824502251	8.451431485	9.570454462
PSPTO_0062		citrate transporter	5.853963184	4.517005497	7.096645446	5.91861281	5.827159878	8.041824535	4.725078179	5.819624377	4.16087144	5.082159373	4.576391309	8.232380979	8.24457654	7.11080606	6.827736925	5.995482046	5.364093352	4.816655461	5.555436455	4.553655578	5.573228437	4.629783251	5.265724115	4.619185319	4.854169453	5.893816004	6.202380136	5.133964191	4.812337342	4.349151115	5.818448452	4.799534954
PSPTO_0064		hypothetical protein	9.648064448	9.826011383	10.06719321	10.04772178	9.753944454	10.87729369	9.881376955	9.92386988	10.01313135	9.965010894	9.944034748	10.50126569	9.376535428	9.452761641	9.17664556	9.399521201	9.714973179	9.798124917	9.900567064	9.964719578	9.874942037	9.940759584	9.910915155	9.949586217	9.889907262	9.928562069	9.881503713	9.811080077	9.631669976	9.810653009	9.63557013	9.820141987
PSPTO_0065	recG	ATP-dependent DNA helicase RecG	7.725123154	7.729977848	7.897259383	7.696079043	7.773955911	7.34678166	7.765441259	7.968821515	7.830676849	7.707930988	7.795125355	7.370082901	6.402111177	6.331749308	6.198605317	6.826734678	6.436997704	8.18697169	7.859509292	7.984321526	7.974460246	7.959233971	7.815952597	7.952298583	7.973152517	8.056478129	8.026582767	8.106877017	7.742080493	7.830645454	7.761729808	7.657830749
PSPTO_0066		oxidative stress regulatory protein OxyR	8.14462366	7.769291285	8.014148668	7.501324898	7.921989532	8.078219242	8.003338501	8.196263179	7.893039427	7.825784162	7.983762089	7.949881713	6.459696426	6.29953394	5.676965502	6.423230804	6.300634995	8.123210181	7.982399011	8.072696625	7.902822757	7.851602695	7.936541651	7.89533221	8.13839821	8.115265748	7.947016224	8.138611256	8.043843301	8.044178518	7.862150382	7.837563973
PSPTO_0067	tonB-1	tonB protein	8.764827654	9.507710832	9.214195444	8.890909203	8.772886186	7.459317465	9.831439352	8.485432691	9.620635622	9.213994482	9.663816692	7.728839132	7.785925073	6.566258148	5.61069697	6.173938161	6.810242917	9.862708852	8.647159305	9.798555009	8.611429287	9.709622864	8.967770858	9.455327955	10.07916519	9.597120452	8.823057092	9.819354213	8.711502093	9.668664427	9.10213071	9.966811602
PSPTO_0068	exbD-1	TonB system transport protein ExbD	5.23632951	6.015528051	5.489895949	5.156962821	4.905057154	3.973758315	6.381951762	4.812990211	6.160763434	5.424544759	6.226039247	5.00350288	4.425383714	3.877033287	1.199304824	2.827867803	3.790900134	6.16035358	5.118266545	5.800707724	4.755837356	6.364051821	5.801220463	6.114706407	6.370251579	5.658965571	5.385825867	6.775017489	5.076301921	6.092624196	5.280421212	6.163436985
PSPTO_0069	exbB-1	TonB system transport protein ExbB	8.483336636	9.1329749	9.343793662	8.682027246	8.516671917	7.750270487	9.617535567	8.474906119	9.49720692	9.004684059	9.48493763	8.243585137	6.639579059	5.314004674	3.734618194	4.415300358	6.219894592	9.855743353	8.599145051	9.502548512	8.877202697	9.815523307	9.218255515	9.540654428	9.289144504	9.613575493	8.975413177	9.946838112	8.224803092	9.254966778	8.542800083	9.155861656
PSPTO_0070		hypothetical protein	5.769939646	6.025565867	5.751142104	5.155945951	5.770005488	5.372349952	5.744490446	5.655295249	5.885485245	5.47299447	5.722846739	5.507244293	4.569348391	4.614635562	3.713506847	4.801233171	4.854778097	5.831021958	5.353598183	5.776137534	5.087248867	5.568994958	5.247461107	5.679806272	5.573501715	5.395483154	5.505425806	5.397428731	5.837223329	5.632350746	5.803826249	5.925338683
PSPTO_0071		lipoprotein	8.129344806	7.842974437	7.269158783	7.912467004	7.945254608	7.021149543	7.885521407	8.163562501	7.914984844	8.008867379	7.76602369	6.709420659	7.755212001	7.0517423	7.074040183	6.96004515	7.173370019	7.804654038	7.955425395	7.885438503	7.494478277	7.695615849	7.457317228	7.636715054	8.295878816	7.620310806	7.653047319	7.673034527	8.111071938	7.931498226	7.922704578	7.844627253
PSPTO_0072		endoribonuclease L-PSP	7.902178365	7.813789153	7.352901095	8.063372013	7.870292535	7.391341557	7.709807908	8.00792707	7.833891421	7.962052062	7.70570346	6.962536603	8.230140489	7.534926201	7.749772893	7.923255332	7.637895484	7.577431829	7.937337942	7.906655143	7.669297291	7.636022116	7.717608025	7.708653165	8.383814228	7.57736333	7.906195097	7.809785727	7.940584349	7.834636454	7.924078554	8.044879246
PSPTO_0073	spoT	"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"	10.12997595	9.882811497	9.711666855	10.1404631	10.01776693	9.140623256	9.958973562	10.01773622	9.869725632	9.92003379	9.883264166	9.031327382	10.08050511	9.503351289	9.645590538	9.573050127	9.376915118	10.00674182	10.0472853	9.996316023	9.857294962	9.831131919	9.804372799	9.801362917	10.11639898	9.984494335	9.954781128	9.904277072	10.11557822	9.93788949	9.870688748	9.780500372
PSPTO_0074	rpoZ	DNA-directed RNA polymerase subunit omega	8.841107962	8.560219109	7.990359865	8.702575141	8.539033371	8.043856028	8.32032156	8.511802048	8.406313985	8.393297668	8.40923113	7.639843234	8.697510451	8.363584405	7.971902856	8.287394807	8.071089734	8.268120968	8.491145166	8.562885468	8.287611061	8.296207735	8.372698925	8.410495885	8.528832441	8.120429878	8.322975346	8.284902614	8.80170767	8.431928932	8.362609651	8.309432195
PSPTO_0075	gmk	guanylate kinase	5.360046915	5.334405299	5.411432761	4.91573811	5.212186924	3.253300631	5.570329617	5.588728305	5.29099647	5.402628276	5.55724796	4.920175074	4.777137217	5.482043875	4.87283866	5.404342725	5.166630002	5.639834205	5.689768128	5.588163187	5.539042504	5.5399569	5.508686009	5.588289527	5.069536549	5.641345116	5.162826862	5.545550998	5.551088788	5.592363163	5.294226567	5.503094488
PSPTO_0076		hypothetical protein	6.897361008	7.104592391	6.136745179	7.149418859	7.029670204	5.502796291	6.940509473	7.266319802	7.199500501	7.040722408	7.008500734	6.076040211	6.493676153	6.49341756	6.397859336	6.500826753	6.123485719	6.911092455	7.071423422	7.147875996	7.103825686	7.097119946	7.230718816	7.02094842	6.427478912	6.709334302	6.975907138	6.826110508	6.991480737	7.146661337	7.039246007	7.156230372
PSPTO_0077	rph	ribonuclease PH	8.870007815	8.550348282	8.268859627	8.63080018	8.606353516	8.691257425	8.417949655	8.909722562	8.880105165	8.731851813	8.699943898	8.505445728	7.580145322	7.536023659	7.038920581	7.676053246	7.559822664	8.333149585	9.004151551	8.918088901	8.736840441	8.445475583	8.221188811	8.585580517	8.791301281	8.501683018	8.53733889	8.411536315	8.772545608	8.771173948	8.555856683	8.416282109
PSPTO_0079		exodeoxyribonuclease III	8.731318521	8.426676361	7.691286841	8.154981965	8.259941466	8.725174463	8.114918525	8.227007277	8.135625101	8.355519308	7.958542276	7.8291502	8.555159461	8.379368822	8.124747358	8.603797598	7.712417161	7.778988197	8.22284751	8.222811458	8.241191095	7.980854655	8.045418249	7.966638665	8.417712685	8.013255001	7.796096515	8.216836333	8.618482282	8.404350672	8.470165531	8.338068326
PSPTO_0080	pyrE	orotate phosphoribosyltransferase	7.06915203	6.924732523	6.304294077	6.292897228	6.80951856	5.713471923	6.730297877	6.845877385	7.043214848	6.882112191	6.807082836	6.51881845	6.202633843	6.572574094	5.781653023	6.053777742	5.378082585	6.484639268	6.907391059	6.759743835	6.886533584	6.638867294	6.941319376	6.835701771	7.087580938	6.418883725	7.064236149	6.827385902	6.941193378	6.954267522	6.716656841	6.891207922
PSPTO_0081		hypothetical protein	7.933317818	7.845581194	7.653763484	7.49600755	7.92848496	7.102494144	7.822317304	7.818901456	7.574803996	7.75096394	7.763031951	7.115110275	7.658020046	7.430506155	7.156628448	7.251008447	6.729073208	7.893186495	7.916807794	7.808976681	7.834595569	7.793278894	7.760492276	7.865403788	7.76630607	7.813024218	7.920775361	7.927202957	7.998490426	7.968751951	7.733849964	7.872539959
PSPTO_0082	argB	acetylglutamate kinase	7.312308673	7.511692223	6.90039677	6.818011311	7.160001761	6.019443077	7.206326692	6.970108337	7.085489741	6.947030175	6.998397423	6.107582705	6.067016468	6.358750753	6.110314995	6.064619366	6.183399605	6.97194122	6.818102498	6.955763843	7.057791291	7.080443468	6.952821729	7.225578104	6.904331884	6.737932671	7.23753252	7.204323557	7.724707166	7.442820483	7.160618579	6.985711269
PSPTO_0083	algC	phosphomannomutase	9.839942487	9.886944487	9.929374136	10.06514507	10.028193	9.162690874	9.98644466	10.0286458	10.08826092	10.18248632	10.14958805	9.913506812	8.086963446	8.344379842	7.920863135	8.537261546	8.481698104	10.15246117	10.09249504	10.09399688	10.28571494	10.09220853	10.23733496	10.0499993	9.583731013	10.11531231	10.37600812	10.15927989	9.963919231	9.859337367	9.991641548	9.538865837
PSPTO_0085	coaBC	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	8.462211627	8.39975935	8.397049995	8.323908029	8.375714306	7.907201051	8.455459473	8.549459559	8.509029773	8.513992176	8.553075116	8.267179322	9.119638465	9.25474068	9.036162856	9.237786043	8.827360973	8.368738646	8.627022035	8.52047174	8.440726992	8.316562032	8.349478237	8.360613762	8.343515105	8.43932342	8.197829703	8.346590494	8.394129832	8.48820464	8.232472883	8.315116669
PSPTO_0087		family 5 extracellular solute-binding protein	6.856663136	6.954252413	6.885016288	6.831343653	6.888911098	7.585164718	7.10221542	6.958356071	7.097872285	6.916364538	6.998545262	7.497407115	7.63617741	7.735998722	7.865952662	7.758194284	7.722872568	6.944714564	6.979471753	6.955153163	6.840065324	6.943013184	6.935723045	6.988344041	6.601566694	6.830651852	6.977836026	7.085752004	6.687555198	6.898991245	6.895173006	6.99327267
PSPTO_0089	rpmB	50S ribosomal protein L28	11.57747418	11.4366543	9.423316952	10.44860276	10.64558312	9.053039494	10.73409863	10.68771879	10.24367876	10.43281632	10.13821391	8.419854809	12.68530043	12.26479989	12.48713212	11.6617129	11.23446959	9.874874515	10.43549685	10.38049455	10.1367745	10.08066974	10.3864105	10.16994217	10.97970851	9.7646174	9.78109363	10.07050958	11.37799948	11.21365831	10.48834709	10.92800384
PSPTO_0091		hypothetical protein	5.965684	6.216863411	7.12142609	4.941618511	6.044137185	7.576241982	6.11778036	6.051656127	5.813449837	5.882479291	5.907055967	8.356592484	7.631245756	8.091742945	8.102188021	8.35404829	8.165682623	6.019771365	5.722996016	5.68574597	6.323380896	5.987778596	6.117776474	6.42060291	6.399354102	6.092664265	6.266587646	6.154571117	5.888916565	6.060994554	6.228510369	6.527943126
PSPTO_0092		aldehyde dehydrogenase family protein	7.385634052	7.133124541	8.110122599	7.194211158	7.764502847	8.448884387	7.425343217	7.895593117	7.751351699	7.813098227	7.817788282	9.144510727	7.536063337	8.180782864	7.882802112	8.213923855	7.663485933	7.735216927	7.460942884	7.152411537	7.660674249	7.593853113	7.677658573	7.459235034	7.478997226	7.647069243	8.068351571	7.66718212	7.489747638	7.377597746	7.793251229	7.246881966
PSPTO_0095		phospholipase D	6.73751283	6.415995398	6.265642775	5.83747652	6.528945317	5.875502725	6.598871655	6.305673286	6.373988081	6.558880949	6.488560524	5.868482915	6.305816533	7.038475871	6.586348679	7.264295369	6.091818908	6.528369852	6.811641277	6.616946945	6.446828201	6.374601191	6.571651477	6.604633058	6.658293575	6.15256271	6.68672301	6.318664427	6.863958221	6.629700229	6.823921375	6.342450082
PSPTO_0096		"GntR family transcriptional regulator/aminotransferase, class I"	5.484681364	6.022686915	5.872442692	5.946562679	5.833636353	6.74633249	6.213803272	5.712218593	6.016023498	5.988405736	6.096328731	6.23644962	6.033180736	6.129071191	6.190384695	5.804759504	6.251218697	5.548369593	5.812655096	5.945695481	5.860104561	6.323987101	5.81773633	6.338287336	5.966195705	4.973398252	6.082785087	5.407481765	5.529273678	5.818263571	5.683792882	6.058536754
PSPTO_0097		hypothetical protein	3.798966339	4.178647413	6.575420421	4.444882049	3.689614882	5.112572344	5.688135079	4.478515477	5.482696285	5.071758817	5.988721271	8.461559109	4.684067458	2.846593479	3.871256267	3.95928128	3.95109254	4.969478513	4.599840916	5.475310878	3.936666689	6.237031127	4.360015829	6.243479029	3.729305606	4.942389748	3.47144004	4.658292843	4.314585249	5.580740495	4.224704762	6.71015677
PSPTO_0098		hypothetical protein	5.236087254	5.221526374	5.597688359	5.593912993	5.233005203	5.626716306	5.524168886	5.259144556	5.164998947	5.13294998	5.040993143	5.546145708	6.612722003	6.689337849	6.866728714	6.476797421	6.593610773	5.065185628	4.678214305	5.247452537	4.928117451	5.295784121	5.559556097	5.381606355	5.393451429	4.430036152	4.826536139	5.164140267	5.350864696	5.519605601	5.632290702	5.146724558
PSPTO_0099		hypothetical protein	5.420837079	4.924926817	5.200476799	5.883082927	4.970804289	5.650093609	4.958180453	4.60716249	4.907379189	4.810106626	5.241059286	5.13562485	5.803803194	5.342862087	5.411580515	5.751102449	4.866288686	4.548956707	4.48494972	5.33053116	5.320745767	4.945738517	5.191002231	4.996694268	4.798343709	4.615140451	4.455132448	4.703540591	4.852866193	5.03082708	4.637836828	5.085170645
PSPTO_0100	lrp	leucine-responsive regulatory protein	5.189503701	5.298825401	3.947999943	3.11968907	5.191422818	4.632943063	5.038642605	5.066648605	5.046337654	5.13088573	5.00196416	4.068185572	4.831743795	4.67420243	4.552521384	4.766521849	4.586225787	4.929068189	4.558811639	5.210111871	4.992460251	5.309459855	4.419140914	5.08919168	4.951792669	4.252276829	4.953759765	5.225814551	4.521985938	5.036568606	5.683416103	5.149442903
PSPTO_0101	dadA	D-amino acid dehydrogenase small subunit	9.121099207	9.780085953	8.777722611	9.594595216	8.853327255	9.218229036	9.141240469	9.039618713	9.734231896	9.101521417	9.634666605	9.785898187	11.30880549	11.19016958	11.24724708	11.24610905	7.883676909	8.405706711	8.772488489	9.727403239	9.250025652	9.78340651	9.365888258	9.997760951	9.020838042	8.676190278	9.189139517	9.22421487	9.162958462	9.853163941	8.812001919	9.749199155
PSPTO_0102		endoribonuclease L-PSP family protein	5.624795481	6.911611946	6.189831805	6.758588544	5.921941248	5.38942806	6.113913167	6.113335721	6.836138894	5.775856076	6.657103365	6.458212663	7.596900639	7.457273231	7.307836555	7.655382617	4.572409766	5.850925173	6.104760873	6.637762179	6.107728714	6.685913642	6.75077311	6.99415731	6.183838238	5.592062056	6.470942335	5.708614698	6.302421901	6.787450073	5.178215492	6.684914523
PSPTO_0103	dadX	alanine racemase	6.543526826	7.848833454	7.192265373	7.126409471	6.928099829	6.178323871	7.215413412	6.9909061	7.983795748	7.120510951	7.798817202	8.075392921	9.193389046	8.970019507	9.008983786	9.320084245	5.62152592	6.838076573	6.702742267	7.871936467	7.527021071	8.067969382	7.783165494	8.296274102	7.19883384	6.638853663	7.246441903	7.552333597	6.656117083	7.373518765	7.096852271	7.396792148
