# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	old_locus_tag	single_old_locus	other_old_locus
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	36881	38767	+	WP_011102955.1	WP_011102955.1		TniQ family protein		1181638	PSPTO_RS00165	1887	628	"PSPTO0030,PSPTO_0030"	PSPTO0030	PSPTO_0030
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	39345	40082	+	WP_011102956.1	WP_011102956.1		metallophosphoesterase family protein		1181639	PSPTO_RS00170	738	245	"PSPTO0031,PSPTO_0031"	PSPTO0031	PSPTO_0031
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	40884	41852	-	WP_011102957.1	WP_011102957.1		plasmid partitioning protein RepB C-terminal domain-containing protein		1181640	PSPTO_RS00175	969	322	"PSPTO0032,PSPTO_0032"	PSPTO0032	PSPTO_0032
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	41852	42757	-	WP_011102958.1	WP_011102958.1		plasmid partitioning protein RepB C-terminal domain-containing protein		1181641	PSPTO_RS00180	906	301	"PSPTO0033,PSPTO_0033"	PSPTO0033	PSPTO_0033
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	42754	44310	-	WP_011102959.1	WP_011102959.1		recombinase family protein		1181642	PSPTO_RS00185	1557	518	"PSPTO0034,PSPTO_0034"	PSPTO0034	PSPTO_0034
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	45183	46736	-	WP_003409202.1	WP_003409202.1		IS66-like element ISPsy5 family transposase		1181643	PSPTO_RS00190	1554	517	"PSPTO0035,PSPTO_0035"	PSPTO0035	PSPTO_0035
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	46754	47113	-	WP_003409203.1	WP_003409203.1		IS66 family insertion sequence element accessory protein TnpB	tnpB	1181644	PSPTO_RS00195	360	119	"PSPTO0036,PSPTO_0036"	PSPTO0036	PSPTO_0036
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	47448	52358	+	WP_011102960.1	WP_011102960.1		type ISP restriction/modification enzyme		1181645	PSPTO_RS00200	4911	1636	"PSPTO0037,PSPTO_0037"	PSPTO0037	PSPTO_0037
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	52403	54493	+	WP_011102961.1	WP_011102961.1		DUF262 domain-containing protein		1181646	PSPTO_RS00205	2091	696	"PSPTO0038,PSPTO_0038"	PSPTO0038	PSPTO_0038
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	54971	56524	-	WP_003409202.1	WP_003409202.1		IS66-like element ISPsy5 family transposase		1181647	PSPTO_RS00215	1554	517	"PSPTO0039,PSPTO_0039"	PSPTO0039	PSPTO_0039
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	56542	56901	-	WP_003409203.1	WP_003409203.1		IS66 family insertion sequence element accessory protein TnpB	tnpB	1181648	PSPTO_RS00220	360	119	"PSPTO0040,PSPTO_0040"	PSPTO0040	PSPTO_0040
CDS	without_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	57351	58202	+				magnesium chelatase domain-containing protein		1181650	PSPTO_RS00230	852		"partial;pseudo;PSPTO0042,PSPTO_0042"	partial;pseudo;PSPTO0042	PSPTO_0042
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	58344	59906	+	WP_011102963.1	WP_011102963.1		anti-phage dCTP deaminase		1181651	PSPTO_RS00235	1563	520	"PSPTO0043,PSPTO_0043"	PSPTO0043	PSPTO_0043
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	60407	61189	-	WP_226992674.1	WP_226992674.1		XopAK family type III secretion system effector	xopAK	68226055	PSPTO_RS30105	783	260	"PSPTO0044,PSPTO_0044"	PSPTO0044	PSPTO_0044
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	62078	64063	+	WP_011102966.1	WP_011102966.1		AAA family ATPase		1181654	PSPTO_RS00255	1986	661	"PSPTO0046,PSPTO_0046"	PSPTO0046	PSPTO_0046
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	64066	65970	+	WP_011102967.1	WP_011102967.1		ATP-dependent helicase		1181655	PSPTO_RS00260	1905	634	"PSPTO0047,PSPTO_0047"	PSPTO0047	PSPTO_0047
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	67445	68611	+	WP_011102968.1	WP_011102968.1		three-Cys-motif partner protein TcmP	tcmP	1181656	PSPTO_RS00280	1167	388	"PSPTO0048,PSPTO_0048"	PSPTO0048	PSPTO_0048
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	68863	69606	+	WP_011102969.1	WP_011102969.1		phage Gp37/Gp68 family protein		1181657	PSPTO_RS00285	744	247	"PSPTO0049,PSPTO_0049"	PSPTO0049	PSPTO_0049
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	69623	70954	+	WP_011102970.1	WP_011102970.1		three-Cys-motif partner protein TcmP		1181658	PSPTO_RS00290	1332	443	"PSPTO0050,PSPTO_0050"	PSPTO0050	PSPTO_0050
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	71041	71484	+	WP_011102971.1	WP_011102971.1		hypothetical protein		1181659	PSPTO_RS00295	444	147	"PSPTO0051,PSPTO_0051"	PSPTO0051	PSPTO_0051
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	71711	73480	+	WP_011102972.1	WP_011102972.1		hypothetical protein		1181660	PSPTO_RS00300	1770	589	"PSPTO0052,PSPTO_0052"	PSPTO0052	PSPTO_0052
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	75949	76971	+	WP_002551322.1	WP_002551322.1		IS21-like element ISPsy4 family transposase	istA	1181663	PSPTO_RS00315	1023	340	"PSPTO0055,PSPTO_0055"	PSPTO0055	PSPTO_0055
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	76968	77777	+	WP_005741073.1	WP_005741073.1		IS21-like element ISPsy4 family helper ATPase IstB	istB	1181664	PSPTO_RS00320	810	269	"PSPTO0056,PSPTO_0056"	PSPTO0056	PSPTO_0056
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	78120	79010	-	WP_011102975.1	WP_011102975.1		TniB family NTP-binding protein		1181665	PSPTO_RS00330	891	296	"PSPTO0057,PSPTO_0057"	PSPTO0057	PSPTO_0057
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	79007	80935	-	WP_044392641.1	WP_044392641.1		DDE-type integrase/transposase/recombinase		1181666	PSPTO_RS00335	1929	642	"PSPTO0058,PSPTO_0058"	PSPTO0058	PSPTO_0058
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	80922	81617	-	WP_223862839.1	WP_223862839.1		TnsA endonuclease N-terminal domain-containing protein		1181667	PSPTO_RS00340	696	231	"PSPTO0059,PSPTO_0059"	PSPTO0059	PSPTO_0059
CDS	without_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	81732	82382	+				ATP-binding protein		1181668	PSPTO_RS00345	651		"partial;pseudo;PSPTO0060,PSPTO_0060"	partial;pseudo;PSPTO0060	PSPTO_0060
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	82500	83363	+	WP_005769591.1	WP_005769591.1		type III effector		1181669	PSPTO_RS00350	864	287	"PSPTO0061,PSPTO_0061"	PSPTO0061	PSPTO_0061
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	83552	84859	-	WP_005769588.1	WP_005769588.1		CitMHS family transporter		1181670	PSPTO_RS00355	1308	435	"PSPTO0062,PSPTO_0062"	PSPTO0062	PSPTO_0062
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	85159	85557	+	WP_011102978.1	WP_011102978.1		GFA family protein		1181671	PSPTO_RS00360	399	132	"PSPTO0063,PSPTO_0063"	PSPTO0063	PSPTO_0063
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	85784	87181	-	WP_005769583.1	WP_005769583.1		aminoacyl-tRNA deacylase and HDOD domain-containing protein		1181672	PSPTO_RS00365	1398	465	"PSPTO0064,PSPTO_0064"	PSPTO0064	PSPTO_0064
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	87268	89343	-	WP_011102979.1	WP_011102979.1		ATP-dependent DNA helicase RecG	recG	1181673	PSPTO_RS00370	2076	691	"PSPTO0065,PSPTO_0065"	PSPTO0065	PSPTO_0065
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	89355	90278	-	WP_005769579.1	WP_005769579.1		hydrogen peroxide-inducible genes activator		1181674	PSPTO_RS00375	924	307	"PSPTO0066,PSPTO_0066"	PSPTO0066	PSPTO_0066
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	90371	91117	-	WP_005613236.1	WP_005613236.1		energy transducer TonB		1181675	PSPTO_RS00380	747	248	"PSPTO0067,PSPTO_0067"	PSPTO0067	PSPTO_0067
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	91114	91539	-	WP_005613239.1	WP_005613239.1		TonB system transport protein ExbD	exbD	1181676	PSPTO_RS00385	426	141	"PSPTO0068,PSPTO_0068"	PSPTO0068	PSPTO_0068
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	91543	92499	-	WP_007246518.1	WP_007246518.1		tonB-system energizer ExbB	exbB	1181677	PSPTO_RS00390	957	318	"PSPTO0069,PSPTO_0069"	PSPTO0069	PSPTO_0069
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	92710	93558	+	WP_011102980.1	WP_011102980.1		SDR family oxidoreductase		1181678	PSPTO_RS00395	849	282	"PSPTO0070,PSPTO_0070"	PSPTO0070	PSPTO_0070
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	93607	94344	-	WP_003377974.1	WP_003377974.1		lipoprotein		1181679	PSPTO_RS00400	738	245	"PSPTO0071,PSPTO_0071"	PSPTO0071	PSPTO_0071
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	94399	94779	-	WP_011102981.1	WP_011102981.1		RidA family protein		1181680	PSPTO_RS00405	381	126	"PSPTO0072,PSPTO_0072"	PSPTO0072	PSPTO_0072
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	94805	96910	-	WP_005769571.1	WP_005769571.1		"bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"	spoT	1181681	PSPTO_RS00410	2106	701	"PSPTO0073,PSPTO_0073"	PSPTO0073	PSPTO_0073
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	96971	97234	-	WP_002551500.1	WP_002551500.1		DNA-directed RNA polymerase subunit omega	rpoZ	1181682	PSPTO_RS00415	264	87	"PSPTO0074,PSPTO_0074"	PSPTO0074	PSPTO_0074
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	97382	98026	-	WP_003377979.1	WP_003377979.1		guanylate kinase	gmk	1181683	PSPTO_RS00420	645	214	"PSPTO0075,PSPTO_0075"	PSPTO0075	PSPTO_0075
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	98040	98903	-	WP_007246513.1	WP_007246513.1		YicC/YloC family endoribonuclease		1181684	PSPTO_RS00425	864	287	"PSPTO0076,PSPTO_0076"	PSPTO0076	PSPTO_0076
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	99223	99945	+	WP_005769567.1	WP_005769567.1		ribonuclease PH	rph	1181685	PSPTO_RS00430	723	240	"PSPTO0077,PSPTO_0077"	PSPTO0077	PSPTO_0077
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	99965	100333	+	WP_005769565.1	WP_005769565.1		DUF4870 domain-containing protein		1181686	PSPTO_RS00435	369	122	"PSPTO0078,PSPTO_0078"	PSPTO0078	PSPTO_0078
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	100403	101182	-	WP_005613323.1	WP_005613323.1		exodeoxyribonuclease III		1181687	PSPTO_RS00440	780	259	"PSPTO0079,PSPTO_0079"	PSPTO0079	PSPTO_0079
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	101265	101906	+	WP_007246510.1	WP_007246510.1		orotate phosphoribosyltransferase	pyrE	1181688	PSPTO_RS00445	642	213	"PSPTO0080,PSPTO_0080"	PSPTO0080	PSPTO_0080
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	101917	102549	+	WP_005769563.1	WP_005769563.1		hypothetical protein		1181689	PSPTO_RS00450	633	210	"PSPTO0081,PSPTO_0081"	PSPTO0081	PSPTO_0081
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	102801	103706	-	WP_002551508.1	WP_002551508.1		acetylglutamate kinase	argB	1181690	PSPTO_RS00460	906	301	"PSPTO0082,PSPTO_0082"	PSPTO0082	PSPTO_0082
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	103735	105132	-	WP_011102983.1	WP_011102983.1		phosphomannomutase/phosphoglucomutase		68226056	PSPTO_RS30110	1398	465	"PSPTO0083,PSPTO_0083"	PSPTO0083	PSPTO_0083
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	106375	106830	-	WP_011102984.1	WP_011102984.1		dUTP diphosphatase	dut	1181692	PSPTO_RS00470	456	151	"PSPTO0084,PSPTO_0084"	PSPTO0084	PSPTO_0084
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	106837	108045	-	WP_046463702.1	WP_046463702.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC	1181693	PSPTO_RS00475	1209	402	"PSPTO0085,PSPTO_0085"	PSPTO0085	PSPTO_0085
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	108181	108855	+	WP_005769555.1	WP_005769555.1		DNA repair protein RadC	radC	1181694	PSPTO_RS00480	675	224	"PSPTO0086,PSPTO_0086"	PSPTO0086	PSPTO_0086
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	108910	110496	-	WP_011102986.1	WP_011102986.1		ABC transporter substrate-binding protein		1181695	PSPTO_RS00485	1587	528	"PSPTO0087,PSPTO_0087"	PSPTO0087	PSPTO_0087
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	110860	111093	+	WP_002551514.1	WP_002551514.1		50S ribosomal protein L28	rpmB	1181697	PSPTO_RS00490	234	77	"PSPTO0089,PSPTO_0089"	PSPTO0089	PSPTO_0089
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	111105	111260	+	WP_002551515.1	WP_002551515.1		50S ribosomal protein L33	rpmG	1181698	PSPTO_RS00495	156	51	"PSPTO0090,PSPTO_0090"	PSPTO0090	PSPTO_0090
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	111368	111733	-	WP_005769553.1	WP_005769553.1		cupin domain-containing protein		1181699	PSPTO_RS00500	366	121	"PSPTO0091,PSPTO_0091"	PSPTO0091	PSPTO_0091
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	111972	113465	+	WP_011102988.1	WP_011102988.1		aldehyde dehydrogenase		1181700	PSPTO_RS00505	1494	497	"PSPTO0092,PSPTO_0092"	PSPTO0092	PSPTO_0092
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	113528	113779	-	WP_005769549.1	WP_005769549.1		hypothetical protein		1181701	PSPTO_RS00510	252	83	"PSPTO0093,PSPTO_0093"	PSPTO0093	PSPTO_0093
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	113892	115040	+	WP_005769547.1	WP_005769547.1		MFS transporter		1181702	PSPTO_RS00515	1149	382	"PSPTO0094,PSPTO_0094"	PSPTO0094	PSPTO_0094
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	115037	116617	-	WP_010208311.1	WP_010208311.1		phospholipase D-like domain-containing protein		1181703	PSPTO_RS00520	1581	526	"PSPTO0095,PSPTO_0095"	PSPTO0095	PSPTO_0095
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	116690	118111	-	WP_005769539.1	WP_005769539.1		PLP-dependent aminotransferase family protein		1181704	PSPTO_RS00525	1422	473	"PSPTO0096,PSPTO_0096"	PSPTO0096	PSPTO_0096
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	118287	118538	+	WP_005769538.1	WP_005769538.1		DUF1127 domain-containing protein		1181705	PSPTO_RS00530	252	83	"PSPTO0097,PSPTO_0097"	PSPTO0097	PSPTO_0097
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	118544	119857	-	WP_005769536.1	WP_005769536.1		FAD-binding oxidoreductase		1181706	PSPTO_RS00535	1314	437	"PSPTO0098,PSPTO_0098"	PSPTO0098	PSPTO_0098
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	119963	120316	+	WP_005769534.1	WP_005769534.1		YkgJ family cysteine cluster protein		1181707	PSPTO_RS00540	354	117	"PSPTO0099,PSPTO_0099"	PSPTO0099	PSPTO_0099
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	120331	120819	-	WP_004655323.1	WP_004655323.1		Lrp/AsnC ligand binding domain-containing protein		1181708	PSPTO_RS00545	489	162	"PSPTO0100,PSPTO_0100"	PSPTO0100	PSPTO_0100
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	120976	122277	+	WP_005769533.1	WP_005769533.1		D-amino acid dehydrogenase	dadA	1181709	PSPTO_RS00550	1302	433	"PSPTO0101,PSPTO_0101"	PSPTO0101	PSPTO_0101
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	122249	122602	+	WP_005769531.1	WP_005769531.1		Rid family hydrolase		1181710	PSPTO_RS00555	354	117	"PSPTO0102,PSPTO_0102"	PSPTO0102	PSPTO_0102
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	122682	123755	+	WP_005769528.1	WP_005769528.1		alanine racemase	alr	1181711	PSPTO_RS00560	1074	357	"PSPTO0103,PSPTO_0103"	PSPTO0103	PSPTO_0103
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	123882	124430	+	WP_010208319.1	WP_010208319.1		cupin domain-containing protein		1181713	PSPTO_RS00565	549	182	"PSPTO0105,PSPTO_0105"	PSPTO0105	PSPTO_0105
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	124455	124778	+	WP_005769524.1	WP_005769524.1		c-type cytochrome		1181714	PSPTO_RS00570	324	107	"PSPTO0106,PSPTO_0106"	PSPTO0106	PSPTO_0106
CDS	with_protein	GCF_000007805.1	Primary Assembly	chromosome		NC_004578.1	124875	126806	+	WP_011102991.1	WP_011102991.1		acetyl-CoA hydrolase/transferase C-terminal domain-containing protein		1181715	PSPTO_RS00575	1932	643	"PSPTO0107,PSPTO_0107"	PSPTO0107	PSPTO_0107
