qseqid,sseqid,pident,alen,qlen,slen,evalue,bits,cov_q,cov_s
WP_002552468.1,DAKCFMEO_03331,100.0,111,111,111,2.3e-57,215.7,1,1
WP_002552482.1,DAKCFMEO_03346,100.0,141,141,141,1.6e-71,263.1,1,1
WP_002552524.1,DAKCFMEO_03261,99.1,116,116,116,3.3e-59,221.9,1,1
WP_002552552.1,DAKCFMEO_04200,96.1,103,103,103,2.2e-51,195.7,1,1
WP_002552554.1,DAKCFMEO_04202,97.1,35,52,52,4.2e-14,70.9,0.673077,0.673077
WP_002552611.1,DAKCFMEO_04157,95.2,124,124,124,2.9e-69,255.4,1,1
WP_002552653.1,DAKCFMEO_04191,98.8,84,84,84,7.7e-42,163.7,1,1
WP_002552688.1,DAKCFMEO_04245,100.0,60,60,60,1.2e-28,119.4,1,1
WP_002552729.1,DAKCFMEO_04341,96.2,286,288,289,1.6e-158,553.1,0.993056,0.989619
WP_002552734.1,DAKCFMEO_04350,100.0,213,213,213,3.3e-121,428.7,1,1
WP_002552737.1,DAKCFMEO_04353,98.9,90,90,90,3.7e-42,164.9,1,1
WP_002552737.1,DAKCFMEO_01598,52.2,90,90,99,1.7e-18,86.3,1,0.909091
WP_002552737.1,DAKCFMEO_03291,42.2,90,90,93,1.8e-12,66.2,1,0.967742
WP_002552818.1,DAKCFMEO_04534,99.1,108,108,108,3.6e-52,198.4,1,1
WP_002552853.1,DAKCFMEO_02621,90.5,63,63,63,1.5e-26,112.5,1,1
WP_002552981.1,DAKCFMEO_00650,99.7,388,388,388,9.5e-220,756.9,1,1
WP_002553016.1,DAKCFMEO_00710,90.3,93,93,93,1.2e-46,179.9,1,1
WP_002553018.1,DAKCFMEO_00712,100.0,83,83,83,8.8e-14,70.5,1,1
WP_002553156.1,DAKCFMEO_00809,95.7,70,70,70,2.6e-35,141.7,1,1
WP_002553156.1,DAKCFMEO_00145,87.0,69,70,69,3.3e-30,124.8,0.985714,1
WP_002553156.1,DAKCFMEO_03299,70.0,70,70,70,3.2e-25,108.2,1,1
WP_002553156.1,DAKCFMEO_01518,51.6,62,70,89,2.5e-14,72.0,0.885714,0.696629
WP_002553160.1,DAKCFMEO_00813,100.0,64,64,64,1.2e-29,122.9,1,1
WP_002553161.1,DAKCFMEO_00814,100.0,118,118,118,5.4e-57,214.5,1,1
WP_002553164.1,DAKCFMEO_00817,100.0,100,100,100,2.9e-51,195.3,1,1
WP_002553665.1,DAKCFMEO_03718,98.5,197,197,197,1.4e-113,403.3,1,1
WP_002553918.1,DAKCFMEO_01408,99.6,259,259,259,1.9e-147,516.2,1,1
WP_002553918.1,DAKCFMEO_01584,59.1,257,259,277,2.1e-85,310.1,0.992278,0.927798
WP_002553918.1,DAKCFMEO_01950,35.2,244,259,244,6.9e-33,135.6,0.942085,1
WP_002553918.1,DAKCFMEO_05227,34.5,258,259,257,6.9e-33,135.6,0.996139,1.00389
WP_002553918.1,DAKCFMEO_02197,31.8,255,259,366,5.0e-31,129.4,0.984556,0.696721
WP_002553918.1,DAKCFMEO_04511,32.0,259,259,254,9.4e-30,125.2,1,1.01969
WP_002553918.1,DAKCFMEO_00139,31.1,257,259,254,1.2e-29,124.8,0.992278,1.01181
WP_002553918.1,DAKCFMEO_05131,35.1,248,259,247,2.1e-29,124.0,0.957529,1.00405
WP_002553918.1,DAKCFMEO_04183,32.4,238,259,329,3.6e-29,123.2,0.918919,0.723404
WP_002553918.1,DAKCFMEO_03764,31.0,252,259,263,2.0e-27,117.5,0.972973,0.958175
WP_002553918.1,DAKCFMEO_00173,33.3,234,259,244,2.6e-27,117.1,0.903475,0.959016
WP_002553918.1,DAKCFMEO_05158,30.8,240,259,326,2.8e-26,113.6,0.926641,0.736196
WP_002553918.1,DAKCFMEO_00164,32.3,248,259,358,4.8e-26,112.8,0.957529,0.692737
WP_002553918.1,DAKCFMEO_04778,32.1,240,259,389,1.4e-25,111.3,0.926641,0.616967
WP_002553918.1,DAKCFMEO_02024,30.3,231,259,380,5.9e-24,105.9,0.891892,0.607895
WP_002553918.1,DAKCFMEO_05138,32.7,226,259,376,2.9e-23,103.6,0.872587,0.601064
WP_002553918.1,DAKCFMEO_02928,31.5,251,259,343,1.9e-22,100.9,0.969112,0.731778
WP_002553978.1,DAKCFMEO_01496,97.8,223,223,223,3.7e-115,408.7,1,1
WP_002554011.1,DAKCFMEO_01530,100.0,137,137,137,2.5e-74,272.3,1,1
WP_002554012.1,DAKCFMEO_01531,97.3,224,224,224,2.0e-129,456.1,1,1
WP_002554100.1,DAKCFMEO_04682,96.5,202,202,202,7.6e-112,397.5,1,1
WP_002554100.1,DAKCFMEO_03777,44.6,202,202,205,1.1e-41,164.5,1,0.985366
WP_002554157.1,DAKCFMEO_04624,100.0,62,62,62,3.2e-29,121.3,1,1
WP_002554157.1,DAKCFMEO_04205,59.3,59,62,65,9.2e-16,76.6,0.951613,0.907692
WP_002554157.1,DAKCFMEO_02400,70.9,55,62,62,2.0e-15,75.5,0.887097,0.887097
WP_002554192.1,DAKCFMEO_04561,97.4,231,229,231,5.1e-128,451.4,1.00873,1
WP_002554192.1,DAKCFMEO_02661,57.3,225,229,226,6.1e-73,268.5,0.982533,0.995575
WP_002554192.1,DAKCFMEO_02992,56.4,225,229,225,5.7e-71,261.9,0.982533,1
WP_002554192.1,DAKCFMEO_02150,55.2,223,229,224,4.5e-68,252.3,0.973799,0.995536
WP_002554192.1,DAKCFMEO_01433,44.7,219,229,227,4.8e-46,179.1,0.956332,0.964758
WP_002554192.1,DAKCFMEO_00060,40.4,223,229,220,1.7e-43,170.6,0.973799,1.01364
WP_002554192.1,DAKCFMEO_00368,42.0,219,229,227,9.5e-42,164.9,0.956332,0.964758
WP_002554192.1,DAKCFMEO_02463,38.1,223,229,220,1.6e-41,164.1,0.973799,1.01364
WP_002554192.1,DAKCFMEO_00233,37.2,223,229,223,4.9e-38,152.5,0.973799,1
WP_002554192.1,DAKCFMEO_00941,35.6,225,229,238,1.7e-35,144.1,0.982533,0.945378
WP_002554192.1,DAKCFMEO_01546,39.4,221,229,222,2.3e-35,143.7,0.965066,0.995495
WP_002554192.1,DAKCFMEO_02243,35.2,219,229,225,3.3e-34,139.8,0.956332,0.973333
WP_002554192.1,DAKCFMEO_00691,35.3,218,229,230,7.3e-34,138.7,0.951965,0.947826
WP_002554192.1,DAKCFMEO_00670,39.4,226,229,249,1.2e-33,137.9,0.9869,0.907631
WP_002554192.1,DAKCFMEO_02949,36.9,217,229,226,6.8e-32,132.1,0.947598,0.960177
WP_002554192.1,DAKCFMEO_00002,36.0,222,229,262,1.5e-31,131.0,0.969432,0.847328
WP_002554192.1,DAKCFMEO_01592,32.4,219,229,229,1.8e-29,124.0,0.956332,0.956332
WP_002554192.1,DAKCFMEO_01992,34.7,225,229,246,2.4e-29,123.6,0.982533,0.914634
WP_002554192.1,DAKCFMEO_02976,36.0,225,229,245,5.4e-29,122.5,0.982533,0.918367
WP_002554192.1,DAKCFMEO_02384,35.1,205,229,225,8.6e-27,115.2,0.895197,0.911111
WP_002554192.1,DAKCFMEO_00596,32.8,232,229,255,2.1e-25,110.5,1.0131,0.909804
WP_002554192.1,DAKCFMEO_04468,31.0,158,229,223,3.1e-16,80.1,0.689956,0.70852
WP_002554262.1,DAKCFMEO_02556,100.0,159,159,159,3.7e-85,308.5,1,1
WP_002554262.1,DAKCFMEO_02886,36.7,147,159,179,3.1e-23,102.8,0.924528,0.821229
WP_002554277.1,DAKCFMEO_02541,93.3,89,89,89,1.7e-39,156.0,1,1
WP_002554288.1,DAKCFMEO_02531,93.3,149,149,149,4.7e-74,271.6,1,1
WP_002554291.1,DAKCFMEO_02528,99.7,338,338,338,6.2e-183,634.4,1,1
WP_002554297.1,DAKCFMEO_02522,90.8,98,98,98,6.7e-45,174.1,1,1
WP_002554310.1,DAKCFMEO_02509,100.0,262,262,262,1.3e-143,503.4,1,1
WP_002554316.1,DAKCFMEO_02504,97.9,146,146,146,3.0e-73,268.9,1,1
WP_002554423.1,DAKCFMEO_02406,99.0,105,108,105,1.6e-52,199.5,0.972222,1
WP_002554426.1,DAKCFMEO_02400,100.0,62,62,62,4.2e-29,120.9,1,1
WP_002554426.1,DAKCFMEO_04624,70.9,55,62,62,5.9e-15,73.9,0.887097,0.887097
WP_002554426.1,DAKCFMEO_04205,50.8,59,62,65,2.3e-11,62.0,0.951613,0.907692
WP_002554476.1,DAKCFMEO_04319,99.7,319,319,319,6.3e-177,614.4,1,1
WP_002554476.1,DAKCFMEO_00311,44.6,314,319,351,9.1e-67,248.4,0.984326,0.894587
WP_002554476.1,DAKCFMEO_00693,43.2,287,319,305,1.4e-56,214.5,0.899687,0.940984
WP_002554489.1,DAKCFMEO_04303,97.5,236,237,237,8.9e-128,450.7,0.995781,0.995781
WP_002554489.1,DAKCFMEO_01049,36.9,203,237,239,9.5e-29,121.7,0.85654,0.849372
WP_002554489.1,DAKCFMEO_01707,31.3,230,237,255,5.4e-16,79.3,0.970464,0.901961
WP_002554489.1,DAKCFMEO_00927,33.1,172,237,238,4.6e-15,76.3,0.725738,0.722689
WP_002554553.1,DAKCFMEO_02327,97.1,68,68,68,1.1e-33,136.3,1,1
WP_002554561.1,DAKCFMEO_02318,100.0,97,98,98,2.8e-51,195.3,0.989796,0.989796
WP_002554561.1,DAKCFMEO_00817,32.2,90,98,100,4.4e-12,65.1,0.918367,0.9
WP_002554561.1,DAKCFMEO_04353,36.3,91,98,90,4.8e-11,61.6,0.928571,1.01111
WP_002554562.1,DAKCFMEO_02317,97.9,563,563,561,4.8e-313,1067.4,1,1.00357
WP_002554651.1,DAKCFMEO_03124,95.2,166,166,165,5.7e-81,294.7,1,1.00606
WP_002554651.1,DAKCFMEO_03380,33.9,177,166,234,1.3e-11,64.3,1.06627,0.75641
WP_002554655.1,DAKCFMEO_03128,97.4,231,231,231,2.3e-120,426.0,1,1
WP_002554655.1,DAKCFMEO_00946,60.3,219,231,232,1.9e-66,246.9,0.948052,0.943966
WP_002554655.1,DAKCFMEO_04076,50.5,218,231,232,2.6e-47,183.3,0.943723,0.939655
WP_002554655.1,DAKCFMEO_01832,38.5,192,231,318,1.5e-26,114.4,0.831169,0.603774
WP_002554655.1,DAKCFMEO_02040,32.7,214,231,235,1.7e-22,100.9,0.926407,0.910638
WP_002554655.1,DAKCFMEO_00897,30.9,220,231,240,2.9e-22,100.1,0.952381,0.916667
WP_002554655.1,DAKCFMEO_03884,31.4,204,231,228,1.6e-20,94.4,0.883117,0.894737
WP_002554721.1,DAKCFMEO_03190,100.0,167,167,167,1.5e-84,306.6,1,1
WP_002554728.1,DAKCFMEO_03197,98.4,247,247,247,2.1e-135,476.1,1,1
WP_002554837.1,DAKCFMEO_00145,100.0,69,69,69,2.0e-35,142.1,1,1
WP_002554837.1,DAKCFMEO_00809,89.9,69,69,70,6.6e-31,127.1,1,0.985714
WP_002554837.1,DAKCFMEO_03299,80.6,67,69,70,3.1e-28,118.2,0.971014,0.957143
WP_002554837.1,DAKCFMEO_01518,49.2,65,69,89,3.6e-13,68.2,0.942029,0.730337
WP_002554843.1,DAKCFMEO_00151,99.5,208,208,208,3.5e-112,398.7,1,1
WP_002554843.1,DAKCFMEO_00754,64.9,208,208,208,1.3e-74,273.9,1,1
WP_002554843.1,DAKCFMEO_02847,33.0,209,208,209,6.4e-29,122.1,1.00481,1
WP_002554843.1,DAKCFMEO_04665,33.0,212,208,220,1.6e-27,117.5,1.01923,0.963636
WP_002554843.1,DAKCFMEO_04021,35.1,191,208,195,4.7e-24,105.9,0.918269,0.979487
WP_002554843.1,DAKCFMEO_02681,30.7,199,208,222,3.3e-17,83.2,0.956731,0.896396
WP_002554843.1,DAKCFMEO_00691,30.5,164,208,230,2.2e-13,70.5,0.788462,0.713043
WP_002554851.1,DAKCFMEO_00159,94.9,156,156,156,2.2e-82,299.3,1,1
WP_002554851.1,DAKCFMEO_03534,42.9,154,156,154,4.5e-27,115.5,0.987179,1
WP_002554971.1,DAKCFMEO_00305,94.4,126,126,126,8.2e-64,237.3,1,1
WP_002554971.1,DAKCFMEO_04083,54.5,123,126,120,6.6e-29,121.3,0.97619,1.025
WP_002554971.1,DAKCFMEO_02061,50.4,121,126,121,3.4e-25,109.0,0.960317,1
WP_002555020.1,DAKCFMEO_00368,98.7,227,227,227,5.9e-129,454.5,1,1
WP_002555020.1,DAKCFMEO_00941,57.6,224,227,238,9.9e-76,277.7,0.986784,0.941176
WP_002555020.1,DAKCFMEO_02992,41.6,221,227,225,5.3e-45,175.6,0.973568,0.982222
WP_002555020.1,DAKCFMEO_04561,42.5,219,227,231,5.5e-42,165.6,0.964758,0.948052
WP_002555020.1,DAKCFMEO_01433,41.5,224,227,227,6.1e-41,162.2,0.986784,0.986784
WP_002555020.1,DAKCFMEO_00060,39.5,223,227,220,1.4e-40,161.0,0.982379,1.01364
WP_002555020.1,DAKCFMEO_02463,41.9,222,227,220,1.8e-40,160.6,0.977974,1.00909
WP_002555020.1,DAKCFMEO_00233,38.9,226,227,223,6.9e-37,148.7,0.995595,1.01345
WP_002555020.1,DAKCFMEO_02661,37.5,224,227,226,1.2e-36,147.9,0.986784,0.99115
WP_002555020.1,DAKCFMEO_02150,38.1,223,227,224,7.7e-36,145.2,0.982379,0.995536
WP_002555020.1,DAKCFMEO_01546,37.3,220,227,222,6.1e-33,135.6,0.969163,0.990991
WP_002555020.1,DAKCFMEO_00966,38.7,230,227,229,7.9e-33,135.2,1.01322,1.00437
WP_002555020.1,DAKCFMEO_01592,35.6,222,227,229,2.6e-31,130.2,0.977974,0.969432
WP_002555020.1,DAKCFMEO_00596,36.7,237,227,255,4.1e-29,122.9,1.04405,0.929412
WP_002555020.1,DAKCFMEO_02243,32.3,223,227,225,4.1e-29,122.9,0.982379,0.991111
WP_002555020.1,DAKCFMEO_00670,36.1,233,227,249,1.6e-28,120.9,1.02643,0.935743
WP_002555020.1,DAKCFMEO_01992,34.5,226,227,246,2.9e-27,116.7,0.995595,0.918699
WP_002555020.1,DAKCFMEO_00002,33.5,224,227,262,1.1e-26,114.8,0.986784,0.854962
WP_002555020.1,DAKCFMEO_02976,36.2,229,227,245,1.9e-26,114.0,1.00881,0.934694
WP_002555020.1,DAKCFMEO_02949,32.6,224,227,226,3.6e-25,109.8,0.986784,0.99115
WP_002555020.1,DAKCFMEO_02384,33.8,219,227,225,8.0e-25,108.6,0.964758,0.973333
WP_002555020.1,DAKCFMEO_00691,33.3,222,227,230,2.6e-23,103.6,0.977974,0.965217
WP_002555064.1,DAKCFMEO_00416,97.7,130,130,130,1.8e-66,246.1,1,1
WP_002555108.1,DAKCFMEO_00463,100.0,345,345,345,6.3e-191,661.0,1,1
WP_002555109.1,DAKCFMEO_00464,97.9,95,95,95,1.4e-47,183.0,1,1
WP_002555121.1,DAKCFMEO_01679,100.0,89,89,89,2.7e-45,175.3,1,1
WP_002555142.1,DAKCFMEO_01701,99.2,122,135,122,1.4e-64,240.0,0.903704,1
WP_002555214.1,DAKCFMEO_00545,96.2,80,80,80,8.1e-41,160.2,1,1
WP_002555356.1,DAKCFMEO_03650,99.0,97,97,97,1.7e-48,186.0,1,1
WP_002555369.1,DAKCFMEO_03636,96.0,150,150,150,2.0e-80,292.7,1,1
WP_002555370.1,DAKCFMEO_03635,93.4,152,151,152,5.3e-57,214.9,1.00662,1
WP_002555375.1,DAKCFMEO_03630,100.0,106,106,106,5.0e-54,204.5,1,1
WP_002555427.1,DAKCFMEO_03570,100.0,158,158,158,1.1e-81,297.0,1,1
WP_002555464.1,DAKCFMEO_03531,99.7,333,333,333,1.5e-184,639.8,1,1
WP_002555465.1,DAKCFMEO_03530,100.0,206,206,206,1.7e-114,406.4,1,1
WP_002555466.1,DAKCFMEO_03529,100.0,129,129,129,2.1e-70,259.2,1,1
WP_002555467.1,DAKCFMEO_03528,99.2,118,118,118,4.2e-62,231.5,1,1
WP_002555469.1,DAKCFMEO_03527,99.8,444,444,444,3.0e-246,845.1,1,1
WP_002555470.1,DAKCFMEO_03526,98.6,144,144,144,5.0e-73,268.1,1,1
WP_002555471.1,DAKCFMEO_03525,98.3,58,58,58,8.8e-29,119.8,1,1
WP_002555473.1,DAKCFMEO_03523,100.0,116,116,116,3.1e-57,215.3,1,1
WP_002555475.1,DAKCFMEO_03521,98.5,130,130,130,2.0e-65,242.7,1,1
WP_002555476.1,DAKCFMEO_03520,100.0,101,101,101,2.2e-51,195.7,1,1
WP_002555478.1,DAKCFMEO_03518,100.0,104,104,104,4.9e-54,204.5,1,1
WP_002555479.1,DAKCFMEO_03517,100.0,122,122,122,6.1e-64,237.7,1,1
WP_002555480.1,DAKCFMEO_03516,100.0,88,88,88,4.6e-45,174.5,1,1
WP_002555481.1,DAKCFMEO_03515,100.0,63,63,63,2.8e-28,118.2,1,1
WP_002555482.1,DAKCFMEO_03514,100.0,137,137,137,8.1e-73,267.3,1,1
WP_002555485.1,DAKCFMEO_03512,100.0,110,110,110,2.0e-53,202.6,1,1
WP_002555488.1,DAKCFMEO_03509,100.0,99,99,99,9.1e-50,190.3,1,1
WP_002555489.1,DAKCFMEO_03508,98.0,200,200,200,3.6e-106,378.6,1,1
WP_002555491.1,DAKCFMEO_03506,99.0,103,103,103,2.7e-52,198.7,1,1
WP_002555494.1,DAKCFMEO_03502,100.0,123,123,123,1.6e-67,249.6,1,1
WP_002555500.1,DAKCFMEO_03496,97.9,143,143,143,3.8e-73,268.5,1,1
WP_002555565.1,DAKCFMEO_02914,94.3,53,53,53,9.6e-22,96.3,1,1
WP_002555698.1,DAKCFMEO_02157,98.5,396,396,396,7.4e-220,757.3,1,1
WP_002555721.1,DAKCFMEO_05119,99.2,478,478,478,1.8e-276,945.7,1,1
WP_002555721.1,DAKCFMEO_02525,38.9,478,478,471,3.4e-86,313.5,1,1.01486
WP_002555721.1,DAKCFMEO_00278,45.2,363,478,444,4.6e-83,303.1,0.759414,0.817568
WP_002555721.1,DAKCFMEO_00522,36.6,465,478,446,1.1e-81,298.5,0.972803,1.0426
WP_002555721.1,DAKCFMEO_00175,37.3,469,478,442,1.9e-81,297.7,0.981172,1.06109
WP_002555721.1,DAKCFMEO_01664,42.2,386,478,477,2.5e-81,297.4,0.807531,0.809224
WP_002555721.1,DAKCFMEO_05254,37.1,477,478,461,6.9e-79,289.3,0.997908,1.03471
WP_002555721.1,DAKCFMEO_01813,39.7,378,478,448,1.0e-74,275.4,0.790795,0.84375
WP_002555721.1,DAKCFMEO_02523,35.3,496,478,491,2.1e-67,251.1,1.03766,1.01018
WP_002555721.1,DAKCFMEO_01357,42.4,330,478,516,3.3e-65,243.8,0.690377,0.639535
WP_002555721.1,DAKCFMEO_04031,35.4,475,478,470,8.5e-61,229.2,0.993724,1.01064
WP_002555721.1,DAKCFMEO_03292,37.8,368,478,502,4.4e-57,216.9,0.769874,0.733068
WP_002555721.1,DAKCFMEO_04718,38.5,348,478,368,7.5e-57,216.1,0.728033,0.945652
WP_002555721.1,DAKCFMEO_01873,34.4,358,478,439,4.2e-52,200.3,0.748954,0.81549
WP_002555721.1,DAKCFMEO_04504,31.4,449,478,519,1.3e-48,188.7,0.939331,0.865125
WP_002555745.1,DAKCFMEO_05170,100.0,159,159,159,1.8e-95,342.8,1,1
WP_002555770.1,DAKCFMEO_05186,100.0,71,71,71,5.2e-31,127.5,1,1
WP_002555777.1,DAKCFMEO_05219,95.6,90,90,90,1.7e-47,182.6,1,1
WP_002555808.1,DAKCFMEO_01909,100.0,112,112,112,1.6e-58,219.5,1,1
WP_002555947.1,DAKCFMEO_05180,100.0,162,162,162,8.1e-88,317.4,1,1
WP_002555947.1,DAKCFMEO_01862,41.1,141,162,162,9.7e-25,107.8,0.87037,0.87037
WP_002555947.1,DAKCFMEO_04802,38.2,152,162,159,3.7e-24,105.9,0.938272,0.955975
WP_002555947.1,DAKCFMEO_01985,35.3,153,162,155,4.5e-22,99.0,0.944444,0.987097
WP_002555947.1,DAKCFMEO_01030,38.1,126,162,155,3.9e-18,85.9,0.777778,0.812903
WP_002555947.1,DAKCFMEO_04486,33.3,150,162,168,3.3e-17,82.8,0.925926,0.892857
WP_002555947.1,DAKCFMEO_02045,30.5,151,162,156,1.4e-15,77.4,0.932099,0.967949
WP_002555987.1,DAKCFMEO_01252,100.0,85,85,85,4.7e-39,154.5,1,1
WP_002556012.1,DAKCFMEO_02674,60.0,60,66,64,4.5e-13,67.8,0.909091,0.9375
WP_002556144.1,DAKCFMEO_01747,90.4,156,160,159,4.7e-80,291.6,0.975,0.981132
WP_003176422.1,DAKCFMEO_03513,100.0,228,228,228,3.0e-128,452.2,1,1
WP_003304675.1,DAKCFMEO_00371,99.0,97,97,97,5.8e-49,187.6,1,1
WP_003313553.1,DAKCFMEO_00399,99.2,360,360,360,5.4e-201,694.5,1,1
WP_003313577.1,DAKCFMEO_00425,99.0,305,305,305,1.2e-177,616.7,1,1
WP_003313894.1,DAKCFMEO_03604,100.0,155,155,155,6.3e-90,324.3,1,1
WP_003314356.1,DAKCFMEO_03136,98.7,157,157,157,8.1e-85,307.4,1,1
WP_003314356.1,DAKCFMEO_01752,85.2,155,157,157,6.4e-74,271.2,0.987261,0.987261
WP_003314637.1,DAKCFMEO_02299,98.3,175,175,175,1.8e-88,319.7,1,1
WP_003315067.1,DAKCFMEO_02668,99.4,161,161,161,9.8e-86,310.5,1,1
WP_003315128.1,DAKCFMEO_02617,95.7,92,92,92,4.3e-46,177.9,1,1
WP_003315315.1,DAKCFMEO_04092,96.1,279,279,279,5.2e-159,554.7,1,1
WP_003315600.1,DAKCFMEO_00777,95.9,74,74,74,3.6e-35,141.4,1,1
WP_003315798.1,DAKCFMEO_04680,97.4,77,77,77,8.1e-38,150.2,1,1
WP_003317099.1,DAKCFMEO_03524,98.8,166,166,166,1.1e-87,317.0,1,1
WP_003317112.1,DAKCFMEO_03497,97.0,231,231,231,1.0e-120,427.2,1,1
WP_003317113.1,DAKCFMEO_03495,100.0,177,177,177,5.3e-101,361.3,1,1
WP_003317208.1,DAKCFMEO_04878,99.3,148,148,148,1.0e-73,270.4,1,1
WP_003317528.1,DAKCFMEO_03086,98.4,126,126,126,1.8e-71,262.7,1,1
WP_003317528.1,DAKCFMEO_01593,55.1,118,126,125,1.4e-31,130.2,0.936508,0.944
WP_003317531.1,DAKCFMEO_03084,99.3,298,298,298,3.2e-167,582.0,1,1
WP_003317531.1,DAKCFMEO_04652,75.1,293,298,298,1.3e-120,427.2,0.983221,0.983221
WP_003317531.1,DAKCFMEO_03157,41.9,296,298,308,1.5e-60,227.6,0.993289,0.961039
WP_003317531.1,DAKCFMEO_01458,31.4,293,298,325,4.4e-23,103.2,0.983221,0.901538
WP_003317531.1,DAKCFMEO_00021,31.4,271,298,304,4.0e-16,80.1,0.909396,0.891447
WP_003317532.1,DAKCFMEO_03082,99.5,200,200,200,8.9e-113,400.6,1,1
WP_003317533.1,DAKCFMEO_03081,99.4,181,181,181,2.4e-104,372.5,1,1
WP_003317533.1,DAKCFMEO_03583,70.5,173,181,175,3.7e-73,268.9,0.955801,0.988571
WP_003318100.1,DAKCFMEO_01994,100.0,301,301,301,1.8e-170,592.8,1,1
WP_003318204.1,DAKCFMEO_03404,78.3,60,60,60,2.0e-23,102.1,1,1
WP_003319037.1,DAKCFMEO_00074,31.5,149,200,190,1.4e-17,84.3,0.745,0.784211
WP_003340324.1,DAKCFMEO_01574,98.2,163,163,163,3.4e-86,312.0,1,1
WP_003344603.1,DAKCFMEO_00537,100.0,92,92,92,2.0e-43,169.1,1,1
WP_003346101.1,DAKCFMEO_00752,97.4,114,114,114,6.5e-60,224.2,1,1
WP_003363851.1,DAKCFMEO_00304,98.9,283,283,283,3.6e-168,585.1,1,1
WP_003363851.1,DAKCFMEO_00875,47.1,280,283,288,1.0e-69,258.1,0.989399,0.972222
WP_003363851.1,DAKCFMEO_02959,44.8,279,283,285,2.8e-67,250.0,0.985866,0.978947
WP_003365425.1,DAKCFMEO_02749,86.4,66,66,66,4.5e-29,120.9,1,1
WP_003367017.1,DAKCFMEO_00812,99.4,177,177,177,4.1e-93,335.1,1,1
WP_003368676.1,DAKCFMEO_04778,98.2,385,385,389,7.5e-217,747.3,1,0.989717
WP_003368676.1,DAKCFMEO_01326,37.0,246,385,368,1.1e-45,178.7,0.638961,0.668478
WP_003368676.1,DAKCFMEO_05158,36.9,249,385,326,2.0e-44,174.5,0.646753,0.763804
