HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0000042	OG0000008	n6	WP_005763906.1, WP_011103533.1	DAKCFMEO_04031, DAKCFMEO_01357, DAKCFMEO_01489
N0.HOG0000043	OG0000009	n1	WP_011105057.1	DAKCFMEO_04763
N0.HOG0000044	OG0000009	n3	WP_011105058.1	DAKCFMEO_04764
N0.HOG0000045	OG0000009	n9	WP_011105059.1	DAKCFMEO_04765
N0.HOG0000046	OG0000009	n7	WP_005769383.1	DAKCFMEO_04767
N0.HOG0000047	OG0000009	n8	WP_011102986.1	DAKCFMEO_01850
N0.HOG0000048	OG0000010	n1	WP_011104129.1	DAKCFMEO_00966, DAKCFMEO_02949
N0.HOG0000049	OG0000010	n4	WP_003382360.1	DAKCFMEO_02150
N0.HOG0000050	OG0000010	n6	WP_005764042.1	DAKCFMEO_02992
N0.HOG0000051	OG0000010	n7	WP_002554192.1	DAKCFMEO_02661, DAKCFMEO_04561
N0.HOG0000052	OG0000011	n1	WP_011105342.1	DAKCFMEO_05084
N0.HOG0000053	OG0000011	n8	WP_011105343.1	DAKCFMEO_05085
N0.HOG0000054	OG0000011	n7	WP_046463299.1	DAKCFMEO_01032
N0.HOG0000055	OG0000011	n5	WP_007244964.1	DAKCFMEO_01223
N0.HOG0000056	OG0000011	n6	WP_046463739.1	DAKCFMEO_01726
N0.HOG0000057	OG0000012	n1	WP_011104743.1	DAKCFMEO_04250
N0.HOG0000058	OG0000012	n2	WP_011105318.1, WP_005765463.1, WP_011105119.1, WP_011105122.1, WP_057443300.1, WP_011104106.1	DAKCFMEO_04450
N0.HOG0000059	OG0000013	n1	WP_011105383.1	DAKCFMEO_01966
N0.HOG0000060	OG0000013	n3	WP_011103512.1	DAKCFMEO_05213
N0.HOG0000061	OG0000013	n4	WP_005767792.1	DAKCFMEO_05243, DAKCFMEO_04438, DAKCFMEO_04382, DAKCFMEO_03933
N0.HOG0000062	OG0000014	n1	WP_011104382.1	DAKCFMEO_03805, DAKCFMEO_04771
N0.HOG0000063	OG0000014	n7	WP_005770761.1	DAKCFMEO_04356
N0.HOG0000064	OG0000014	n5	WP_011103058.1	DAKCFMEO_02034
N0.HOG0000065	OG0000014	n6	WP_011104339.1	DAKCFMEO_04030
N0.HOG0000066	OG0000015	n1	WP_011104104.1	DAKCFMEO_00963
N0.HOG0000067	OG0000015	n3	WP_005894383.1	DAKCFMEO_02100, DAKCFMEO_00056
N0.HOG0000068	OG0000015	n6	WP_011104874.1	DAKCFMEO_00086
N0.HOG0000069	OG0000015	n7	WP_011104873.1	DAKCFMEO_00085
N0.HOG0000070	OG0000016	n1	WP_005764458.1	DAKCFMEO_04042
N0.HOG0000071	OG0000016	n2	WP_005738213.1	DAKCFMEO_03893, DAKCFMEO_04650, DAKCFMEO_01238, DAKCFMEO_01341, DAKCFMEO_01407
N0.HOG0000072	OG0000017	n1	WP_005764287.1	DAKCFMEO_00588, DAKCFMEO_03879
N0.HOG0000073	OG0000017	n4	WP_007246985.1	DAKCFMEO_04733
N0.HOG0000074	OG0000017	n5	WP_007246046.1	DAKCFMEO_04571, DAKCFMEO_02438
N0.HOG0000075	OG0000018	n1	WP_046463882.1	DAKCFMEO_05133
N0.HOG0000076	OG0000018	n4	WP_005764602.1	DAKCFMEO_03996
N0.HOG0000077	OG0000018	n5	WP_011104007.1, WP_011105351.1	DAKCFMEO_05134
N0.HOG0000078	OG0000019	n1	WP_011104980.1	DAKCFMEO_00342
N0.HOG0000079	OG0000019	n3	WP_011104924.1	DAKCFMEO_04064
N0.HOG0000080	OG0000019	n5	WP_011104372.1	DAKCFMEO_04423
N0.HOG0000081	OG0000019	n6	WP_005767796.1	DAKCFMEO_03538
N0.HOG0000082	OG0000020	n1	WP_011107021.1	DAKCFMEO_04634, DAKCFMEO_01707
N0.HOG0000083	OG0000020	n4	WP_005770837.1	DAKCFMEO_00928
N0.HOG0000084	OG0000020	n5	WP_007243745.1	DAKCFMEO_00927, DAKCFMEO_04757
N0.HOG0000085	OG0000021	n1	WP_044393047.1	DAKCFMEO_01760
N0.HOG0000086	OG0000021	n3	WP_007243826.1, WP_011104703.1	
N0.HOG0000087	OG0000021	n5	WP_011105438.1	DAKCFMEO_05224
N0.HOG0000088	OG0000021	n6	WP_024667882.1	DAKCFMEO_04383
N0.HOG0000089	OG0000022	n1	WP_011103090.1	DAKCFMEO_05163
N0.HOG0000090	OG0000022	n2	WP_046463958.1	DAKCFMEO_01557, DAKCFMEO_01037, DAKCFMEO_02181, DAKCFMEO_01779, DAKCFMEO_02871
N0.HOG0000091	OG0000023	n1	WP_011104487.1	DAKCFMEO_01438
N0.HOG0000092	OG0000023	n3	WP_011105356.1	DAKCFMEO_05141
N0.HOG0000093	OG0000023	n4	WP_011103298.1	DAKCFMEO_03216, DAKCFMEO_00970, DAKCFMEO_04449
N0.HOG0000094	OG0000024	n0	WP_080946645.1, WP_078983211.1, WP_080597953.1, WP_080946591.1, WP_080115702.1, WP_159229490.1, WP_159229495.1, WP_159229486.1	
N0.HOG0000095	OG0000025	n0		DAKCFMEO_00882, DAKCFMEO_04599, DAKCFMEO_02353, DAKCFMEO_00698, DAKCFMEO_02027, DAKCFMEO_03385, DAKCFMEO_01422, DAKCFMEO_02005
N0.HOG0000096	OG0000026	n1	WP_011103389.1	DAKCFMEO_03049
N0.HOG0000097	OG0000026	n2	WP_004666923.1, WP_003347743.1, WP_005615816.1, WP_005766970.1	DAKCFMEO_02554
N0.HOG0000098	OG0000027	n1	WP_005768479.1	DAKCFMEO_02083
N0.HOG0000099	OG0000027	n3	WP_005770083.1	DAKCFMEO_03677
N0.HOG0000100	OG0000027	n4	WP_011105578.1, WP_003425026.1	DAKCFMEO_03697
N0.HOG0000101	OG0000028	n1	WP_005614629.1	DAKCFMEO_00517
N0.HOG0000102	OG0000028	n3	WP_011105486.1	DAKCFMEO_01633
N0.HOG0000103	OG0000028	n4	WP_011104076.1	DAKCFMEO_05286, DAKCFMEO_01140
N0.HOG0000104	OG0000029	n1	WP_080946590.1, WP_161797792.1	DAKCFMEO_03367
N0.HOG0000105	OG0000029	n3	WP_005615166.1, WP_011105434.1, WP_011104519.1	DAKCFMEO_03368
N0.HOG0000106	OG0000030	n1	WP_005767078.1	DAKCFMEO_02022
N0.HOG0000107	OG0000030	n3	WP_011105417.1	DAKCFMEO_02023
N0.HOG0000108	OG0000030	n4	WP_164923170.1, WP_005762461.1	DAKCFMEO_03771
N0.HOG0000109	OG0000031	n0	WP_005762581.1	DAKCFMEO_03548, DAKCFMEO_04050, DAKCFMEO_02062, DAKCFMEO_03812, DAKCFMEO_03312, DAKCFMEO_01189
N0.HOG0000110	OG0000032	n1	WP_010218671.1	DAKCFMEO_04390
N0.HOG0000111	OG0000032	n3	WP_011105102.1	DAKCFMEO_00572
N0.HOG0000112	OG0000032	n4	WP_005762709.1	DAKCFMEO_03863, DAKCFMEO_01092
N0.HOG0000113	OG0000033	n1	WP_005767187.1	DAKCFMEO_05232, DAKCFMEO_05233
N0.HOG0000114	OG0000033	n3	WP_005763587.1	DAKCFMEO_05145, DAKCFMEO_00332, DAKCFMEO_04962
N0.HOG0000115	OG0000034	n1	WP_005771258.1	DAKCFMEO_01375
N0.HOG0000116	OG0000034	n3	WP_011104482.1	DAKCFMEO_01431
N0.HOG0000117	OG0000034	n4	WP_011104229.1, WP_011103467.1	DAKCFMEO_04773
N0.HOG0000118	OG0000035	n1	WP_011103959.1	DAKCFMEO_00770
N0.HOG0000119	OG0000035	n2	WP_007244158.1	DAKCFMEO_03891, DAKCFMEO_02442, DAKCFMEO_04436, DAKCFMEO_01735
N0.HOG0000120	OG0000036	n1	WP_011103274.1	DAKCFMEO_03708
N0.HOG0000121	OG0000036	n3	WP_011104588.1	DAKCFMEO_04695
N0.HOG0000122	OG0000036	n4	WP_011103279.1	DAKCFMEO_00952, DAKCFMEO_00600
N0.HOG0000123	OG0000037	n1	WP_011104174.1	DAKCFMEO_03737
N0.HOG0000124	OG0000037	n2	WP_011103502.1	DAKCFMEO_01240, DAKCFMEO_00363, DAKCFMEO_03736, DAKCFMEO_02993
N0.HOG0000125	OG0000038	n0	WP_011104616.1	DAKCFMEO_04608, DAKCFMEO_04453, DAKCFMEO_04966, DAKCFMEO_00913, DAKCFMEO_03469, DAKCFMEO_04605
N0.HOG0000126	OG0000039	n0		DAKCFMEO_03074, DAKCFMEO_02068, DAKCFMEO_00978, DAKCFMEO_02070, DAKCFMEO_03370, DAKCFMEO_02069, DAKCFMEO_02795
N0.HOG0000127	OG0000040	n0		DAKCFMEO_01141, DAKCFMEO_04231, DAKCFMEO_03654, DAKCFMEO_01022, DAKCFMEO_02477, DAKCFMEO_01313, DAKCFMEO_05276
N0.HOG0000128	OG0000041	n0		DAKCFMEO_01147, DAKCFMEO_03945, DAKCFMEO_01145, DAKCFMEO_03944, DAKCFMEO_01148, DAKCFMEO_01146, DAKCFMEO_01149
N0.HOG0000129	OG0000042	n0		DAKCFMEO_04777, DAKCFMEO_02956, DAKCFMEO_03306, DAKCFMEO_02952, DAKCFMEO_05144, DAKCFMEO_02954, DAKCFMEO_02957
N0.HOG0000130	OG0000043	n1	WP_002553156.1	DAKCFMEO_00809
N0.HOG0000131	OG0000043	n3	WP_002554837.1	DAKCFMEO_00145
N0.HOG0000132	OG0000043	n4	WP_005764082.1	DAKCFMEO_03299
N0.HOG0000133	OG0000044	n1	WP_002554157.1	DAKCFMEO_04624
N0.HOG0000134	OG0000044	n2	WP_010216576.1, WP_011103313.1, WP_003381023.1	DAKCFMEO_04205
N0.HOG0000135	OG0000045	n1	WP_002555020.1	DAKCFMEO_00368
N0.HOG0000136	OG0000045	n2	WP_011104125.1, WP_159229484.1, WP_005770857.1	DAKCFMEO_00941
N0.HOG0000137	OG0000046	n1	WP_003381855.1	DAKCFMEO_01356
N0.HOG0000138	OG0000046	n2	WP_003425025.1, WP_155490796.1, WP_003378280.1	DAKCFMEO_01226
N0.HOG0000139	OG0000047	n0	WP_164923172.1, WP_011104442.1, WP_003409202.1, WP_080898634.1, WP_159229438.1, WP_011105416.1	
N0.HOG0000140	OG0000048	n1	WP_005771285.1	DAKCFMEO_00898
N0.HOG0000141	OG0000048	n3	WP_005768982.1	DAKCFMEO_03885
N0.HOG0000142	OG0000048	n4	WP_005739842.1	DAKCFMEO_02039
N0.HOG0000143	OG0000049	n1	WP_011104338.1	DAKCFMEO_04028
N0.HOG0000144	OG0000049	n3	WP_011104692.1	DAKCFMEO_04358
N0.HOG0000145	OG0000049	n4	WP_005739846.1	DAKCFMEO_02036
N0.HOG0000146	OG0000050	n1	WP_005762712.1	DAKCFMEO_01091
N0.HOG0000147	OG0000050	n2	WP_011105103.1	DAKCFMEO_03862, DAKCFMEO_04391, DAKCFMEO_00573
N0.HOG0000148	OG0000051	n1	WP_046463879.1	DAKCFMEO_04210
N0.HOG0000149	OG0000051	n2	WP_011105419.1, WP_005763678.1, WP_161797791.1	DAKCFMEO_04829
N0.HOG0000150	OG0000052	n1	WP_005764441.1	DAKCFMEO_04029
N0.HOG0000151	OG0000052	n3	WP_011104693.1	DAKCFMEO_04357
N0.HOG0000152	OG0000052	n4	WP_011103059.1	DAKCFMEO_02035
N0.HOG0000153	OG0000053	n1	WP_011104485.1	DAKCFMEO_01436
N0.HOG0000154	OG0000053	n2	WP_005765592.1	DAKCFMEO_03217, DAKCFMEO_00969, DAKCFMEO_05143
N0.HOG0000155	OG0000054	n1	WP_005766129.1	DAKCFMEO_04385
N0.HOG0000156	OG0000054	n2	WP_011104367.1	DAKCFMEO_03866, DAKCFMEO_04072, DAKCFMEO_03108
N0.HOG0000157	OG0000055	n0	WP_011104187.1, WP_005766150.1, WP_011104269.1, WP_011104270.1, WP_011104116.1	DAKCFMEO_03762
N0.HOG0000158	OG0000056	n1	WP_005768984.1	DAKCFMEO_03884
N0.HOG0000159	OG0000056	n3	WP_044392584.1	DAKCFMEO_02040
N0.HOG0000160	OG0000056	n4	WP_010203861.1	DAKCFMEO_00897
N0.HOG0000161	OG0000057	n0	WP_011104993.1, WP_005770647.1, WP_011104580.1, WP_011104070.1, WP_011105496.1, WP_011105476.1	
N0.HOG0000162	OG0000058	n1	WP_011104556.1	DAKCFMEO_04753
N0.HOG0000163	OG0000058	n3	WP_005771029.1	DAKCFMEO_03339
N0.HOG0000164	OG0000058	n4	WP_046463853.1	DAKCFMEO_02044
N0.HOG0000165	OG0000059	n0	WP_011104234.1, WP_011105159.1, WP_005894372.1, WP_046463945.1, WP_007245505.1, WP_011105091.1	
N0.HOG0000166	OG0000060	n0	WP_007246451.1	DAKCFMEO_03980, DAKCFMEO_02639, DAKCFMEO_03115, DAKCFMEO_00791, DAKCFMEO_04022
N0.HOG0000167	OG0000061	n1	WP_011104366.1	DAKCFMEO_02419
N0.HOG0000168	OG0000061	n2	WP_007247023.1	DAKCFMEO_04217, DAKCFMEO_03908, DAKCFMEO_00081
N0.HOG0000169	OG0000062	n1	WP_011103633.1	DAKCFMEO_00022
N0.HOG0000170	OG0000062	n2	WP_011104940.1, WP_011104673.1, WP_011104143.1	DAKCFMEO_01126
N0.HOG0000171	OG0000063	n1	WP_024668283.1	DAKCFMEO_03316
N0.HOG0000172	OG0000063	n2	WP_011103651.1	DAKCFMEO_01173, DAKCFMEO_01902, DAKCFMEO_00012
N0.HOG0000173	OG0000064	n1	WP_011104079.1	DAKCFMEO_01626
N0.HOG0000174	OG0000064	n2	WP_046464016.1	DAKCFMEO_05292, DAKCFMEO_05290, DAKCFMEO_01152
N0.HOG0000175	OG0000065	n1	WP_046463852.1	DAKCFMEO_02037
N0.HOG0000176	OG0000065	n3	WP_011104337.1	DAKCFMEO_04027
N0.HOG0000177	OG0000065	n4	WP_011104691.1	DAKCFMEO_04359
N0.HOG0000178	OG0000066	n1	WP_002554655.1	DAKCFMEO_03128
N0.HOG0000179	OG0000066	n2	WP_007245914.1	DAKCFMEO_04076, DAKCFMEO_00946
N0.HOG0000180	OG0000067	n0	WP_005768426.1, WP_005766145.1, WP_003379555.1, WP_011104115.1	DAKCFMEO_01953
N0.HOG0000181	OG0000068	n1	WP_003380560.1	DAKCFMEO_01030
N0.HOG0000182	OG0000068	n2	WP_007243724.1, WP_011103096.1	DAKCFMEO_01985
N0.HOG0000183	OG0000069	n1	WP_003382856.1	DAKCFMEO_01170
N0.HOG0000184	OG0000069	n2	WP_005763521.1, WP_011103332.1	DAKCFMEO_02141
N0.HOG0000185	OG0000070	n0	WP_005620804.1	DAKCFMEO_04868, DAKCFMEO_03313, DAKCFMEO_02429, DAKCFMEO_04442
N0.HOG0000186	OG0000071	n0	WP_011107006.1, WP_053486452.1, WP_011103083.1, WP_005769724.1, WP_005747119.1	
N0.HOG0000187	OG0000072	n1	WP_011103764.1	DAKCFMEO_02481
N0.HOG0000188	OG0000072	n2	WP_011105315.1, WP_005762732.1	DAKCFMEO_04585
N0.HOG0000189	OG0000073	n1	WP_007243779.1	DAKCFMEO_00557
N0.HOG0000190	OG0000073	n2	WP_052746243.1, WP_005763690.1	DAKCFMEO_02964
N0.HOG0000191	OG0000074	n1	WP_005763696.1	DAKCFMEO_04967
N0.HOG0000192	OG0000074	n2	WP_005764509.1	DAKCFMEO_04810, DAKCFMEO_00998
N0.HOG0000193	OG0000075	n1	WP_005763862.1	DAKCFMEO_01465
N0.HOG0000194	OG0000075	n2	WP_005767000.1	DAKCFMEO_01082, DAKCFMEO_02530
N0.HOG0000195	OG0000076	n1	WP_007246965.1	DAKCFMEO_04701
N0.HOG0000196	OG0000076	n2	WP_005764495.1	DAKCFMEO_03813, DAKCFMEO_04014
N0.HOG0000197	OG0000077	n1	WP_005770626.1	DAKCFMEO_04248
N0.HOG0000198	OG0000077	n2	WP_005765466.1, WP_011104354.1	DAKCFMEO_00058
N0.HOG0000199	OG0000078	n1	WP_005769536.1	DAKCFMEO_01860
N0.HOG0000200	OG0000078	n2	WP_005766109.1, WP_007246020.1	DAKCFMEO_01132
N0.HOG0000201	OG0000079	n1	WP_011104856.1	DAKCFMEO_00257
N0.HOG0000202	OG0000079	n2	WP_005766635.1	DAKCFMEO_02440, DAKCFMEO_02246
N0.HOG0000203	OG0000080	n1	WP_046463317.1	DAKCFMEO_00959
N0.HOG0000204	OG0000080	n2	WP_005767351.1	DAKCFMEO_02432, DAKCFMEO_01454
N0.HOG0000205	OG0000081	n1	WP_005771635.1	DAKCFMEO_05299
N0.HOG0000206	OG0000081	n2	WP_005769043.1, WP_005769285.1	DAKCFMEO_04169
N0.HOG0000207	OG0000082	n0	WP_024668228.1, WP_007245189.1, WP_005769165.1, WP_005769163.1	DAKCFMEO_00603
N0.HOG0000208	OG0000083	n1	WP_005770871.1	DAKCFMEO_00947
N0.HOG0000209	OG0000083	n2	WP_161420636.1	DAKCFMEO_04077, DAKCFMEO_03127
N0.HOG0000210	OG0000084	n1	WP_011103232.1	DAKCFMEO_03554
N0.HOG0000211	OG0000084	n2	WP_011105584.1, WP_005771489.1	DAKCFMEO_01762
N0.HOG0000212	OG0000085	n0	WP_044390135.1, WP_005894403.1, WP_046463300.1, WP_161797766.1	DAKCFMEO_02685
N0.HOG0000213	OG0000086	n0	WP_007244389.1	DAKCFMEO_02494, DAKCFMEO_04588, DAKCFMEO_04586, DAKCFMEO_02893
N0.HOG0000214	OG0000087	n1	WP_007244651.1	DAKCFMEO_03634
N0.HOG0000215	OG0000087	n2	WP_011104273.1, WP_011105457.1	DAKCFMEO_04435
N0.HOG0000216	OG0000088	n1	WP_007246309.1	DAKCFMEO_04115
N0.HOG0000217	OG0000088	n2	WP_011105458.1	DAKCFMEO_00076, DAKCFMEO_04325
N0.HOG0000218	OG0000089	n1	WP_011105495.1	DAKCFMEO_01640
N0.HOG0000219	OG0000089	n2	WP_007246961.1	DAKCFMEO_01139, DAKCFMEO_00014
N0.HOG0000220	OG0000090	n1	WP_011103085.1	DAKCFMEO_02079
N0.HOG0000221	OG0000090	n2	WP_011103053.1	DAKCFMEO_03877, DAKCFMEO_02017
N0.HOG0000222	OG0000091	n1	WP_011103352.1	DAKCFMEO_02427
N0.HOG0000223	OG0000091	n2	WP_011104046.1	DAKCFMEO_04454, DAKCFMEO_01345
N0.HOG0000224	OG0000092	n1	WP_011103705.1	DAKCFMEO_02368
N0.HOG0000225	OG0000092	n2	WP_044391155.1	DAKCFMEO_01372, DAKCFMEO_01370
N0.HOG0000226	OG0000093	n0	WP_046463675.1, WP_046463481.1, WP_011103770.1, WP_011104429.1	DAKCFMEO_00287
N0.HOG0000227	OG0000094	n1	WP_011105431.1	DAKCFMEO_05212
N0.HOG0000228	OG0000094	n2	WP_011103882.1	DAKCFMEO_04501, DAKCFMEO_02714
N0.HOG0000229	OG0000095	n0	WP_011104043.1	DAKCFMEO_01348, DAKCFMEO_04487, DAKCFMEO_03022, DAKCFMEO_02364
N0.HOG0000230	OG0000096	n0	WP_011105493.1, WP_011104071.1	DAKCFMEO_05281, DAKCFMEO_01134, DAKCFMEO_01638
N0.HOG0000231	OG0000097	n1	WP_011104072.1	DAKCFMEO_01637
N0.HOG0000232	OG0000097	n2	WP_011105492.1	DAKCFMEO_05282, DAKCFMEO_01135
N0.HOG0000233	OG0000098	n1	WP_046464013.1	DAKCFMEO_01154, DAKCFMEO_05284
N0.HOG0000234	OG0000098	n3	WP_011104074.1	DAKCFMEO_01635
N0.HOG0000235	OG0000099	n1	WP_011105487.1	DAKCFMEO_05285, DAKCFMEO_01155
N0.HOG0000236	OG0000099	n3	WP_011104075.1	DAKCFMEO_01634
N0.HOG0000237	OG0000100	n1	WP_011104283.1	DAKCFMEO_03939
N0.HOG0000238	OG0000100	n2	WP_011104272.1, WP_011105454.1	DAKCFMEO_04432
N0.HOG0000239	OG0000101	n1	WP_011104426.1, WP_011104868.1	DAKCFMEO_04219
N0.HOG0000240	OG0000101	n3	WP_011104500.1	DAKCFMEO_01495
N0.HOG0000241	OG0000102	n1	WP_011104446.1	DAKCFMEO_00975
N0.HOG0000242	OG0000102	n2	WP_166460975.1	DAKCFMEO_00979, DAKCFMEO_00982
N0.HOG0000243	OG0000103	n1	WP_046463339.1, WP_024668229.1	DAKCFMEO_04595
N0.HOG0000244	OG0000103	n3	WP_011104705.1	DAKCFMEO_00602
N0.HOG0000245	OG0000104	n0	WP_057443212.1, WP_011104854.1, WP_046463959.1, WP_046463475.1	DAKCFMEO_02075
N0.HOG0000246	OG0000105	n1	WP_011105348.1	DAKCFMEO_02106
N0.HOG0000247	OG0000105	n2	WP_011105042.1	DAKCFMEO_01774, DAKCFMEO_00104
N0.HOG0000248	OG0000106	n1	WP_046463283.1	DAKCFMEO_04947
N0.HOG0000249	OG0000106	n2	WP_011105274.1, WP_011105273.1	DAKCFMEO_04992
N0.HOG0000250	OG0000107	n1	WP_011105470.1	DAKCFMEO_05262
N0.HOG0000251	OG0000107	n2	WP_057443166.1	DAKCFMEO_04010, DAKCFMEO_01299
N0.HOG0000252	OG0000108	n1	WP_046463302.1	DAKCFMEO_01627
N0.HOG0000253	OG0000108	n2	WP_011105480.1	DAKCFMEO_05289, DAKCFMEO_01137
N0.HOG0000254	OG0000109	n1	WP_046463524.1	DAKCFMEO_01315
N0.HOG0000255	OG0000109	n2	WP_044393960.1	DAKCFMEO_02474, DAKCFMEO_02473
N0.HOG0000256	OG0000110	n0	WP_110455596.1, WP_079216259.1, WP_122234570.1, WP_122219429.1, WP_074842714.1	
N0.HOG0000257	OG0000111	n0	WP_159229427.1, WP_152666576.1, WP_159229459.1, WP_152666575.1, WP_152666560.1	
N0.HOG0000258	OG0000112	n0		DAKCFMEO_00323, DAKCFMEO_00318, DAKCFMEO_00322, DAKCFMEO_00324, DAKCFMEO_02744
N0.HOG0000259	OG0000113	n1	WP_003381481.1	DAKCFMEO_00096
N0.HOG0000260	OG0000113	n2	WP_002551844.1	DAKCFMEO_04866
N0.HOG0000261	OG0000114	n1	WP_011105523.1	DAKCFMEO_01584
N0.HOG0000262	OG0000114	n2	WP_002553918.1	DAKCFMEO_01408
N0.HOG0000263	OG0000115	n1	WP_011104604.1	DAKCFMEO_04652
N0.HOG0000264	OG0000115	n2	WP_003317531.1	DAKCFMEO_03084
N0.HOG0000265	OG0000116	n1	WP_005614429.1	DAKCFMEO_03583
N0.HOG0000266	OG0000116	n2	WP_003317533.1	DAKCFMEO_03081
N0.HOG0000267	OG0000117	n1	WP_003376366.1	DAKCFMEO_04864
N0.HOG0000268	OG0000117	n2	WP_003381484.1	DAKCFMEO_00098
N0.HOG0000269	OG0000118	n0	WP_011104758.1, WP_005770657.1, WP_003377141.1	DAKCFMEO_04956
N0.HOG0000270	OG0000119	n0	WP_005765442.1, WP_011105118.1, WP_003377815.1	DAKCFMEO_03188
N0.HOG0000271	OG0000120	n1	WP_005771567.1	DAKCFMEO_02501
N0.HOG0000272	OG0000120	n2	WP_003378076.1	DAKCFMEO_04669
N0.HOG0000273	OG0000121	n1	WP_003378216.1	DAKCFMEO_04559
N0.HOG0000274	OG0000121	n2	WP_005762942.1	DAKCFMEO_04986
N0.HOG0000275	OG0000122	n0	WP_011104761.1, WP_007246249.1, WP_003379025.1	DAKCFMEO_03031
N0.HOG0000276	OG0000123	n0	WP_003379266.1, WP_046463419.1, WP_005766375.1	DAKCFMEO_03387
