Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000001	DC3000_protein_12_2025	n1	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1, DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1, DC3000_protein_12_2025_WP_122234494.1, DC3000_protein_12_2025_WP_122388512.1, DC3000_protein_12_2025_WP_149032159.1	DC3000_protein_12_2025_WP_122670629.1, DC3000_protein_12_2025_WP_149032203.1, DC3000_protein_12_2025_WP_122212448.1
OG0000001	DC3000_protein_12_2025	n2	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1, DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1, DC3000_protein_12_2025_WP_122234494.1, DC3000_protein_12_2025_WP_122388512.1	DC3000_protein_12_2025_WP_149032159.1
OG0000001	DC3000_protein_12_2025	n3	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1, DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1, DC3000_protein_12_2025_WP_122234494.1	DC3000_protein_12_2025_WP_122388512.1
OG0000001	DC3000_protein_12_2025	n4	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1, DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1	DC3000_protein_12_2025_WP_122234494.1
OG0000001	DC3000_protein_12_2025	n5	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1, DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1	DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1, DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1
OG0000001	DC3000_protein_12_2025	n6	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1, DC3000_protein_12_2025_WP_161797822.1	DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1, DC3000_protein_12_2025_WP_074842787.1
OG0000001	DC3000_protein_12_2025	n7	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1, DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1	DC3000_protein_12_2025_WP_161797822.1
OG0000001	DC3000_protein_12_2025	n8	1.0	Terminal	DC3000_protein_12_2025_WP_080946568.1	DC3000_protein_12_2025_WP_079216268.1, DC3000_protein_12_2025_WP_080395443.1
OG0000001	DC3000_protein_12_2025	n9	1.0	Terminal	DC3000_protein_12_2025_WP_079216268.1	DC3000_protein_12_2025_WP_080395443.1
OG0000001	DC3000_protein_12_2025	n10	1.0	Terminal	DC3000_protein_12_2025_WP_149032133.1, DC3000_protein_12_2025_WP_080946544.1	DC3000_protein_12_2025_WP_074842787.1
OG0000001	DC3000_protein_12_2025	n11	1.0	Terminal	DC3000_protein_12_2025_WP_149032133.1	DC3000_protein_12_2025_WP_080946544.1
OG0000001	DC3000_protein_12_2025	n12	1.0	Terminal	DC3000_protein_12_2025_WP_122761431.1, DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1	DC3000_protein_12_2025_WP_161797777.1, DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1
OG0000001	DC3000_protein_12_2025	n13	1.0	Terminal	DC3000_protein_12_2025_WP_122761431.1	DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1, DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1
OG0000001	DC3000_protein_12_2025	n14	1.0	Terminal	DC3000_protein_12_2025_WP_122366027.1, DC3000_protein_12_2025_WP_159250478.1	DC3000_protein_12_2025_WP_080395285.1, DC3000_protein_12_2025_WP_122212403.1
OG0000001	DC3000_protein_12_2025	n15	1.0	Terminal	DC3000_protein_12_2025_WP_122366027.1	DC3000_protein_12_2025_WP_159250478.1
OG0000001	DC3000_protein_12_2025	n16	1.0	Terminal	DC3000_protein_12_2025_WP_080395285.1	DC3000_protein_12_2025_WP_122212403.1
OG0000001	DC3000_protein_12_2025	n17	1.0	Terminal	DC3000_protein_12_2025_WP_161797777.1	DC3000_protein_12_2025_WP_149032125.1, DC3000_protein_12_2025_WP_161797806.1
OG0000001	DC3000_protein_12_2025	n18	1.0	Terminal	DC3000_protein_12_2025_WP_149032125.1	DC3000_protein_12_2025_WP_161797806.1
OG0000001	DC3000_protein_12_2025	n19	1.0	Terminal	DC3000_protein_12_2025_WP_122670629.1, DC3000_protein_12_2025_WP_149032203.1	DC3000_protein_12_2025_WP_122212448.1
OG0000001	DC3000_protein_12_2025	n20	1.0	Terminal	DC3000_protein_12_2025_WP_122670629.1	DC3000_protein_12_2025_WP_149032203.1
OG0000002	N0	n0	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_00173, DC3000_protein_12_2025_WP_011104895.1	plate25_C2_annotation_DAKCFMEO_02720, DC3000_protein_12_2025_WP_011103489.1, DC3000_protein_12_2025_WP_011104329.1, DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764, plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1, plate25_C2_annotation_DAKCFMEO_01950, DC3000_protein_12_2025_WP_011104376.1, DC3000_protein_12_2025_WP_005768429.1, plate25_C2_annotation_DAKCFMEO_03875, DC3000_protein_12_2025_WP_007243868.1
OG0000002	N0	n2	1.0	Non-Terminal	plate25_C2_annotation_DAKCFMEO_02720, DC3000_protein_12_2025_WP_011103489.1	DC3000_protein_12_2025_WP_011104329.1, DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764, plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1, plate25_C2_annotation_DAKCFMEO_01950, DC3000_protein_12_2025_WP_011104376.1, DC3000_protein_12_2025_WP_005768429.1, plate25_C2_annotation_DAKCFMEO_03875, DC3000_protein_12_2025_WP_007243868.1
OG0000002	N0	n4	1.0	Non-Terminal	DC3000_protein_12_2025_WP_011104329.1, DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764, plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1, plate25_C2_annotation_DAKCFMEO_01950, DC3000_protein_12_2025_WP_011104376.1, DC3000_protein_12_2025_WP_005768429.1	plate25_C2_annotation_DAKCFMEO_03875, DC3000_protein_12_2025_WP_007243868.1
OG0000002	N0	n5	0.5	Non-Terminal	DC3000_protein_12_2025_WP_011104329.1	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764, plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1, plate25_C2_annotation_DAKCFMEO_01950, DC3000_protein_12_2025_WP_011104376.1, DC3000_protein_12_2025_WP_005768429.1
OG0000002	N0	n6	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764, plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1	plate25_C2_annotation_DAKCFMEO_01950, DC3000_protein_12_2025_WP_011104376.1, DC3000_protein_12_2025_WP_005768429.1
OG0000002	N0	n7	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227, DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764	plate25_C2_annotation_DAKCFMEO_05131, DC3000_protein_12_2025_WP_011104117.1, DC3000_protein_12_2025_WP_007245567.1
OG0000002	N0	n8	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1, DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227	DC3000_protein_12_2025_WP_005762478.1, plate25_C2_annotation_DAKCFMEO_03764
OG0000002	N0	n9	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139, plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1	DC3000_protein_12_2025_WP_005737152.1, plate25_C2_annotation_DAKCFMEO_05227
OG0000002	N0	n10	1.0	Non-Terminal	DC3000_protein_12_2025_WP_007246637.1, plate25_C2_annotation_DAKCFMEO_00139	plate25_C2_annotation_DAKCFMEO_04511, DC3000_protein_12_2025_WP_011103716.1
OG0000002	DC3000_protein_12_2025	n16	1.0	Terminal	DC3000_protein_12_2025_WP_011104117.1	DC3000_protein_12_2025_WP_007245567.1
OG0000002	DC3000_protein_12_2025	n18	1.0	Terminal	DC3000_protein_12_2025_WP_011104376.1	DC3000_protein_12_2025_WP_005768429.1
OG0000003	plate25.C2.annotation	n0	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_01214	plate25_C2_annotation_DAKCFMEO_05051, plate25_C2_annotation_DAKCFMEO_02839, plate25_C2_annotation_DAKCFMEO_02245, plate25_C2_annotation_DAKCFMEO_05190, plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097, plate25_C2_annotation_DAKCFMEO_01869, plate25_C2_annotation_DAKCFMEO_02941, plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448, plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n1	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05051	plate25_C2_annotation_DAKCFMEO_02839, plate25_C2_annotation_DAKCFMEO_02245, plate25_C2_annotation_DAKCFMEO_05190, plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097, plate25_C2_annotation_DAKCFMEO_01869, plate25_C2_annotation_DAKCFMEO_02941, plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448, plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n2	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02839, plate25_C2_annotation_DAKCFMEO_02245	plate25_C2_annotation_DAKCFMEO_05190, plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097, plate25_C2_annotation_DAKCFMEO_01869, plate25_C2_annotation_DAKCFMEO_02941, plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448, plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n3	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02839	plate25_C2_annotation_DAKCFMEO_02245
OG0000003	plate25.C2.annotation	n4	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05190, plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097, plate25_C2_annotation_DAKCFMEO_01869	plate25_C2_annotation_DAKCFMEO_02941, plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448, plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n5	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05190, plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097	plate25_C2_annotation_DAKCFMEO_01869
OG0000003	plate25.C2.annotation	n6	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_05190	plate25_C2_annotation_DAKCFMEO_00472, plate25_C2_annotation_DAKCFMEO_01097
OG0000003	plate25.C2.annotation	n7	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_00472	plate25_C2_annotation_DAKCFMEO_01097
OG0000003	plate25.C2.annotation	n8	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02941	plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448, plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n9	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300, plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448	plate25_C2_annotation_DAKCFMEO_01826
OG0000003	plate25.C2.annotation	n10	1.0	Terminal	plate25_C2_annotation_DAKCFMEO_02934, plate25_C2_annotation_DAKCFMEO_03406, plate25_C2_annotation_DAKCFMEO_05300	plate25_C2_annotation_DAKCFMEO_04971, plate25_C2_annotation_DAKCFMEO_04860, plate25_C2_annotation_DAKCFMEO_04958, plate25_C2_annotation_DAKCFMEO_03714, plate25_C2_annotation_DAKCFMEO_02258, plate25_C2_annotation_DAKCFMEO_02965, plate25_C2_annotation_DAKCFMEO_00448
