"p25_DAK","DC3000","Orthogroup_Match"
"DAKCFMEO_04878","WP_003317208.1",TRUE
"DAKCFMEO_03086","WP_003317528.1",TRUE
"DAKCFMEO_03084","WP_003317531.1",TRUE
"DAKCFMEO_03082","WP_003317532.1",TRUE
"DAKCFMEO_03081","WP_003317533.1",TRUE
"DAKCFMEO_01994","WP_003318100.1",TRUE
"DAKCFMEO_03404","WP_003318204.1",TRUE
"DAKCFMEO_01574","WP_003340324.1",TRUE
"DAKCFMEO_00537","WP_003344603.1",TRUE
"DAKCFMEO_00752","WP_003346101.1",TRUE
"DAKCFMEO_00304","WP_003363851.1",TRUE
"DAKCFMEO_02749","WP_003365425.1",TRUE
"DAKCFMEO_00812","WP_003367017.1",TRUE
"DAKCFMEO_04778","WP_003368676.1",TRUE
"DAKCFMEO_04732","WP_003373184.1",TRUE
"DAKCFMEO_02343","WP_003373273.1",TRUE
"DAKCFMEO_02334","WP_003373291.1",TRUE
"DAKCFMEO_02331","WP_003373297.1",TRUE
"DAKCFMEO_00755","WP_003373331.1",TRUE
"DAKCFMEO_00759","WP_003373338.1",TRUE
"DAKCFMEO_00760","WP_003373339.1",TRUE
"DAKCFMEO_02144","WP_003373363.1",TRUE
"DAKCFMEO_04035","WP_003373489.1",TRUE
"DAKCFMEO_01469","WP_003375709.1",TRUE
"DAKCFMEO_01470","WP_003375712.1",TRUE
"DAKCFMEO_01472","WP_003375716.1",TRUE
"DAKCFMEO_03011","WP_003375846.1",TRUE
"DAKCFMEO_03010","WP_003375849.1",TRUE
"DAKCFMEO_03005","WP_003375857.1",TRUE
"DAKCFMEO_03001","WP_003375863.1",TRUE
"DAKCFMEO_02985","WP_003375894.1",TRUE
"DAKCFMEO_02984","WP_003375897.1",TRUE
"DAKCFMEO_02979","WP_003375907.1",TRUE
"DAKCFMEO_02973","WP_003375919.1",TRUE
"DAKCFMEO_02967","WP_003375928.1",TRUE
"DAKCFMEO_03302","WP_003375972.1",TRUE
"DAKCFMEO_02729","WP_003376021.1",TRUE
"DAKCFMEO_02735","WP_003376036.1",TRUE
"DAKCFMEO_02742","WP_003376052.1",TRUE
"DAKCFMEO_04526","WP_003376124.1",TRUE
"DAKCFMEO_04485","WP_003376162.1",TRUE
"DAKCFMEO_04379","WP_003376205.1",TRUE
"DAKCFMEO_04367","WP_003376227.1",TRUE
"DAKCFMEO_04343","WP_003376264.1",TRUE
"DAKCFMEO_04342","WP_003376266.1",TRUE
"DAKCFMEO_04318","WP_003376303.1",TRUE
"DAKCFMEO_04864","WP_003376366.1",TRUE
"DAKCFMEO_04858","WP_003376376.1",TRUE
"DAKCFMEO_04852","WP_003376387.1",TRUE
"DAKCFMEO_04845","WP_003376398.1",TRUE
"DAKCFMEO_04834","WP_003376420.1",TRUE
"DAKCFMEO_03610","WP_003376558.1",TRUE
"DAKCFMEO_03615","WP_003376569.1",TRUE
"DAKCFMEO_04813","WP_003376591.1",TRUE
"DAKCFMEO_04812","WP_003376593.1",TRUE
"DAKCFMEO_04804","WP_003376603.1",TRUE
"DAKCFMEO_04802","WP_003376607.1",TRUE
"DAKCFMEO_04799","WP_003376614.1",TRUE
"DAKCFMEO_03960","WP_003376691.1",TRUE
"DAKCFMEO_03973","WP_003376717.1",TRUE
"DAKCFMEO_00828","WP_003376859.1",TRUE
"DAKCFMEO_03824","WP_003376912.1",TRUE
"DAKCFMEO_00893","WP_003376950.1",TRUE
"DAKCFMEO_01045","WP_003376994.1",TRUE
"DAKCFMEO_01053","WP_003377005.1",TRUE
"DAKCFMEO_04914","WP_003377107.1",TRUE
"DAKCFMEO_04924","WP_003377111.1",TRUE
"DAKCFMEO_04925","WP_003377112.1",TRUE
"DAKCFMEO_04935","WP_003377120.1",TRUE
"DAKCFMEO_04945","WP_003377131.1",TRUE
"DAKCFMEO_04956","WP_003377141.1",TRUE
"DAKCFMEO_05001","WP_003377196.1",TRUE
"DAKCFMEO_05003","WP_003377199.1",TRUE
"DAKCFMEO_05006","WP_003377205.1",TRUE
"DAKCFMEO_05012","WP_003377212.1",TRUE
"DAKCFMEO_05015","WP_003377215.1",TRUE
"DAKCFMEO_05017","WP_003377217.1",TRUE
"DAKCFMEO_02046","WP_003377258.1",TRUE
"DAKCFMEO_02845","WP_003377314.1",TRUE
"DAKCFMEO_02802","WP_003377457.1",TRUE
"DAKCFMEO_01713","WP_003377470.1",TRUE
"DAKCFMEO_01706","WP_003377471.1",TRUE
"DAKCFMEO_01699","WP_003377479.1",TRUE
"DAKCFMEO_01697","WP_003377482.1",TRUE
"DAKCFMEO_01692","WP_003377487.1",TRUE
"DAKCFMEO_01682","WP_003377503.1",TRUE
"DAKCFMEO_01681","WP_003377505.1",TRUE
"DAKCFMEO_01678","WP_003377508.1",TRUE
"DAKCFMEO_00461","WP_003377527.1",TRUE
"DAKCFMEO_00459","WP_003377531.1",TRUE
"DAKCFMEO_00455","WP_003377535.1",TRUE
"DAKCFMEO_00447","WP_003377548.1",TRUE
"DAKCFMEO_00446","WP_003377550.1",TRUE
"DAKCFMEO_00444","WP_003377554.1",TRUE
"DAKCFMEO_00443","WP_003377556.1",TRUE
"DAKCFMEO_00435","WP_003377572.1",TRUE
"DAKCFMEO_00432","WP_003377577.1",TRUE
"DAKCFMEO_00427","WP_003377590.1",TRUE
"DAKCFMEO_00426","WP_003377592.1",TRUE
"DAKCFMEO_00421","WP_003377598.1",TRUE
"DAKCFMEO_00417","WP_003377605.1",TRUE
"DAKCFMEO_00411","WP_003377610.1",TRUE
"DAKCFMEO_00392","WP_003377649.1",TRUE
"DAKCFMEO_00390","WP_003377651.1",TRUE
"DAKCFMEO_00389","WP_003377653.1",TRUE
"DAKCFMEO_03264","WP_003377687.1",TRUE
"DAKCFMEO_03251","WP_003377703.1",TRUE
"DAKCFMEO_03245","WP_003377717.1",TRUE
"DAKCFMEO_03205","WP_003377783.1",TRUE
"DAKCFMEO_03204","WP_003377785.1",TRUE
"DAKCFMEO_03867","WP_003377787.1",TRUE
"DAKCFMEO_03188","WP_003377815.1",TRUE
"DAKCFMEO_03183","WP_003377825.1",TRUE
"DAKCFMEO_03181","WP_003377829.1",TRUE
"DAKCFMEO_03180","WP_003377831.1",TRUE
"DAKCFMEO_03178","WP_003377835.1",TRUE
"DAKCFMEO_03176","WP_003377838.1",TRUE
"DAKCFMEO_01266","WP_003377871.1",TRUE
"DAKCFMEO_01261","WP_003377879.1",TRUE
"DAKCFMEO_01257","WP_003377883.1",TRUE
"DAKCFMEO_01256","WP_003377884.1",TRUE
"DAKCFMEO_01255","WP_003377885.1",TRUE
"DAKCFMEO_01253","WP_003377888.1",TRUE
"DAKCFMEO_01249","WP_003377895.1",TRUE
"DAKCFMEO_01247","WP_003377898.1",TRUE
"DAKCFMEO_01997","WP_003377907.1",TRUE
"DAKCFMEO_01834","WP_003377974.1",TRUE
"DAKCFMEO_01838","WP_003377979.1",TRUE
"DAKCFMEO_01874","WP_003378039.1",TRUE
"DAKCFMEO_04673","WP_003378068.1",TRUE
"DAKCFMEO_04669","WP_003378076.1",TRUE
"DAKCFMEO_04646","WP_003378111.1",TRUE
"DAKCFMEO_04645","WP_003378113.1",TRUE
"DAKCFMEO_04562","WP_003378210.1",TRUE
"DAKCFMEO_04559","WP_003378216.1",TRUE
"DAKCFMEO_04556","WP_003378219.1",TRUE
"DAKCFMEO_01226","WP_003378280.1",TRUE
"DAKCFMEO_01200","WP_003378325.1",TRUE
"DAKCFMEO_01552","WP_003378342.1",TRUE
"DAKCFMEO_01576","WP_003378385.1",TRUE
"DAKCFMEO_01579","WP_003378389.1",TRUE
"DAKCFMEO_01585","WP_003378397.1",TRUE
"DAKCFMEO_00217","WP_003378472.1",TRUE
"DAKCFMEO_00226","WP_003378493.1",TRUE
"DAKCFMEO_00229","WP_003378499.1",TRUE
"DAKCFMEO_00238","WP_003378513.1",TRUE
"DAKCFMEO_02628","WP_003378608.1",TRUE
"DAKCFMEO_02627","WP_003378609.1",TRUE
"DAKCFMEO_02624","WP_003378612.1",TRUE
"DAKCFMEO_02616","WP_003378621.1",TRUE
"DAKCFMEO_02606","WP_003378637.1",TRUE
"DAKCFMEO_02605","WP_003378639.1",TRUE
"DAKCFMEO_02604","WP_003378641.1",TRUE
"DAKCFMEO_02589","WP_003378666.1",TRUE
"DAKCFMEO_02587","WP_003378668.1",TRUE
"DAKCFMEO_02552","WP_003378725.1",TRUE
"DAKCFMEO_02548","WP_003378730.1",TRUE
"DAKCFMEO_02547","WP_003378731.1",TRUE
"DAKCFMEO_02538","WP_003378749.1",TRUE
"DAKCFMEO_02537","WP_003378750.1",TRUE
"DAKCFMEO_02129","WP_003378759.1",TRUE
"DAKCFMEO_02128","WP_003378760.1",TRUE
"DAKCFMEO_02116","WP_003378783.1",TRUE
"DAKCFMEO_05106","WP_003378849.1",TRUE
"DAKCFMEO_05057","WP_003378855.1",TRUE
"DAKCFMEO_05059","WP_003378857.1",TRUE
"DAKCFMEO_05063","WP_003378861.1",TRUE
"DAKCFMEO_05074","WP_003378882.1",TRUE
"DAKCFMEO_05075","WP_003378884.1",TRUE
"DAKCFMEO_05080","WP_003378893.1",TRUE
"DAKCFMEO_02300","WP_003378929.1",TRUE
"DAKCFMEO_03129","WP_003378990.1",TRUE
"DAKCFMEO_03032","WP_003379024.1",TRUE
"DAKCFMEO_03031","WP_003379025.1",TRUE
"DAKCFMEO_03028","WP_003379028.1",TRUE
"DAKCFMEO_04165","WP_003379038.1",TRUE
"DAKCFMEO_03591","WP_003379089.1",TRUE
"DAKCFMEO_03577","WP_003379121.1",TRUE
"DAKCFMEO_03573","WP_003379129.1",TRUE
"DAKCFMEO_03566","WP_003379141.1",TRUE
"DAKCFMEO_03565","WP_003379143.1",TRUE
"DAKCFMEO_03563","WP_003379146.1",TRUE
"DAKCFMEO_03407","WP_003379241.1",TRUE
"DAKCFMEO_03387","WP_003379266.1",TRUE
"DAKCFMEO_03380","WP_003379278.1",TRUE
"DAKCFMEO_02787","WP_003379302.1",TRUE
"DAKCFMEO_02223","WP_003379415.1",TRUE
"DAKCFMEO_02226","WP_003379418.1",TRUE
"DAKCFMEO_01296","WP_003379468.1",TRUE
"DAKCFMEO_03925","WP_003379548.1",TRUE
"DAKCFMEO_01792","WP_003379656.1",TRUE
"DAKCFMEO_00548","WP_003379718.1",TRUE
"DAKCFMEO_00551","WP_003379721.1",TRUE
"DAKCFMEO_00658","WP_003379759.1",TRUE
"DAKCFMEO_00705","WP_003379830.1",TRUE
"DAKCFMEO_05028","WP_003379873.1",TRUE
"DAKCFMEO_05024","WP_003379876.1",TRUE
"DAKCFMEO_02958","WP_003379921.1",TRUE
"DAKCFMEO_02962","WP_003379926.1",TRUE
"DAKCFMEO_04969","WP_003379931.1",TRUE
"DAKCFMEO_04964","WP_003379947.1",TRUE
"DAKCFMEO_02091","WP_003380009.1",TRUE
"DAKCFMEO_02212","WP_003380033.1",TRUE
"DAKCFMEO_01952","WP_003380046.1",TRUE
"DAKCFMEO_01955","WP_003380053.1",TRUE
"DAKCFMEO_01971","WP_003380079.1",TRUE
"DAKCFMEO_01539","WP_003380111.1",TRUE
"DAKCFMEO_01538","WP_003380113.1",TRUE
"DAKCFMEO_01537","WP_003380115.1",TRUE
"DAKCFMEO_01533","WP_003380120.1",TRUE
"DAKCFMEO_01525","WP_003380132.1",TRUE
"DAKCFMEO_01522","WP_003380135.1",TRUE
"DAKCFMEO_01517","WP_003380148.1",TRUE
"DAKCFMEO_02189","WP_003380192.1",TRUE
"DAKCFMEO_05113","WP_003380207.1",TRUE
"DAKCFMEO_01982","WP_003380209.1",TRUE
"DAKCFMEO_01992","WP_003380226.1",TRUE
"DAKCFMEO_01813","WP_003380235.1",TRUE
"DAKCFMEO_05158","WP_003380252.1",TRUE
"DAKCFMEO_05159","WP_003380253.1",TRUE
"DAKCFMEO_03482","WP_003380289.1",TRUE
"DAKCFMEO_03479","WP_003380294.1",TRUE
"DAKCFMEO_03477","WP_003380298.1",TRUE
"DAKCFMEO_03471","WP_003380309.1",TRUE
"DAKCFMEO_01757","WP_003380333.1",TRUE
"DAKCFMEO_01749","WP_003380356.1",TRUE
"DAKCFMEO_04096","WP_003380430.1",TRUE
"DAKCFMEO_04095","WP_003380432.1",TRUE
"DAKCFMEO_04087","WP_003380444.1",TRUE
"DAKCFMEO_04083","WP_003380449.1",TRUE
"DAKCFMEO_04080","WP_003380455.1",TRUE
"DAKCFMEO_01018","WP_003380539.1",TRUE
"DAKCFMEO_01030","WP_003380560.1",TRUE
"DAKCFMEO_03333","WP_003380592.1",TRUE
"DAKCFMEO_03335","WP_003380594.1",TRUE
"DAKCFMEO_03338","WP_003380601.1",TRUE
"DAKCFMEO_03340","WP_003380603.1",TRUE
"DAKCFMEO_03341","WP_003380604.1",TRUE
"DAKCFMEO_03350","WP_003380613.1",TRUE
"DAKCFMEO_03354","WP_003380618.1",TRUE
"DAKCFMEO_03359","WP_003380623.1",TRUE
"DAKCFMEO_03365","WP_003380633.1",TRUE
"DAKCFMEO_04908","WP_003380690.1",TRUE
"DAKCFMEO_04899","WP_003380698.1",TRUE
"DAKCFMEO_04896","WP_003380701.1",TRUE
"DAKCFMEO_04877","WP_003380723.1",TRUE
"DAKCFMEO_04713","WP_003380836.1",TRUE
"DAKCFMEO_04704","WP_003380850.1",TRUE
"DAKCFMEO_04703","WP_003380853.1",TRUE
"DAKCFMEO_04677","WP_003380890.1",TRUE
"DAKCFMEO_00315","WP_003380907.1",TRUE
"DAKCFMEO_00348","WP_003380941.1",TRUE
"DAKCFMEO_00367","WP_003380966.1",TRUE
"DAKCFMEO_00380","WP_003380977.1",TRUE
"DAKCFMEO_04223","WP_003381003.1",TRUE
"DAKCFMEO_04205","WP_003381023.1",TRUE
"DAKCFMEO_04269","WP_003381064.1",TRUE
"DAKCFMEO_04255","WP_003381088.1",TRUE
"DAKCFMEO_04249","WP_003381096.1",TRUE
"DAKCFMEO_04236","WP_003381112.1",TRUE
"DAKCFMEO_01433","WP_003381155.1",TRUE
"DAKCFMEO_01444","WP_003381177.1",TRUE
"DAKCFMEO_00506","WP_003381207.1",TRUE
"DAKCFMEO_00508","WP_003381213.1",TRUE
"DAKCFMEO_02886","WP_003381223.1",TRUE
"DAKCFMEO_00519","WP_003381266.1",TRUE
"DAKCFMEO_00532","WP_003381292.1",TRUE
"DAKCFMEO_00539","WP_003381304.1",TRUE
"DAKCFMEO_00542","WP_003381306.1",TRUE
"DAKCFMEO_00543","WP_003381308.1",TRUE
"DAKCFMEO_05130","WP_003381368.1",TRUE
"DAKCFMEO_05094","WP_003381390.1",TRUE
"DAKCFMEO_00096","WP_003381481.1",TRUE
"DAKCFMEO_00098","WP_003381484.1",TRUE
"DAKCFMEO_00102","WP_003381486.1",TRUE
"DAKCFMEO_00105","WP_003381490.1",TRUE
"DAKCFMEO_00113","WP_003381499.1",TRUE
"DAKCFMEO_00115","WP_003381502.1",TRUE
"DAKCFMEO_00129","WP_003381514.1",TRUE
"DAKCFMEO_00135","WP_003381525.1",TRUE
"DAKCFMEO_00143","WP_003381535.1",TRUE
"DAKCFMEO_02243","WP_003381559.1",TRUE
"DAKCFMEO_02252","WP_003381567.1",TRUE
"DAKCFMEO_02265","WP_003381582.1",TRUE
"DAKCFMEO_02266","WP_003381583.1",TRUE
"DAKCFMEO_02268","WP_003381585.1",TRUE
"DAKCFMEO_02271","WP_003381589.1",TRUE
"DAKCFMEO_00298","WP_003381628.1",TRUE
"DAKCFMEO_00285","WP_003381648.1",TRUE
"DAKCFMEO_00274","WP_003381663.1",TRUE
"DAKCFMEO_00568","WP_003381744.1",TRUE
"DAKCFMEO_01369","WP_003381839.1",TRUE
"DAKCFMEO_01356","WP_003381855.1",TRUE
"DAKCFMEO_00649","WP_003382001.1",TRUE
"DAKCFMEO_00646","WP_003382004.1",TRUE
"DAKCFMEO_00644","WP_003382006.1",TRUE
"DAKCFMEO_00638","WP_003382014.1",TRUE
"DAKCFMEO_05167","WP_003382072.1",TRUE
"DAKCFMEO_05169","WP_003382074.1",TRUE
"DAKCFMEO_05177","WP_003382082.1",TRUE
"DAKCFMEO_05179","WP_003382085.1",TRUE
"DAKCFMEO_02020","WP_003382103.1",TRUE
"DAKCFMEO_02018","WP_003382104.1",TRUE
"DAKCFMEO_02521","WP_003382140.1",TRUE
"DAKCFMEO_02523","WP_003382141.1",TRUE
"DAKCFMEO_02526","WP_003382144.1",TRUE
"DAKCFMEO_01665","WP_003382274.1",TRUE
"DAKCFMEO_02013","WP_003382315.1",TRUE
"DAKCFMEO_02918","WP_003382340.1",TRUE
"DAKCFMEO_02150","WP_003382360.1",TRUE
"DAKCFMEO_02152","WP_003382364.1",TRUE
"DAKCFMEO_02162","WP_003382372.1",TRUE
"DAKCFMEO_02164","WP_003382373.1",TRUE
"DAKCFMEO_02168","WP_003382379.1",TRUE
"DAKCFMEO_00818","WP_003382396.1",TRUE
"DAKCFMEO_00815","WP_003382398.1",TRUE
"DAKCFMEO_00798","WP_003382419.1",TRUE
"DAKCFMEO_00739","WP_003382460.1",TRUE
"DAKCFMEO_00736","WP_003382465.1",TRUE
"DAKCFMEO_00735","WP_003382467.1",TRUE
"DAKCFMEO_00731","WP_003382474.1",TRUE
"DAKCFMEO_00719","WP_003382487.1",TRUE
"DAKCFMEO_00714","WP_003382491.1",TRUE
"DAKCFMEO_00713","WP_003382493.1",TRUE
"DAKCFMEO_00051","WP_003382526.1",TRUE
"DAKCFMEO_00044","WP_003382533.1",TRUE
"DAKCFMEO_03791","WP_003382657.1",TRUE
"DAKCFMEO_02502","WP_003382687.1",TRUE
"DAKCFMEO_02488","WP_003382703.1",TRUE
"DAKCFMEO_04192","WP_003382726.1",TRUE
"DAKCFMEO_04182","WP_003382736.1",TRUE
"DAKCFMEO_01111","WP_003382778.1",TRUE
"DAKCFMEO_01191","WP_003382829.1",TRUE
"DAKCFMEO_01182","WP_003382842.1",TRUE
"DAKCFMEO_01170","WP_003382856.1",TRUE
"DAKCFMEO_01168","WP_003382858.1",TRUE
"DAKCFMEO_04298","WP_003382929.1",TRUE
"DAKCFMEO_04290","WP_003382943.1",TRUE
"DAKCFMEO_04287","WP_003382947.1",TRUE
"DAKCFMEO_02665","WP_003382959.1",TRUE
"DAKCFMEO_02666","WP_003382960.1",TRUE
"DAKCFMEO_01723","WP_003382970.1",TRUE
"DAKCFMEO_02679","WP_003382984.1",TRUE
"DAKCFMEO_04540","WP_003383046.1",TRUE
"DAKCFMEO_02658","WP_003383085.1",TRUE
"DAKCFMEO_02655","WP_003383089.1",TRUE
"DAKCFMEO_01605","WP_003383123.1",TRUE
"DAKCFMEO_01602","WP_003383126.1",TRUE
"DAKCFMEO_01598","WP_003383132.1",TRUE
"DAKCFMEO_01596","WP_003383136.1",TRUE
"DAKCFMEO_01592","WP_003383141.1",TRUE
"DAKCFMEO_01590","WP_003383143.1",TRUE
"DAKCFMEO_05111","WP_003383161.1",TRUE
"DAKCFMEO_03707","WP_003383172.1",TRUE
"DAKCFMEO_00497","WP_003383227.1",TRUE
"DAKCFMEO_00486","WP_003383242.1",TRUE
"DAKCFMEO_00485","WP_003383243.1",TRUE
"DAKCFMEO_00484","WP_003383244.1",TRUE
"DAKCFMEO_05230","WP_003383265.1",TRUE
"DAKCFMEO_04144","WP_003383332.1",TRUE
"DAKCFMEO_02905","WP_003383369.1",TRUE
"DAKCFMEO_01321","WP_003383427.1",TRUE
"DAKCFMEO_01328","WP_003383453.1",TRUE
"DAKCFMEO_04759","WP_003395104.1",TRUE
"DAKCFMEO_00317","WP_003395253.1",TRUE
"DAKCFMEO_04779","WP_003400010.1",TRUE
"DAKCFMEO_01515","WP_003405083.1",TRUE
"DAKCFMEO_01536","WP_003411662.1",TRUE
"DAKCFMEO_02546","WP_003412391.1",TRUE
"DAKCFMEO_03319","WP_003413692.1",TRUE
"DAKCFMEO_04887","WP_003422343.1",TRUE
"DAKCFMEO_03080","WP_003425054.1",TRUE
"DAKCFMEO_03087","WP_003425065.1",TRUE
"DAKCFMEO_00048","WP_003425462.1",TRUE
"DAKCFMEO_03537","WP_003426596.1",TRUE
"DAKCFMEO_03761","WP_004396234.1",TRUE
"DAKCFMEO_03734","WP_004396268.1",TRUE
"DAKCFMEO_03710","WP_004396332.1",TRUE
"DAKCFMEO_00160","WP_004396490.1",TRUE
"DAKCFMEO_00166","WP_004396504.1",TRUE
"DAKCFMEO_00168","WP_004396514.1",TRUE
