,Time in tree,Genetic_Diversity,Num_gene_events,GC_content
DAKCFMEO_02366,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_04965,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_02754,7.652399999999999,0.067,0.0,NULL
DAKCFMEO_02296,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_02859,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_01248,7.652399999999999,0.012,0.0,NULL
DAKCFMEO_01250,7.652399999999999,0.012,0.0,NULL
DAKCFMEO_02841,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_02309,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_03667,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_04358,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_04766,7.652399999999999,0.102,0.0,NULL
DAKCFMEO_02360,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_00774,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_04789,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_02158,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_02547,7.652399999999999,0.024,0.0,NULL
DAKCFMEO_04270,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_00296,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_02262,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_01836,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_02939,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_03397,7.652399999999999,0.062,0.0,NULL
DAKCFMEO_02585,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_01967,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_04333,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_04776,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_00226,7.652399999999999,0.021,0.0,NULL
DAKCFMEO_02394,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_02581,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_05112,7.652399999999999,0.026,0.0,NULL
DAKCFMEO_00222,7.652399999999999,0.029,0.0,NULL
DAKCFMEO_00689,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_03373,7.652399999999999,0.072,0.0,NULL
DAKCFMEO_03589,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_03336,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_03332,7.652399999999999,0.029,0.0,NULL
DAKCFMEO_00540,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_00727,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_04100,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_02921,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_02118,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_02994,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_00716,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_01581,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_00575,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00620,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_01297,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_04510,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_01553,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_00789,7.652399999999999,0.065,0.0,NULL
DAKCFMEO_00250,7.652399999999999,0.075,0.0,NULL
DAKCFMEO_04803,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_03825,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_04783,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_04978,7.652399999999999,0.034,0.0,NULL
DAKCFMEO_01427,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_01957,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_03607,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_03614,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_03007,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_03263,7.652399999999999,0.022,0.0,NULL
DAKCFMEO_03479,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_01254,7.652399999999999,0.027,0.0,NULL
DAKCFMEO_01609,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_01606,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_00218,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_00340,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_03692,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_04306,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_04258,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_04288,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_04186,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_03665,7.652399999999999,0.069,0.0,NULL
DAKCFMEO_04208,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_02986,7.652399999999999,0.071,0.0,NULL
DAKCFMEO_00626,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_02089,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_02088,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_04624,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_02085,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_04993,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_03736,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_02993,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_03231,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_02553,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_01431,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_02244,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_02543,7.652399999999999,0.073,0.0,NULL
DAKCFMEO_05077,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_04312,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_03234,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_04684,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_00925,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_04371,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_03721,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00166,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_04259,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_03584,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_01854,7.652399999999999,0.062,0.0,NULL
DAKCFMEO_00103,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_02753,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_04188,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_02785,7.652399999999999,0.072,0.0,NULL
DAKCFMEO_02777,7.652399999999999,0.08,0.0,NULL
DAKCFMEO_01605,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_04555,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_02178,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_00341,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_00518,7.652399999999999,0.071,0.0,NULL
DAKCFMEO_02254,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_01955,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_00304,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_02914,7.652399999999999,0.031,0.0,NULL
DAKCFMEO_02959,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_02157,7.652399999999999,0.026,0.0,NULL
DAKCFMEO_02161,7.652399999999999,0.038,0.0,NULL
DAKCFMEO_02405,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_02341,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_02812,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_02165,7.652399999999999,0.031,0.0,NULL
DAKCFMEO_03707,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_01860,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_05126,7.652399999999999,0.038,0.0,NULL
DAKCFMEO_04874,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_01116,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_01833,7.652399999999999,0.071,0.0,NULL
DAKCFMEO_01919,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_00595,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_01921,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_05039,7.652399999999999,0.066,0.0,NULL
DAKCFMEO_00505,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00306,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_04351,7.652399999999999,0.024,0.0,NULL
DAKCFMEO_03527,7.652399999999999,0.012,0.0,NULL
DAKCFMEO_04716,7.652399999999999,0.078,0.0,NULL
DAKCFMEO_02194,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_04123,7.652399999999999,0.071,0.0,NULL
DAKCFMEO_00198,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_01369,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_00405,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_00416,7.652399999999999,0.01,0.0,NULL
DAKCFMEO_01266,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_01296,7.652399999999999,0.027,0.0,NULL
DAKCFMEO_01264,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_01265,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_00391,7.652399999999999,0.021,0.0,NULL
DAKCFMEO_00399,7.652399999999999,0.031,0.0,NULL
DAKCFMEO_00380,7.652399999999999,0.03,0.0,NULL
DAKCFMEO_01246,7.652399999999999,0.019,0.0,NULL
DAKCFMEO_00342,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_02481,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_03168,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_02870,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_00799,7.652399999999999,0.067,0.0,NULL
DAKCFMEO_04547,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_01428,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_04708,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_03650,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_05255,7.652399999999999,0.064,0.0,NULL
DAKCFMEO_03594,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_03600,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_01618,7.652399999999999,0.066,0.0,NULL
DAKCFMEO_03571,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_01563,7.652399999999999,0.074,0.0,NULL
DAKCFMEO_02110,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_04370,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_01611,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_04285,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_02719,7.652399999999999,0.069,0.0,NULL
DAKCFMEO_03563,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00546,7.652399999999999,0.034,0.0,NULL
DAKCFMEO_04131,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_03497,7.652399999999999,0.022,0.0,NULL
DAKCFMEO_00587,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_00771,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_05060,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_04882,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_00720,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_04878,7.652399999999999,0.012,0.0,NULL
DAKCFMEO_04083,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_00543,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_01769,7.652399999999999,0.072,0.0,NULL
DAKCFMEO_04949,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_04626,7.652399999999999,0.064,0.0,NULL
DAKCFMEO_04546,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_02632,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_02630,7.652399999999999,0.067,0.0,NULL
DAKCFMEO_04927,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_02247,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_00802,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_03130,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_04091,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_02654,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_05111,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_03432,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_04705,7.652399999999999,0.071,0.0,NULL
DAKCFMEO_02961,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00481,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_01252,7.652399999999999,0.006,0.0,NULL
DAKCFMEO_01253,7.652399999999999,0.021,0.0,NULL
DAKCFMEO_04241,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_01258,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_01259,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00385,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_04379,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_03704,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00143,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_00159,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_00216,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_00214,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_00539,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00541,7.652399999999999,0.01,0.0,NULL
DAKCFMEO_00563,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_00337,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_05131,7.652399999999999,0.053,0.0,NULL
DAKCFMEO_02720,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_02933,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_02985,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_04030,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_04366,7.652399999999999,0.068,0.0,NULL
DAKCFMEO_04280,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_01944,7.652399999999999,0.062,0.0,NULL
DAKCFMEO_04568,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_05227,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_02664,7.652399999999999,0.079,0.0,NULL
DAKCFMEO_01988,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_01845,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_01667,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_00439,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_00438,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_00435,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_00464,7.652399999999999,0.027,0.0,NULL
DAKCFMEO_00392,7.652399999999999,0.03,0.0,NULL
DAKCFMEO_00456,7.652399999999999,0.038,0.0,NULL
DAKCFMEO_00446,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_01683,7.652399999999999,0.022,0.0,NULL
DAKCFMEO_00236,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_01529,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_04239,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_03703,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_05036,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_05025,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_05083,7.652399999999999,0.065,0.0,NULL
DAKCFMEO_05045,7.652399999999999,0.062,0.0,NULL
DAKCFMEO_05055,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_00109,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_02295,7.652399999999999,0.081,0.0,NULL
DAKCFMEO_02863,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_00402,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_01566,7.652399999999999,0.069,0.0,NULL
DAKCFMEO_02829,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_01569,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_04948,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_04943,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_04909,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_00298,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_01663,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00767,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_01812,7.652399999999999,0.069,0.0,NULL
DAKCFMEO_01512,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_04503,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_04914,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_01267,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_01856,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_04845,7.652399999999999,0.042,0.0,NULL
DAKCFMEO_02655,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_03199,7.652399999999999,0.015,0.0,NULL
DAKCFMEO_03250,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_01610,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_02229,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_05044,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_05023,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_05094,7.652399999999999,0.031,0.0,NULL
DAKCFMEO_05079,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_05104,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_05098,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_05162,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_05017,7.652399999999999,0.038,0.0,NULL
DAKCFMEO_04770,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_00088,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_04895,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_05200,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_02509,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_00645,7.652399999999999,0.033,0.0,NULL
DAKCFMEO_02191,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_04767,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_05149,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_00654,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_02808,7.652399999999999,0.039,0.0,NULL
DAKCFMEO_02980,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_02848,7.652399999999999,0.066,0.0,NULL
DAKCFMEO_02862,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_01858,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_01999,7.652399999999999,0.03,0.0,NULL
DAKCFMEO_04640,7.652399999999999,0.07,0.0,NULL
DAKCFMEO_04681,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_04985,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_02590,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_03202,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_00520,7.652399999999999,0.034,0.0,NULL
DAKCFMEO_03604,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_03676,7.652399999999999,0.034,0.0,NULL
DAKCFMEO_04328,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_03125,7.652399999999999,0.032,0.0,NULL
DAKCFMEO_03164,7.652399999999999,0.03,0.0,NULL
DAKCFMEO_03636,7.652399999999999,0.031,0.0,NULL
DAKCFMEO_02090,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00098,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_00099,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_04342,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_05217,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_00089,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_00110,7.652399999999999,0.066,0.0,NULL
DAKCFMEO_00106,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_00105,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_01255,7.652399999999999,0.04,0.0,NULL
DAKCFMEO_01355,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_02103,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_02784,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_04492,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_02283,7.652399999999999,0.058,0.0,NULL
DAKCFMEO_04994,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_00379,7.652399999999999,0.083,0.0,NULL
DAKCFMEO_04790,7.652399999999999,0.08,0.0,NULL
DAKCFMEO_02562,7.652399999999999,0.066,0.0,NULL
DAKCFMEO_05020,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_02951,7.652399999999999,0.075,0.0,NULL
DAKCFMEO_03379,7.652399999999999,0.041,0.0,NULL
DAKCFMEO_05253,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_04173,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_00396,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_00398,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_00407,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_00411,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_00420,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_00421,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00813,7.652399999999999,0.009,0.0,NULL
DAKCFMEO_00818,7.652399999999999,0.043,0.0,NULL
DAKCFMEO_00650,7.652399999999999,0.015,0.0,NULL
DAKCFMEO_00646,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_00449,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_00437,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_02323,7.652399999999999,0.059,0.0,NULL
DAKCFMEO_04934,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_01492,7.652399999999999,0.063,0.0,NULL
DAKCFMEO_03147,7.652399999999999,0.052,0.0,NULL
DAKCFMEO_04651,7.652399999999999,0.067,0.0,NULL
DAKCFMEO_02298,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_01301,7.652399999999999,0.05,0.0,NULL
DAKCFMEO_01300,7.652399999999999,0.045,0.0,NULL
DAKCFMEO_01555,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_02216,7.652399999999999,0.046,0.0,NULL
DAKCFMEO_00730,7.652399999999999,0.056,0.0,NULL
DAKCFMEO_01725,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_01306,7.652399999999999,0.051,0.0,NULL
DAKCFMEO_00600,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_01923,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_02378,7.652399999999999,0.055,0.0,NULL
DAKCFMEO_05009,7.652399999999999,0.054,0.0,NULL
DAKCFMEO_01968,7.652399999999999,0.072,0.0,NULL
DAKCFMEO_02657,7.652399999999999,0.042,0.0,NULL
DAKCFMEO_04494,7.652399999999999,0.037,0.0,NULL
DAKCFMEO_01307,7.652399999999999,0.067,0.0,NULL
DAKCFMEO_03682,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_01679,7.652399999999999,0.012,0.0,NULL
DAKCFMEO_00445,7.652399999999999,0.049,0.0,NULL
DAKCFMEO_00440,7.652399999999999,0.047,0.0,NULL
DAKCFMEO_00422,7.652399999999999,0.035,0.0,NULL
DAKCFMEO_00389,7.652399999999999,0.061,0.0,NULL
DAKCFMEO_01828,7.652399999999999,0.048,0.0,NULL
DAKCFMEO_04890,7.652399999999999,0.036,0.0,NULL
DAKCFMEO_04497,7.652399999999999,0.057,0.0,NULL
DAKCFMEO_00394,7.652399999999999,0.044,0.0,NULL
DAKCFMEO_03237,7.652399999999999,0.025,0.0,NULL
DAKCFMEO_03292,7.652399999999999,0.06,0.0,NULL
DAKCFMEO_04338,7.652399999999999,0.065,0.0,NULL
