Orthogroup	DC3000_protein_12_2025	plate25.C2.annotation
OG0000049	WP_005739846.1	DAKCFMEO_02036
OG0000050	WP_005762712.1	DAKCFMEO_01091
OG0000050	WP_011105103.1	DAKCFMEO_03862, DAKCFMEO_04391, DAKCFMEO_00573
OG0000051	WP_046463879.1	DAKCFMEO_04210
OG0000051	WP_011105419.1, WP_005763678.1, WP_161797791.1	DAKCFMEO_04829
OG0000052	WP_005764441.1	DAKCFMEO_04029
OG0000052	WP_011104693.1	DAKCFMEO_04357
OG0000052	WP_011103059.1	DAKCFMEO_02035
OG0000053	WP_011104485.1	DAKCFMEO_01436
OG0000053	WP_005765592.1	DAKCFMEO_03217, DAKCFMEO_00969, DAKCFMEO_05143
OG0000054	WP_005766129.1	DAKCFMEO_04385
OG0000054	WP_011104367.1	DAKCFMEO_03866, DAKCFMEO_04072, DAKCFMEO_03108
OG0000055	WP_011104187.1, WP_005766150.1, WP_011104269.1, WP_011104270.1, WP_011104116.1	DAKCFMEO_03762
OG0000056	WP_005768984.1	DAKCFMEO_03884
OG0000056	WP_044392584.1	DAKCFMEO_02040
OG0000056	WP_010203861.1	DAKCFMEO_00897
OG0000058	WP_011104556.1	DAKCFMEO_04753
OG0000058	WP_005771029.1	DAKCFMEO_03339
OG0000058	WP_046463853.1	DAKCFMEO_02044
OG0000060	WP_007246451.1	DAKCFMEO_03980, DAKCFMEO_02639, DAKCFMEO_03115, DAKCFMEO_00791, DAKCFMEO_04022
OG0000061	WP_011104366.1	DAKCFMEO_02419
OG0000061	WP_007247023.1	DAKCFMEO_04217, DAKCFMEO_03908, DAKCFMEO_00081
OG0000062	WP_011103633.1	DAKCFMEO_00022
OG0000062	WP_011104940.1, WP_011104673.1, WP_011104143.1	DAKCFMEO_01126
OG0000063	WP_024668283.1	DAKCFMEO_03316
OG0000063	WP_011103651.1	DAKCFMEO_01173, DAKCFMEO_01902, DAKCFMEO_00012
OG0000064	WP_011104079.1	DAKCFMEO_01626
OG0000064	WP_046464016.1	DAKCFMEO_05292, DAKCFMEO_05290, DAKCFMEO_01152
OG0000065	WP_046463852.1	DAKCFMEO_02037
OG0000065	WP_011104337.1	DAKCFMEO_04027
OG0000065	WP_011104691.1	DAKCFMEO_04359
OG0000066	WP_002554655.1	DAKCFMEO_03128
OG0000066	WP_007245914.1	DAKCFMEO_04076, DAKCFMEO_00946
OG0000067	WP_005768426.1, WP_005766145.1, WP_003379555.1, WP_011104115.1	DAKCFMEO_01953
OG0000068	WP_003380560.1	DAKCFMEO_01030
OG0000068	WP_007243724.1, WP_011103096.1	DAKCFMEO_01985
OG0000069	WP_003382856.1	DAKCFMEO_01170
OG0000069	WP_005763521.1, WP_011103332.1	DAKCFMEO_02141
OG0000070	WP_005620804.1	DAKCFMEO_04868, DAKCFMEO_03313, DAKCFMEO_02429, DAKCFMEO_04442
OG0000072	WP_011103764.1	DAKCFMEO_02481
OG0000072	WP_011105315.1, WP_005762732.1	DAKCFMEO_04585
OG0000073	WP_007243779.1	DAKCFMEO_00557
OG0000073	WP_052746243.1, WP_005763690.1	DAKCFMEO_02964
OG0000074	WP_005763696.1	DAKCFMEO_04967
OG0000074	WP_005764509.1	DAKCFMEO_04810, DAKCFMEO_00998
OG0000075	WP_005763862.1	DAKCFMEO_01465
OG0000075	WP_005767000.1	DAKCFMEO_01082, DAKCFMEO_02530
OG0000076	WP_007246965.1	DAKCFMEO_04701
OG0000076	WP_005764495.1	DAKCFMEO_03813, DAKCFMEO_04014
OG0000077	WP_005770626.1	DAKCFMEO_04248
OG0000077	WP_005765466.1, WP_011104354.1	DAKCFMEO_00058
OG0000078	WP_005769536.1	DAKCFMEO_01860
OG0000078	WP_005766109.1, WP_007246020.1	DAKCFMEO_01132
OG0000079	WP_011104856.1	DAKCFMEO_00257
OG0000079	WP_005766635.1	DAKCFMEO_02440, DAKCFMEO_02246
OG0000080	WP_046463317.1	DAKCFMEO_00959
OG0000080	WP_005767351.1	DAKCFMEO_02432, DAKCFMEO_01454
OG0000081	WP_005771635.1	DAKCFMEO_05299
OG0000081	WP_005769043.1, WP_005769285.1	DAKCFMEO_04169
OG0000082	WP_024668228.1, WP_007245189.1, WP_005769165.1, WP_005769163.1	DAKCFMEO_00603
OG0000083	WP_005770871.1	DAKCFMEO_00947
OG0000083	WP_161420636.1	DAKCFMEO_04077, DAKCFMEO_03127
OG0000084	WP_011103232.1	DAKCFMEO_03554
OG0000084	WP_011105584.1, WP_005771489.1	DAKCFMEO_01762
OG0000085	WP_044390135.1, WP_005894403.1, WP_046463300.1, WP_161797766.1	DAKCFMEO_02685
OG0000086	WP_007244389.1	DAKCFMEO_02494, DAKCFMEO_04588, DAKCFMEO_04586, DAKCFMEO_02893
OG0000087	WP_007244651.1	DAKCFMEO_03634
OG0000087	WP_011104273.1, WP_011105457.1	DAKCFMEO_04435
OG0000088	WP_007246309.1	DAKCFMEO_04115
OG0000088	WP_011105458.1	DAKCFMEO_00076, DAKCFMEO_04325
OG0000089	WP_011105495.1	DAKCFMEO_01640
OG0000089	WP_007246961.1	DAKCFMEO_01139, DAKCFMEO_00014
OG0000090	WP_011103085.1	DAKCFMEO_02079
OG0000090	WP_011103053.1	DAKCFMEO_03877, DAKCFMEO_02017
OG0000091	WP_011103352.1	DAKCFMEO_02427
OG0000091	WP_011104046.1	DAKCFMEO_04454, DAKCFMEO_01345
OG0000092	WP_011103705.1	DAKCFMEO_02368
OG0000092	WP_044391155.1	DAKCFMEO_01372, DAKCFMEO_01370
OG0000093	WP_046463675.1, WP_046463481.1, WP_011103770.1, WP_011104429.1	DAKCFMEO_00287
OG0000094	WP_011105431.1	DAKCFMEO_05212
OG0000094	WP_011103882.1	DAKCFMEO_04501, DAKCFMEO_02714
OG0000095	WP_011104043.1	DAKCFMEO_01348, DAKCFMEO_04487, DAKCFMEO_03022, DAKCFMEO_02364
OG0000096	WP_011105493.1, WP_011104071.1	DAKCFMEO_05281, DAKCFMEO_01134, DAKCFMEO_01638
OG0000097	WP_011104072.1	DAKCFMEO_01637
OG0000097	WP_011105492.1	DAKCFMEO_05282, DAKCFMEO_01135
OG0000098	WP_046464013.1	DAKCFMEO_01154, DAKCFMEO_05284
OG0000098	WP_011104074.1	DAKCFMEO_01635
OG0000099	WP_011105487.1	DAKCFMEO_05285, DAKCFMEO_01155
OG0000099	WP_011104075.1	DAKCFMEO_01634
OG0000100	WP_011104283.1	DAKCFMEO_03939
OG0000100	WP_011104272.1, WP_011105454.1	DAKCFMEO_04432
OG0000101	WP_011104426.1, WP_011104868.1	DAKCFMEO_04219
OG0000101	WP_011104500.1	DAKCFMEO_01495
OG0000102	WP_011104446.1	DAKCFMEO_00975
OG0000102	WP_166460975.1	DAKCFMEO_00979, DAKCFMEO_00982
OG0000103	WP_046463339.1, WP_024668229.1	DAKCFMEO_04595
OG0000103	WP_011104705.1	DAKCFMEO_00602
OG0000104	WP_057443212.1, WP_011104854.1, WP_046463959.1, WP_046463475.1	DAKCFMEO_02075
OG0000105	WP_011105348.1	DAKCFMEO_02106
OG0000105	WP_011105042.1	DAKCFMEO_01774, DAKCFMEO_00104
OG0000106	WP_046463283.1	DAKCFMEO_04947
OG0000106	WP_011105274.1, WP_011105273.1	DAKCFMEO_04992
OG0000107	WP_011105470.1	DAKCFMEO_05262
OG0000107	WP_057443166.1	DAKCFMEO_04010, DAKCFMEO_01299
OG0000108	WP_046463302.1	DAKCFMEO_01627
OG0000108	WP_011105480.1	DAKCFMEO_05289, DAKCFMEO_01137
OG0000109	WP_046463524.1	DAKCFMEO_01315
OG0000109	WP_044393960.1	DAKCFMEO_02474, DAKCFMEO_02473
OG0000113	WP_003381481.1	DAKCFMEO_00096
OG0000113	WP_002551844.1	DAKCFMEO_04866
OG0000114	WP_011105523.1	DAKCFMEO_01584
OG0000114	WP_002553918.1	DAKCFMEO_01408
OG0000115	WP_011104604.1	DAKCFMEO_04652
OG0000115	WP_003317531.1	DAKCFMEO_03084
OG0000116	WP_005614429.1	DAKCFMEO_03583
OG0000116	WP_003317533.1	DAKCFMEO_03081
OG0000117	WP_003376366.1	DAKCFMEO_04864
OG0000117	WP_003381484.1	DAKCFMEO_00098
OG0000118	WP_011104758.1, WP_005770657.1, WP_003377141.1	DAKCFMEO_04956
OG0000119	WP_005765442.1, WP_011105118.1, WP_003377815.1	DAKCFMEO_03188
OG0000120	WP_005771567.1	DAKCFMEO_02501
OG0000120	WP_003378076.1	DAKCFMEO_04669
OG0000121	WP_003378216.1	DAKCFMEO_04559
OG0000121	WP_005762942.1	DAKCFMEO_04986
OG0000122	WP_011104761.1, WP_007246249.1, WP_003379025.1	DAKCFMEO_03031
OG0000123	WP_003379266.1, WP_046463419.1, WP_005766375.1	DAKCFMEO_03387
OG0000124	WP_003380966.1, WP_011105576.1, WP_005762738.1	DAKCFMEO_00367
OG0000125	WP_003382014.1	DAKCFMEO_00638, DAKCFMEO_00971, DAKCFMEO_02599
OG0000126	WP_003382103.1	DAKCFMEO_02020
OG0000126	WP_161797788.1	DAKCFMEO_02495
OG0000127	WP_011104335.1	DAKCFMEO_04025
OG0000127	WP_003382491.1	DAKCFMEO_00714
OG0000128	WP_003383243.1	DAKCFMEO_00485
OG0000128	WP_003383244.1	DAKCFMEO_00484
OG0000129	WP_011105579.1	DAKCFMEO_03092
OG0000129	WP_003425052.1	DAKCFMEO_01039
OG0000130	WP_005614190.1	DAKCFMEO_02804
OG0000130	WP_011104937.1	DAKCFMEO_01360
OG0000131	WP_005615570.1	DAKCFMEO_03009, DAKCFMEO_02206, DAKCFMEO_00851
OG0000132	WP_005616684.1	DAKCFMEO_03041
OG0000132	WP_007247202.1	DAKCFMEO_01939
OG0000133	WP_046463874.1, WP_011105577.1, WP_005739535.1	DAKCFMEO_00366
OG0000134	WP_011104096.1	DAKCFMEO_00881
OG0000134	WP_005739890.1	DAKCFMEO_01910
OG0000135	WP_005740380.1	DAKCFMEO_02675
OG0000135	WP_011104666.1	DAKCFMEO_01880
OG0000136	WP_005760706.1	DAKCFMEO_04380
OG0000136	WP_005768316.1	DAKCFMEO_01554
OG0000137	WP_005762626.1	DAKCFMEO_01161
OG0000137	WP_007244776.1	DAKCFMEO_00630
OG0000138	WP_005765176.1	DAKCFMEO_04609
OG0000138	WP_005762731.1	DAKCFMEO_03218
OG0000139	WP_046464032.1, WP_005762766.1, WP_011104377.1	DAKCFMEO_01951
OG0000140	WP_005762818.1, WP_005764409.1, WP_007246690.1	DAKCFMEO_00899
OG0000141	WP_005764184.1, WP_005762820.1, WP_011104351.1	DAKCFMEO_02755
OG0000142	WP_010213170.1, WP_005762824.1, WP_005762826.1	DAKCFMEO_04937
OG0000143	WP_005763054.1	DAKCFMEO_04865
OG0000143	WP_005764931.1	DAKCFMEO_00097
OG0000144	WP_011104478.1, WP_011104277.1, WP_005763528.1	DAKCFMEO_02146
OG0000145	WP_005763634.1	DAKCFMEO_05034, DAKCFMEO_00937, DAKCFMEO_05032
OG0000146	WP_005763680.1	DAKCFMEO_02959
OG0000146	WP_007246877.1	DAKCFMEO_00875
OG0000148	WP_005765147.1	DAKCFMEO_04629
OG0000148	WP_005763731.1	DAKCFMEO_02937
OG0000149	WP_005763926.1	DAKCFMEO_01476
OG0000149	WP_005763902.1	DAKCFMEO_01487
OG0000150	WP_005763930.1	DAKCFMEO_03315
OG0000150	WP_005768336.1	DAKCFMEO_01568
OG0000151	WP_011103331.1	DAKCFMEO_01167
OG0000151	WP_005764049.1	DAKCFMEO_02981
OG0000152	WP_005765569.1	DAKCFMEO_05129
OG0000152	WP_005764405.1	DAKCFMEO_03874
OG0000153	WP_005764834.1	DAKCFMEO_00167
OG0000153	WP_011103985.1	DAKCFMEO_03851
OG0000154	WP_005764926.1	DAKCFMEO_00099
OG0000154	WP_011105230.1	DAKCFMEO_04863
OG0000155	WP_005764944.1, WP_044393502.1, WP_011104352.1	DAKCFMEO_00092
OG0000156	WP_005765115.1	DAKCFMEO_04651
OG0000156	WP_011105083.1	DAKCFMEO_03083
OG0000157	WP_005765137.1	DAKCFMEO_04635, DAKCFMEO_04427, DAKCFMEO_04420
OG0000158	WP_005765139.1	DAKCFMEO_04631, DAKCFMEO_01712, DAKCFMEO_04633
OG0000159	WP_005766477.1	DAKCFMEO_00465
OG0000159	WP_005765488.1	DAKCFMEO_02420
OG0000160	WP_005765650.1	DAKCFMEO_00793
OG0000160	WP_005765976.1	DAKCFMEO_03200
OG0000161	WP_005766100.1, WP_005767830.1, WP_005769505.1	DAKCFMEO_01878
OG0000162	WP_005766595.1	DAKCFMEO_00379
OG0000162	WP_011103728.1	DAKCFMEO_02365
OG0000163	WP_005766669.1	DAKCFMEO_02275
OG0000163	WP_011104674.1	DAKCFMEO_04394
OG0000164	WP_005767480.1	DAKCFMEO_04471
OG0000164	WP_007246896.1	DAKCFMEO_00833
OG0000165	WP_011103991.1	DAKCFMEO_00829
OG0000165	WP_005767488.1	DAKCFMEO_04475
OG0000166	WP_057443137.1	DAKCFMEO_01580
OG0000166	WP_005767577.1	DAKCFMEO_00028
OG0000167	WP_024666071.1	DAKCFMEO_03747
OG0000167	WP_005767725.1	DAKCFMEO_04499
OG0000168	WP_005768035.1, WP_011104827.1, WP_011104545.1	DAKCFMEO_02834
OG0000169	WP_011105375.1	DAKCFMEO_05151
OG0000169	WP_005768450.1	DAKCFMEO_02199
OG0000170	WP_011104100.1	DAKCFMEO_00889
OG0000170	WP_005768691.1	DAKCFMEO_00291
OG0000171	WP_011104278.1	DAKCFMEO_00326
OG0000171	WP_005768708.1	DAKCFMEO_00281
OG0000172	WP_005768747.1	DAKCFMEO_02786
OG0000172	WP_007244323.1	DAKCFMEO_02603
OG0000173	WP_005768762.1	DAKCFMEO_03373, DAKCFMEO_02337, DAKCFMEO_00301
OG0000174	WP_011104015.1	DAKCFMEO_00874
OG0000174	WP_005769204.1	DAKCFMEO_04345
OG0000175	WP_005769588.1	DAKCFMEO_01824, DAKCFMEO_02441, DAKCFMEO_04572
OG0000176	WP_011104221.1	DAKCFMEO_03823
OG0000176	WP_005769685.1	DAKCFMEO_02710
OG0000177	WP_005769699.1	DAKCFMEO_02703
OG0000177	WP_046463309.1	DAKCFMEO_02702
OG0000178	WP_011104862.1	DAKCFMEO_04474
OG0000178	WP_005770308.1	DAKCFMEO_00830
OG0000179	WP_011104863.1	DAKCFMEO_04473
OG0000179	WP_005770310.1	DAKCFMEO_00831
OG0000180	WP_005770312.1	DAKCFMEO_00832
OG0000180	WP_044393615.1	DAKCFMEO_04472
OG0000181	WP_005770699.1	DAKCFMEO_02688
OG0000181	WP_162839055.1	DAKCFMEO_04414
OG0000182	WP_005770701.1	DAKCFMEO_02687, DAKCFMEO_03828, DAKCFMEO_02097
OG0000183	WP_007245868.1	DAKCFMEO_00958
OG0000183	WP_005770794.1	DAKCFMEO_02431
OG0000184	WP_005771032.1	DAKCFMEO_03337, DAKCFMEO_02450, DAKCFMEO_02051
OG0000185	WP_007244213.1	DAKCFMEO_02657
OG0000185	WP_005771340.1	DAKCFMEO_02659
OG0000186	WP_005771397.1	DAKCFMEO_03451
OG0000186	WP_007246576.1	DAKCFMEO_05252
OG0000187	WP_011105467.1	DAKCFMEO_05250
OG0000187	WP_005771402.1	DAKCFMEO_03447
OG0000188	WP_005771485.1	DAKCFMEO_01338, DAKCFMEO_02878, DAKCFMEO_02411
OG0000189	WP_161797801.1, WP_005888854.1, WP_011103339.1	DAKCFMEO_01789
OG0000190	WP_007243725.1	DAKCFMEO_03222
OG0000190	WP_007244715.1	DAKCFMEO_00727
OG0000191	WP_007244046.1	DAKCFMEO_02743
OG0000191	WP_011104599.1	DAKCFMEO_04662
OG0000192	WP_011103244.1	DAKCFMEO_01733
OG0000192	WP_007244130.1	DAKCFMEO_03452
OG0000193	WP_007244335.1	DAKCFMEO_02583
OG0000193	WP_011103933.1	DAKCFMEO_00729
OG0000194	WP_007244877.1	DAKCFMEO_00852, DAKCFMEO_02208, DAKCFMEO_03008
OG0000195	WP_007245058.1	DAKCFMEO_04069
OG0000195	WP_046463536.1	DAKCFMEO_02435
OG0000196	WP_007245293.1	DAKCFMEO_04809
OG0000196	WP_007246230.1	DAKCFMEO_00376
OG0000197	WP_011103412.1	DAKCFMEO_03453
OG0000197	WP_007245496.1	DAKCFMEO_01732
OG0000198	WP_007245546.1	DAKCFMEO_03706, DAKCFMEO_00078, DAKCFMEO_03869
OG0000199	WP_046463482.1	DAKCFMEO_03931
OG0000199	WP_007246084.1	DAKCFMEO_01427
OG0000200	WP_007246194.1	DAKCFMEO_00293
OG0000200	WP_011104951.1	DAKCFMEO_00282
OG0000201	WP_007246667.1	DAKCFMEO_01344
OG0000201	WP_011105194.1	DAKCFMEO_03605
OG0000202	WP_011103472.1, WP_007246890.1, WP_011104003.1	DAKCFMEO_02753
OG0000203	WP_011105482.1	DAKCFMEO_01629
OG0000203	WP_007246952.1	DAKCFMEO_05287
OG0000204	WP_007247035.1, WP_011104358.1, WP_046463772.1	DAKCFMEO_02090
OG0000205	WP_011104056.1	DAKCFMEO_01330
OG0000205	WP_007247117.1	DAKCFMEO_02014
OG0000207	WP_007249562.1, WP_011104226.1, WP_080394021.1	DAKCFMEO_02425
OG0000208	WP_010201125.1	DAKCFMEO_04082
OG0000208	WP_046463740.1	DAKCFMEO_01075
OG0000209	WP_010201131.1	DAKCFMEO_04081, DAKCFMEO_04446, DAKCFMEO_00784
OG0000210	WP_010202134.1	DAKCFMEO_03690, DAKCFMEO_03837, DAKCFMEO_03836
OG0000211	WP_010206379.1	DAKCFMEO_04606
OG0000211	WP_046463494.1	DAKCFMEO_01060
OG0000212	WP_010208255.1, WP_032645112.1	DAKCFMEO_04276, DAKCFMEO_05173
OG0000213	WP_010208763.1	DAKCFMEO_02999
OG0000213	WP_011103504.1	DAKCFMEO_02997
OG0000214	WP_011103857.1, WP_057443138.1, WP_010209623.1	DAKCFMEO_02673
OG0000215	WP_010211386.1	DAKCFMEO_01452, DAKCFMEO_00993, DAKCFMEO_03050
OG0000217	WP_011103622.1	DAKCFMEO_00039
OG0000217	WP_010218951.1	DAKCFMEO_02092
OG0000218	WP_010220706.1, WP_011103557.1, WP_011107018.1	DAKCFMEO_00745
OG0000219	WP_011105542.1, WP_046463610.1, WP_011102967.1	DAKCFMEO_01556
OG0000220	WP_011103039.1	DAKCFMEO_01917
OG0000220	WP_011103031.1	DAKCFMEO_03830
OG0000221	WP_011103086.1	DAKCFMEO_02080
OG0000221	WP_011103055.1	DAKCFMEO_05182
OG0000222	WP_044390209.1, WP_011104387.1, WP_011103057.1	DAKCFMEO_04481
OG0000223	WP_011103091.1	DAKCFMEO_05161
OG0000223	WP_011104637.1	DAKCFMEO_04552
OG0000224	WP_011103466.1	DAKCFMEO_00950
OG0000224	WP_011103142.1	DAKCFMEO_02943
OG0000225	WP_011103162.1	DAKCFMEO_02917
OG0000225	WP_011103167.1	DAKCFMEO_02915
OG0000226	WP_011104135.1	DAKCFMEO_01106
