Orthogroup	DC3000_protein_12_2025	plate25.C2.annotation
OG0004201	WP_005765435.1	
OG0004202	WP_005765439.1	
OG0004203	WP_005765450.1	
OG0004204	WP_005765461.1	
OG0004205	WP_005765752.1	
OG0004206	WP_005765947.1	
OG0004207	WP_005765951.1	
OG0004208	WP_005766113.1	
OG0004209	WP_005766140.1	
OG0004210	WP_005766152.1	
OG0004211	WP_005766452.1	
OG0004212	WP_005766613.1	
OG0004213	WP_005766829.1	
OG0004214	WP_005766831.1	
OG0004215	WP_005766886.1	
OG0004216	WP_005767131.1	
OG0004217	WP_005767157.1	
OG0004218	WP_005767161.1	
OG0004219	WP_005767199.1	
OG0004220	WP_005767203.1	
OG0004221	WP_005767206.1	
OG0004222	WP_005767209.1	
OG0004223	WP_005767451.1	
OG0004224	WP_005767458.1	
OG0004225	WP_005767494.1	
OG0004226	WP_005767619.1	
OG0004227	WP_005767964.1	
OG0004228	WP_005768207.1	
OG0004229	WP_005768323.1	
OG0004230	WP_005768484.1	
OG0004231	WP_005768535.1	
OG0004232	WP_005768545.1	
OG0004233	WP_005768548.1	
OG0004234	WP_005768704.1	
OG0004235	WP_005768758.1	
OG0004236	WP_005768970.1	
OG0004237	WP_005768974.1	
OG0004238	WP_005768976.1	
OG0004239	WP_005769042.1	
OG0004240	WP_005769052.1	
OG0004241	WP_005769175.1	
OG0004242	WP_005769206.1	
OG0004243	WP_005769208.1	
OG0004244	WP_005769278.1	
OG0004245	WP_005769284.1	
OG0004246	WP_005769287.1	
OG0004247	WP_005769291.1	
OG0004248	WP_005769292.1	
OG0004249	WP_005769295.1	
OG0004250	WP_005769298.1	
OG0004251	WP_005769549.1	
OG0004252	WP_005769731.1	
OG0004253	WP_005769744.1	
OG0004254	WP_005769760.1	
OG0004255	WP_005769766.1	
OG0004256	WP_005769904.1	
OG0004257	WP_005769931.1	
OG0004258	WP_005769933.1	
OG0004259	WP_005769947.1	
OG0004260	WP_005769963.1	
OG0004261	WP_005769991.1	
OG0004262	WP_005770247.1	
OG0004263	WP_005770251.1	
OG0004264	WP_005770253.1	
OG0004265	WP_005770448.1	
OG0004266	WP_005770478.1	
OG0004267	WP_005770798.1	
OG0004268	WP_005770800.1	
OG0004269	WP_005770909.1	
OG0004270	WP_005770921.1	
OG0004271	WP_005770923.1	
OG0004272	WP_005770931.1	
OG0004273	WP_005770950.1	
OG0004274	WP_005770968.1	
OG0004275	WP_005770970.1	
OG0004276	WP_005771306.1	
OG0004277	WP_005771451.1	
OG0004278	WP_005771455.1	
OG0004279	WP_005771463.1	
OG0004280	WP_005771465.1	
OG0004281	WP_005771467.1	
OG0004282	WP_005771468.1	
OG0004283	WP_005771667.1	
OG0004284	WP_005771801.1	
OG0004285	WP_005888823.1	
OG0004286	WP_005888837.1	
OG0004287	WP_005888840.1	
OG0004288	WP_005888842.1	
OG0004289	WP_005888844.1	
OG0004290	WP_005888847.1	
OG0004291	WP_005888848.1	
OG0004292	WP_005888850.1	
OG0004293	WP_005894385.1	
OG0004294	WP_005894402.1	
OG0004295	WP_005894406.1	
OG0004296	WP_005906196.1	
OG0004297	WP_007243908.1	
OG0004298	WP_007243967.1	
OG0004299	WP_007244089.1	
OG0004300	WP_007244228.1	
OG0004301	WP_007244472.1	
OG0004302	WP_007244626.1	
OG0004303	WP_007244785.1	
OG0004304	WP_007244786.1	
OG0004305	WP_007244787.1	
OG0004306	WP_007244789.1	
OG0004307	WP_007244790.1	
OG0004308	WP_007245243.1	
OG0004309	WP_007245679.1	
OG0004310	WP_007245789.1	
OG0004311	WP_007245945.1	
OG0004312	WP_007246043.1	
OG0004313	WP_007246128.1	
OG0004314	WP_007246175.1	
OG0004315	WP_007246274.1	
OG0004316	WP_007246542.1	
OG0004317	WP_007246827.1	
OG0004318	WP_007247110.1	
OG0004319	WP_007247550.1	
OG0004320	WP_007247634.1	
OG0004321	WP_007251563.1	
OG0004322	WP_007251965.1	
OG0004323	WP_010201210.1	
OG0004324	WP_010202280.1	
OG0004325	WP_010202284.1	
OG0004326	WP_010203159.1	
OG0004327	WP_010203161.1	
OG0004328	WP_010203904.1	
OG0004329	WP_010204289.1	
OG0004330	WP_010206367.1	
OG0004331	WP_010208948.1	
OG0004332	WP_010209157.1	
OG0004333	WP_010212054.1	
OG0004334	WP_011102934.1	
OG0004335	WP_011102935.1	
OG0004336	WP_011102937.1	
OG0004337	WP_011102938.1	
OG0004338	WP_011102942.1	
OG0004339	WP_011102949.1	
OG0004340	WP_011102960.1	
OG0004341	WP_011102963.1	
OG0004342	WP_011102966.1	
OG0004343	WP_011102968.1	
OG0004344	WP_011102969.1	
OG0004345	WP_011102970.1	
OG0004346	WP_011102971.1	
OG0004347	WP_011103032.1	
OG0004348	WP_011103035.1	
OG0004349	WP_011103065.1	
OG0004350	WP_011103067.1	
OG0004351	WP_011103073.1	
OG0004352	WP_011103075.1	
OG0004353	WP_011103078.1	
OG0004354	WP_011103079.1	
OG0004355	WP_011103080.1	
OG0004356	WP_011103163.1	
OG0004357	WP_011103164.1	
OG0004358	WP_011103165.1	
OG0004359	WP_011103172.1	
OG0004360	WP_011103173.1	
OG0004361	WP_011103174.1	
OG0004362	WP_011103177.1	
OG0004363	WP_011103178.1	
OG0004364	WP_011103200.1	
OG0004365	WP_011103209.1	
OG0004366	WP_011103212.1	
OG0004367	WP_011103213.1	
OG0004368	WP_011103223.1	
OG0004369	WP_011103247.1	
OG0004370	WP_011103248.1	
OG0004371	WP_011103250.1	
OG0004372	WP_011103251.1	
OG0004373	WP_011103252.1	
OG0004374	WP_011103306.1	
OG0004375	WP_011103307.1	
OG0004376	WP_011103309.1	
OG0004377	WP_011103311.1	
OG0004378	WP_011103316.1	
OG0004379	WP_011103317.1	
OG0004380	WP_011103318.1	
OG0004381	WP_011103322.1	
OG0004382	WP_011103354.1	
OG0004383	WP_011103403.1	
OG0004384	WP_011103407.1	
OG0004385	WP_011103414.1	
OG0004386	WP_011103419.1	
OG0004387	WP_011103422.1	
OG0004388	WP_011103426.1	
OG0004389	WP_011103486.1	
OG0004390	WP_011103530.1	
OG0004391	WP_011103536.1	
OG0004392	WP_011103602.1	
OG0004393	WP_011103636.1	
OG0004394	WP_011103638.1	
OG0004395	WP_011103650.1	
OG0004396	WP_011103652.1	
OG0004397	WP_011103653.1	
OG0004398	WP_011103654.1	
OG0004399	WP_011103658.1	
OG0004400	WP_011103660.1	
OG0004401	WP_011103662.1	
OG0004402	WP_011103663.1	
OG0004403	WP_011103738.1	
OG0004404	WP_011103774.1	
OG0004405	WP_011103829.1	
OG0004406	WP_011103830.1	
OG0004407	WP_011103831.1	
OG0004408	WP_011103832.1	
OG0004409	WP_011103845.1	
OG0004410	WP_011103846.1	
OG0004411	WP_011103883.1	
OG0004412	WP_011103920.1	
OG0004413	WP_011103948.1	
OG0004414	WP_011103950.1	
OG0004415	WP_011103952.1	
OG0004416	WP_011103973.1	
OG0004417	WP_011103974.1	
OG0004418	WP_011103975.1	
OG0004419	WP_011103999.1	
OG0004420	WP_011104004.1	
OG0004421	WP_011104118.1	
OG0004422	WP_011104216.1	
OG0004423	WP_011104245.1	
OG0004424	WP_011104248.1	
OG0004425	WP_011104249.1	
OG0004426	WP_011104250.1	
OG0004427	WP_011104260.1	
OG0004428	WP_011104303.1	
OG0004429	WP_011104309.1	
OG0004430	WP_011104332.1	
OG0004431	WP_011104345.1	
OG0004432	WP_011104353.1	
OG0004433	WP_011104356.1	
OG0004434	WP_011104357.1	
OG0004435	WP_011104362.1	
OG0004436	WP_011104373.1	
OG0004437	WP_011104378.1	
OG0004438	WP_011104385.1	
OG0004439	WP_011104431.1	
OG0004440	WP_011104432.1	
OG0004441	WP_011104521.1	
OG0004442	WP_011104523.1	
OG0004443	WP_011104524.1	
OG0004444	WP_011104526.1	
OG0004445	WP_011104527.1	
OG0004446	WP_011104528.1	
OG0004447	WP_011104530.1	
OG0004448	WP_011104531.1	
OG0004449	WP_011104532.1	
OG0004450	WP_011104533.1	
OG0004451	WP_011104534.1	
OG0004452	WP_011104535.1	
OG0004453	WP_011104536.1	
OG0004454	WP_011104537.1	
OG0004455	WP_011104538.1	
OG0004456	WP_011104539.1	
OG0004457	WP_011104540.1	
OG0004458	WP_011104541.1	
OG0004459	WP_011104543.1	
OG0004460	WP_011104546.1	
OG0004461	WP_011104547.1	
OG0004462	WP_011104548.1	
OG0004463	WP_011104549.1	
OG0004464	WP_011104550.1	
OG0004465	WP_011104551.1	
OG0004466	WP_011104552.1	
OG0004467	WP_011104581.1	
OG0004468	WP_011104582.1	
OG0004469	WP_011104609.1	
OG0004470	WP_011104630.1	
OG0004471	WP_011104632.1	
OG0004472	WP_011104670.1	
OG0004473	WP_011104751.1	
OG0004474	WP_011104760.1	
OG0004475	WP_011104762.1	
OG0004476	WP_011104772.1	
OG0004477	WP_011104787.1	
OG0004478	WP_011104791.1	
OG0004479	WP_011104794.1	
OG0004480	WP_011104796.1	
OG0004481	WP_011104798.1	
OG0004482	WP_011104804.1	
OG0004483	WP_011104821.1	
OG0004484	WP_011104822.1	
OG0004485	WP_011104823.1	
OG0004486	WP_011104826.1	
OG0004487	WP_011104828.1	
OG0004488	WP_011104830.1	
OG0004489	WP_011104831.1	
OG0004490	WP_011104832.1	
OG0004491	WP_011104833.1	
OG0004492	WP_011104842.1	
OG0004493	WP_011104844.1	
OG0004494	WP_011104845.1	
OG0004495	WP_011104849.1	
OG0004496	WP_011104852.1	
OG0004497	WP_011104853.1	
OG0004498	WP_011104876.1	
OG0004499	WP_011104921.1	
OG0004500	WP_011104923.1	
OG0004501	WP_011104925.1	
OG0004502	WP_011104932.1	
OG0004503	WP_011104936.1	
OG0004504	WP_011104961.1	
OG0004505	WP_011104966.1	
OG0004506	WP_011104975.1	
OG0004507	WP_011105030.1	
OG0004508	WP_011105033.1	
OG0004509	WP_011105034.1	
OG0004510	WP_011105039.1	
OG0004511	WP_011105062.1	
OG0004512	WP_011105074.1	
OG0004513	WP_011105076.1	
OG0004514	WP_011105077.1	
OG0004515	WP_011105078.1	
OG0004516	WP_011105079.1	
OG0004517	WP_011105088.1	
OG0004518	WP_011105094.1	
OG0004519	WP_011105100.1	
OG0004520	WP_011105120.1	
OG0004521	WP_011105124.1	
OG0004522	WP_011105134.1	
OG0004523	WP_011105137.1	
OG0004524	WP_011105141.1	
OG0004525	WP_011105143.1	
OG0004526	WP_011105146.1	
OG0004527	WP_011105147.1	
OG0004528	WP_011105148.1	
OG0004529	WP_011105153.1	
OG0004530	WP_011105161.1	
OG0004531	WP_011105162.1	
OG0004532	WP_011105163.1	
OG0004533	WP_011105164.1	
OG0004534	WP_011105165.1	
OG0004535	WP_011105167.1	
OG0004536	WP_011105205.1	
OG0004537	WP_011105211.1	
OG0004538	WP_011105213.1	
OG0004539	WP_011105252.1	
OG0004540	WP_011105289.1	
OG0004541	WP_011105290.1	
OG0004542	WP_011105309.1	
OG0004543	WP_011105312.1	
OG0004544	WP_011105313.1	
OG0004545	WP_011105317.1	
OG0004546	WP_011105320.1	
OG0004547	WP_011105321.1	
OG0004548	WP_011105405.1	
OG0004549	WP_011105439.1	
OG0004550	WP_011105440.1	
OG0004551	WP_011105447.1	
OG0004552	WP_011105449.1	
OG0004553	WP_011105450.1	
OG0004554	WP_011105459.1	
OG0004555	WP_011105489.1	
OG0004556	WP_011105572.1	
OG0004557	WP_011105585.1	
OG0004558	WP_011106966.1	
OG0004559	WP_011106968.1	
OG0004560	WP_011106980.1	
OG0004561	WP_011106981.1	
OG0004562	WP_011106987.1	
OG0004563	WP_011106988.1	
OG0004564	WP_011106989.1	
OG0004565	WP_011106997.1	
OG0004566	WP_011107001.1	
OG0004567	WP_011107005.1	
OG0004568	WP_011107016.1	
OG0004569	WP_011107031.1	
OG0004570	WP_011267047.1	
OG0004571	WP_017702037.1	
OG0004572	WP_019331305.1	
OG0004573	WP_024421178.1	
OG0004574	WP_024421394.1	
OG0004575	WP_024648762.1	
OG0004576	WP_024657986.1	
OG0004577	WP_024666576.1	
OG0004578	WP_024666863.1	
OG0004579	WP_024667440.1	
OG0004580	WP_024668007.1	
OG0004581	WP_024668316.1	
OG0004582	WP_024671832.1	
OG0004583	WP_024677613.1	
OG0004584	WP_024679016.1	
OG0004585	WP_024691295.1	
OG0004586	WP_025995396.1	
OG0004587	WP_032632622.1	
OG0004588	WP_032639929.1	
OG0004589	WP_032640304.1	
OG0004590	WP_032640670.1	
OG0004591	WP_032710640.1	
OG0004592	WP_032710641.1	
OG0004593	WP_032710906.1	
OG0004594	WP_032710924.1	
OG0004595	WP_044390335.1	
OG0004596	WP_044390498.1	
OG0004597	WP_044391358.1	
OG0004598	WP_044391909.1	
OG0004599	WP_044393496.1	
OG0004600	WP_044393498.1	
OG0004601	WP_044393506.1	
OG0004602	WP_044393844.1	
OG0004603	WP_044393845.1	
OG0004604	WP_046463340.1	
OG0004605	WP_046463350.1	
OG0004606	WP_046463356.1	
OG0004607	WP_046463357.1	
OG0004608	WP_046463358.1	
OG0004609	WP_046463359.1	
OG0004610	WP_046463390.1	
OG0004611	WP_046463401.1	
OG0004612	WP_046463436.1	
OG0004613	WP_046463468.1	
OG0004614	WP_046463469.1	
OG0004615	WP_046463470.1	
OG0004616	WP_046463476.1	
OG0004617	WP_046463497.1	
OG0004618	WP_046463507.1	
OG0004619	WP_046463525.1	
OG0004620	WP_046463528.1	
OG0004621	WP_046463533.1	
OG0004622	WP_046463534.1	
OG0004623	WP_046463546.1	
OG0004624	WP_046463555.1	
OG0004625	WP_046463557.1	
OG0004626	WP_046463577.1	
OG0004627	WP_046463600.1	
OG0004628	WP_046463611.1	
OG0004629	WP_046463613.1	
OG0004630	WP_046463614.1	
OG0004631	WP_046463615.1	
OG0004632	WP_046463617.1	
OG0004633	WP_046463619.1	
OG0004634	WP_046463621.1	
OG0004635	WP_046463622.1	
OG0004636	WP_046463623.1	
OG0004637	WP_046463632.1	
OG0004638	WP_046463653.1	
OG0004639	WP_046463670.1	
OG0004640	WP_046463683.1	
OG0004641	WP_046463685.1	
OG0004642	WP_046463717.1	
OG0004643	WP_046463720.1	
OG0004644	WP_046463721.1	
OG0004645	WP_046463771.1	
OG0004646	WP_046463796.1	
OG0004647	WP_046463798.1	
OG0004648	WP_046463803.1	
OG0004649	WP_046463816.1	
OG0004650	WP_046463831.1	
OG0004651	WP_046463832.1	
OG0004652	WP_046463837.1	
OG0004653	WP_046463838.1	
OG0004654	WP_046463854.1	
OG0004655	WP_046463867.1	
OG0004656	WP_046463869.1	
OG0004657	WP_046463873.1	
OG0004658	WP_046463898.1	
OG0004659	WP_046463913.1	
OG0004660	WP_046463938.1	
OG0004661	WP_046463943.1	
OG0004662	WP_046463976.1	
OG0004663	WP_046463979.1	
OG0004664	WP_046463985.1	
OG0004665	WP_046464005.1	
OG0004666	WP_046464014.1	
OG0004667	WP_046464024.1	
OG0004668	WP_050428152.1	
OG0004669	WP_052507224.1	
OG0004670	WP_052746235.1	
OG0004671	WP_052746259.1	
OG0004672	WP_052746262.1	
OG0004673	WP_053486450.1	
OG0004674	WP_054070124.1	
OG0004675	WP_054082663.1	
OG0004676	WP_057418490.1	
OG0004677	WP_057443114.1	
OG0004678	WP_057443115.1	
OG0004679	WP_057443116.1	
OG0004680	WP_057443120.1	
OG0004681	WP_057443135.1	
OG0004682	WP_057443144.1	
OG0004683	WP_057443149.1	
OG0004684	WP_057443156.1	
OG0004685	WP_057443158.1	
OG0004686	WP_057443159.1	
OG0004687	WP_057443160.1	
OG0004688	WP_057443161.1	
OG0004689	WP_057443162.1	
OG0004690	WP_057443182.1	
OG0004691	WP_057443204.1	
OG0004692	WP_057443205.1	
OG0004693	WP_057443210.1	
OG0004694	WP_057443213.1	
OG0004695	WP_057443220.1	
OG0004696	WP_057443230.1	
OG0004697	WP_057443232.1	
OG0004698	WP_057443240.1	
OG0004699	WP_057443251.1	
OG0004700	WP_057443266.1	
OG0004701	WP_057443268.1	
OG0004702	WP_057443286.1	
OG0004703	WP_074846393.1	
OG0004704	WP_080269316.1	
OG0004705	WP_080546339.1	
OG0004706	WP_080546396.1	
OG0004707	WP_080898815.1	
OG0004708	WP_080946541.1	
OG0004709	WP_080946555.1	
OG0004710	WP_080946569.1	
OG0004711	WP_080946570.1	
OG0004712	WP_080946608.1	
OG0004713	WP_081026884.1	
OG0004714	WP_122218638.1	
OG0004715	WP_122218789.1	
OG0004716	WP_122295148.1	
OG0004717	WP_122295160.1	
OG0004718	WP_122365905.1	
OG0004719	WP_122384980.1	
OG0004720	WP_122448205.1	
OG0004721	WP_123633177.1	
OG0004722	WP_146230918.1	
OG0004723	WP_147463982.1	
OG0004724	WP_149032124.1	
OG0004725	WP_149032137.1	
OG0004726	WP_149032142.1	
OG0004727	WP_149032144.1	
OG0004728	WP_149032160.1	
OG0004729	WP_149032176.1	
OG0004730	WP_149032177.1	
OG0004731	WP_149032201.1	
OG0004732	WP_149032210.1	
OG0004733	WP_149032215.1	
OG0004734	WP_149032225.1	
OG0004735	WP_154072970.1	
OG0004736	WP_155490816.1	
OG0004737	WP_155490817.1	
OG0004738	WP_155490819.1	
OG0004739	WP_155492146.1	
OG0004740	WP_156422789.1	
OG0004741	WP_158506383.1	
OG0004742	WP_158506384.1	
OG0004743	WP_159229425.1	
OG0004744	WP_159229434.1	
OG0004745	WP_161439824.1	
OG0004746	WP_161797762.1	
OG0004747	WP_161797779.1	
OG0004748	WP_161797782.1	
OG0004749	WP_161797802.1	
OG0004750	WP_161797804.1	
OG0004751	WP_161797818.1	
OG0004752	WP_161797819.1	
OG0004753	WP_162491827.1	
OG0004754	WP_162491828.1	
OG0004755	WP_162491829.1	
OG0004756	WP_162491830.1	
OG0004757	WP_162491831.1	
OG0004758	WP_162491832.1	
OG0004759	WP_162491834.1	
OG0004760	WP_162491835.1	
OG0004761	WP_162491837.1	
OG0004762	WP_162491839.1	
OG0004763	WP_162491843.1	
OG0004764	WP_162839069.1	
OG0004765	WP_162839070.1	
OG0004766	WP_162839073.1	
OG0004767	WP_162839074.1	
OG0004768	WP_164923173.1	
OG0004769	WP_164923174.1	
OG0004770	WP_164923177.1	
OG0004771	WP_164923178.1	
OG0004772	WP_164923179.1	
OG0004773	WP_165442253.1	
OG0004774	WP_166460976.1	
OG0004775		DAKCFMEO_00004
OG0004776		DAKCFMEO_00005
OG0004777		DAKCFMEO_00007
OG0004778		DAKCFMEO_00008
OG0004779		DAKCFMEO_00009
OG0004780		DAKCFMEO_00011
OG0004781		DAKCFMEO_00013
OG0004782		DAKCFMEO_00015
OG0004783		DAKCFMEO_00016
OG0004784		DAKCFMEO_00017
OG0004785		DAKCFMEO_00027
OG0004786		DAKCFMEO_00046
OG0004787		DAKCFMEO_00050
OG0004788		DAKCFMEO_00055
OG0004789		DAKCFMEO_00057
OG0004790		DAKCFMEO_00059
OG0004791		DAKCFMEO_00069
OG0004792		DAKCFMEO_00072
OG0004793		DAKCFMEO_00073
OG0004794		DAKCFMEO_00087
OG0004795		DAKCFMEO_00116
OG0004796		DAKCFMEO_00117
OG0004797		DAKCFMEO_00118
OG0004798		DAKCFMEO_00119
OG0004799		DAKCFMEO_00121
OG0004800		DAKCFMEO_00122
OG0004801		DAKCFMEO_00144
OG0004802		DAKCFMEO_00153
OG0004803		DAKCFMEO_00176
OG0004804		DAKCFMEO_00184
OG0004805		DAKCFMEO_00191
OG0004806		DAKCFMEO_00283
OG0004807		DAKCFMEO_00300
OG0004808		DAKCFMEO_00302
OG0004809		DAKCFMEO_00325
OG0004810		DAKCFMEO_00328
OG0004811		DAKCFMEO_00329
OG0004812		DAKCFMEO_00330
OG0004813		DAKCFMEO_00343
OG0004814		DAKCFMEO_00358
OG0004815		DAKCFMEO_00359
OG0004816		DAKCFMEO_00360
OG0004817		DAKCFMEO_00373
OG0004818		DAKCFMEO_00384
OG0004819		DAKCFMEO_00413
OG0004820		DAKCFMEO_00414
OG0004821		DAKCFMEO_00415
OG0004822		DAKCFMEO_00423
OG0004823		DAKCFMEO_00507
OG0004824		DAKCFMEO_00510
OG0004825		DAKCFMEO_00585
OG0004826		DAKCFMEO_00586
OG0004827		DAKCFMEO_00622
OG0004828		DAKCFMEO_00664
OG0004829		DAKCFMEO_00715
OG0004830		DAKCFMEO_00762
OG0004831		DAKCFMEO_00797
OG0004832		DAKCFMEO_00821
OG0004833		DAKCFMEO_00843
OG0004834		DAKCFMEO_00844
OG0004835		DAKCFMEO_00845
OG0004836		DAKCFMEO_00846
OG0004837		DAKCFMEO_00847
OG0004838		DAKCFMEO_00854
OG0004839		DAKCFMEO_00855
OG0004840		DAKCFMEO_00856
OG0004841		DAKCFMEO_00861
OG0004842		DAKCFMEO_00864
OG0004843		DAKCFMEO_00865
OG0004844		DAKCFMEO_00892
OG0004845		DAKCFMEO_00895
OG0004846		DAKCFMEO_00910
OG0004847		DAKCFMEO_00915
OG0004848		DAKCFMEO_00954
OG0004849		DAKCFMEO_00955
OG0004850		DAKCFMEO_00956
OG0004851		DAKCFMEO_00968
OG0004852		DAKCFMEO_00972
OG0004853		DAKCFMEO_00976
OG0004854		DAKCFMEO_00980
OG0004855		DAKCFMEO_00981
OG0004856		DAKCFMEO_00983
OG0004857		DAKCFMEO_00984
OG0004858		DAKCFMEO_00985
OG0004859		DAKCFMEO_00986
OG0004860		DAKCFMEO_00987
OG0004861		DAKCFMEO_00989
OG0004862		DAKCFMEO_00990
OG0004863		DAKCFMEO_00991
OG0004864		DAKCFMEO_00995
OG0004865		DAKCFMEO_01008
OG0004866		DAKCFMEO_01027
OG0004867		DAKCFMEO_01043
OG0004868		DAKCFMEO_01047
OG0004869		DAKCFMEO_01056
OG0004870		DAKCFMEO_01057
OG0004871		DAKCFMEO_01058
OG0004872		DAKCFMEO_01059
OG0004873		DAKCFMEO_01061
OG0004874		DAKCFMEO_01062
OG0004875		DAKCFMEO_01064
OG0004876		DAKCFMEO_01067
OG0004877		DAKCFMEO_01068
OG0004878		DAKCFMEO_01070
OG0004879		DAKCFMEO_01071
OG0004880		DAKCFMEO_01074
OG0004881		DAKCFMEO_01076
OG0004882		DAKCFMEO_01077
OG0004883		DAKCFMEO_01078
OG0004884		DAKCFMEO_01080
OG0004885		DAKCFMEO_01081
OG0004886		DAKCFMEO_01083
OG0004887		DAKCFMEO_01117
OG0004888		DAKCFMEO_01123
OG0004889		DAKCFMEO_01143
OG0004890		DAKCFMEO_01151
OG0004891		DAKCFMEO_01156
OG0004892		DAKCFMEO_01160
OG0004893		DAKCFMEO_01174
OG0004894		DAKCFMEO_01175
OG0004895		DAKCFMEO_01222
OG0004896		DAKCFMEO_01225
OG0004897		DAKCFMEO_01228
OG0004898		DAKCFMEO_01229
OG0004899		DAKCFMEO_01237
OG0004900		DAKCFMEO_01239
OG0004901		DAKCFMEO_01241
OG0004902		DAKCFMEO_01268
OG0004903		DAKCFMEO_01270
OG0004904		DAKCFMEO_01271
OG0004905		DAKCFMEO_01272
OG0004906		DAKCFMEO_01273
OG0004907		DAKCFMEO_01282
OG0004908		DAKCFMEO_01284
OG0004909		DAKCFMEO_01288
OG0004910		DAKCFMEO_01289
OG0004911		DAKCFMEO_01290
OG0004912		DAKCFMEO_01292
OG0004913		DAKCFMEO_01317
OG0004914		DAKCFMEO_01342
OG0004915		DAKCFMEO_01358
OG0004916		DAKCFMEO_01359
OG0004917		DAKCFMEO_01361
OG0004918		DAKCFMEO_01362
OG0004919		DAKCFMEO_01367
OG0004920		DAKCFMEO_01374
OG0004921		DAKCFMEO_01376
OG0004922		DAKCFMEO_01416
OG0004923		DAKCFMEO_01421
OG0004924		DAKCFMEO_01460
OG0004925		DAKCFMEO_01467
OG0004926		DAKCFMEO_01474
OG0004927		DAKCFMEO_01475
OG0004928		DAKCFMEO_01479
OG0004929		DAKCFMEO_01481
OG0004930		DAKCFMEO_01484
OG0004931		DAKCFMEO_01488
OG0004932		DAKCFMEO_01499
OG0004933		DAKCFMEO_01519
OG0004934		DAKCFMEO_01520
OG0004935		DAKCFMEO_01586
OG0004936		DAKCFMEO_01631
OG0004937		DAKCFMEO_01641
OG0004938		DAKCFMEO_01656
OG0004939		DAKCFMEO_01669
OG0004940		DAKCFMEO_01708
OG0004941		DAKCFMEO_01709
OG0004942		DAKCFMEO_01715
OG0004943		DAKCFMEO_01716
OG0004944		DAKCFMEO_01717
OG0004945		DAKCFMEO_01718
OG0004946		DAKCFMEO_01719
OG0004947		DAKCFMEO_01720
OG0004948		DAKCFMEO_01721
OG0004949		DAKCFMEO_01724
OG0004950		DAKCFMEO_01727
OG0004951		DAKCFMEO_01730
OG0004952		DAKCFMEO_01763
OG0004953		DAKCFMEO_01793
OG0004954		DAKCFMEO_01799
OG0004955		DAKCFMEO_01800
OG0004956		DAKCFMEO_01805
OG0004957		DAKCFMEO_01853
OG0004958		DAKCFMEO_01881
OG0004959		DAKCFMEO_01882
OG0004960		DAKCFMEO_01892
OG0004961		DAKCFMEO_01893
OG0004962		DAKCFMEO_01895
OG0004963		DAKCFMEO_01896
OG0004964		DAKCFMEO_01897
OG0004965		DAKCFMEO_01898
OG0004966		DAKCFMEO_01899
OG0004967		DAKCFMEO_01900
OG0004968		DAKCFMEO_01904
OG0004969		DAKCFMEO_01940
OG0004970		DAKCFMEO_01941
OG0004971		DAKCFMEO_01942
